"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV"
"1","George McCloud","DAL","79","2846","530","1281","0.414","257","678","0.379","180","224","0.804","116","263","379","212","113","38","166","212","1497","1278","1.28","0.68"
"2","Dennis Scott","ORL","82","3041","491","1117","0.44","267","628","0.425","182","222","0.82","63","246","309","243","90","29","122","169","1431","1314","1.99","0.74"
"3","Mookie Blaylock","ATL","81","2893","455","1123","0.405","231","623","0.371","127","170","0.747","110","222","332","478","212","17","188","151","1268","1408","2.54","1.13"
"4","Mitch Richmond","SAC","81","2946","611","1368","0.447","225","515","0.437","425","491","0.866","54","215","269","255","125","19","220","233","1872","1497","1.16","0.57"
"5","Clifford Robinson","POR","78","2980","553","1306","0.423","178","471","0.378","360","542","0.664","123","320","443","190","86","68","194","248","1644","1302","0.98","0.44"
"6","Chuck Person","SAN","80","2131","308","705","0.437","190","463","0.41","67","104","0.644","76","337","413","100","49","26","91","197","873","936","1.1","0.54"
"7","Vernon Maxwell","PHL","75","2467","410","1052","0.39","146","460","0.317","251","332","0.756","39","190","229","330","96","12","215","182","1217","946","1.54","0.45"
"8","Allan Houston","DET","82","3072","564","1244","0.453","191","447","0.427","298","362","0.823","54","246","300","250","61","16","233","233","1617","1267","1.07","0.26"
"9","Nick Anderson","ORL","77","2717","400","904","0.442","168","430","0.391","166","240","0.692","92","323","415","279","121","46","141","135","1134","1276","1.98","0.86"
"10","Steven Smith","ATL","80","2856","494","1143","0.432","140","423","0.331","318","385","0.826","124","202","326","224","68","17","151","207","1446","1214","1.48","0.45"
"11","Dan Majerle","CLE","82","2367","303","748","0.405","146","414","0.353","120","169","0.71","70","235","305","214","81","34","93","131","872","919","2.3","0.87"
"12","Reggie Miller","IND","76","2621","504","1066","0.473","168","410","0.41","430","498","0.863","38","176","214","253","77","13","189","175","1606","1344","1.34","0.41"
"13","Dell Curry","CHH","82","2371","441","974","0.453","164","406","0.404","146","171","0.854","68","196","264","176","108","25","130","173","1192","1077","1.35","0.83"
"14","Glen Rice","CHH","79","3142","610","1296","0.471","171","403","0.424","319","381","0.837","86","292","378","232","91","19","163","217","1710","1519","1.42","0.56"
"14","Nick Van Exel","LAL","74","2513","396","950","0.417","144","403","0.357","163","204","0.799","29","152","181","509","70","10","156","115","1099","1118","3.26","0.45"
"16","Scottie Pippen","CHI","77","2825","563","1216","0.463","150","401","0.374","220","324","0.679","152","344","496","452","133","57","207","198","1496","1670","2.18","0.64"
"17","Jason Kidd","DAL","81","3034","493","1293","0.381","133","396","0.336","229","331","0.692","203","350","553","783","175","26","328","155","1348","1655","2.39","0.53"
"17","John Starks","NYK","81","2491","375","846","0.443","143","396","0.361","131","174","0.753","31","206","237","315","103","11","156","226","1024","1020","2.02","0.66"
"19","Sean Elliott","SAN","77","2901","525","1127","0.466","161","392","0.411","326","423","0.771","69","327","396","211","69","33","198","178","1537","1349","1.07","0.35"
"20","Robert Horry","HOU","71","2634","300","732","0.41","142","388","0.366","111","143","0.776","97","315","412","281","116","109","160","197","853","1147","1.76","0.73"
"21","Hersey Hawkins","SEA","82","2823","443","936","0.473","146","380","0.384","249","285","0.874","86","211","297","218","149","14","164","172","1281","1266","1.33","0.91"
"22","Tim Hardaway","MIA","80","2534","419","992","0.422","138","379","0.364","241","305","0.79","35","194","229","640","132","17","235","201","1217","1363","2.72","0.56"
"23","Dana Barros","BOS","80","2328","379","806","0.47","150","368","0.408","130","147","0.884","21","171","192","306","58","3","120","116","1038","1033","2.55","0.48"
"24","Dale Ellis","DEN","81","2626","459","959","0.479","150","364","0.412","136","179","0.76","88","227","315","139","57","7","98","191","1204","1081","1.42","0.58"
"25","Danny Ferry","CLE","82","2680","422","919","0.459","143","363","0.394","103","134","0.769","71","238","309","191","57","37","122","233","1090","1034","1.57","0.47"
"25","Sam Perkins","SEA","82","2169","325","797","0.408","129","363","0.355","191","241","0.793","101","266","367","120","83","48","82","174","970","984","1.46","1.01"
"27","Tracy Murray","TOR","82","2458","496","1092","0.454","151","358","0.422","182","219","0.831","114","238","352","131","87","40","132","208","1325","1170","0.99","0.66"
"28","Damon Stoudamire","TOR","70","2865","481","1129","0.426","133","337","0.395","236","296","0.797","59","222","281","653","98","19","267","166","1331","1407","2.45","0.37"
"28","Rex Chapman","MIA","56","1865","289","679","0.426","125","337","0.371","83","113","0.735","22","123","145","166","45","10","79","117","786","653","2.1","0.57"
"30","Jim Jackson","DAL","82","2820","569","1308","0.435","121","333","0.363","345","418","0.825","173","237","410","235","47","22","191","165","1604","1315","1.23","0.25"
"31","Derek Harper","NYK","82","2893","436","939","0.464","121","325","0.372","156","206","0.757","32","170","202","352","131","5","178","201","1149","1108","1.98","0.74"
"32","Terry Dehere","LAC","82","2018","315","686","0.459","139","316","0.44","247","327","0.755","41","102","143","350","54","16","191","239","1016","937","1.83","0.28"
"33","Wesley Person","PHX","82","2609","390","877","0.445","117","313","0.374","148","192","0.771","56","265","321","138","55","22","89","148","1045","961","1.55","0.62"
"34","Mahmoud Abdul-Rauf","DEN","57","2029","414","955","0.434","121","309","0.392","146","157","0.93","26","112","138","389","64","3","115","117","1095","1022","3.38","0.56"
"35","Todd Day","BOS","79","1807","299","817","0.366","100","302","0.331","224","287","0.78","70","154","224","107","81","51","109","225","922","695","0.98","0.74"
"36","Brent Price","WAS","81","2042","252","534","0.472","139","301","0.462","167","191","0.874","38","190","228","416","78","4","153","184","810","1077","2.72","0.51"
"37","Gary Payton","SEA","81","3162","618","1276","0.484","98","299","0.328","229","306","0.748","104","235","339","608","231","19","260","221","1563","1765","2.34","0.89"
"38","Joe Dumars","DET","67","2193","255","598","0.426","121","298","0.406","162","197","0.822","28","110","138","265","43","3","97","106","793","767","2.73","0.44"
"39","Brent Barry","LAC","79","1898","283","597","0.474","123","296","0.416","111","137","0.81","38","130","168","230","95","22","120","196","800","855","1.92","0.79"
"40","Walt Williams","MIA","73","2169","359","808","0.444","114","293","0.389","163","232","0.703","99","220","319","230","85","58","151","238","995","1018","1.52","0.56"
