"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV"
"1","Darrell Griffith","UTH","82","2650","697","1423","0.49","91","252","0.361","151","217","0.696","95","243","338","283","114","23","243","202","1636","1359","1.17","0.47"
"2","Michael Cooper","LAL","82","2387","273","549","0.497","38","121","0.314","155","185","0.838","53","209","262","482","113","67","148","267","739","1209","3.26","0.76"
"3","Ricky Sobers","WAS","81","2624","508","1115","0.456","29","111","0.261","221","264","0.837","51","128","179","377","117","17","222","278","1266","1084","1.7","0.53"
"4","Mike Evans","DEN","78","1687","243","564","0.431","32","89","0.36","111","131","0.847","23","115","138","288","61","4","117","175","629","662","2.46","0.52"
"5","Johnny Moore","SAN","59","1650","231","518","0.446","28","87","0.322","105","139","0.755","37","141","178","566","123","20","143","168","595","1018","3.96","0.86"
"5","Walter Davis","PHX","78","2546","652","1274","0.512","20","87","0.23","233","270","0.863","38","164","202","429","107","12","213","202","1557","1435","2.01","0.5"
"7","Rod Foster","PHX","80","1424","260","580","0.448","22","84","0.262","122","155","0.787","39","81","120","172","54","9","108","193","664","558","1.59","0.5"
"8","Ray Williams","NYK","76","2230","418","939","0.445","25","81","0.309","263","318","0.827","67","200","267","449","162","26","219","274","1124","1233","2.05","0.74"
"9","Jeff Malone","WAS","81","1976","408","918","0.444","24","74","0.324","142","172","0.826","57","98","155","151","23","13","110","162","982","674","1.37","0.21"
"10","Larry Bird","BOS","79","3028","758","1542","0.492","18","73","0.247","374","421","0.888","181","615","796","520","144","69","237","197","1908","2369","2.19","0.61"
"11","Purvis Short","GOS","79","2945","714","1509","0.473","22","72","0.306","353","445","0.793","184","254","438","246","103","11","228","252","1803","1486","1.08","0.45"
"12","Allen Leavell","HOU","82","2009","349","731","0.477","11","71","0.155","238","286","0.832","31","86","117","459","107","12","184","199","947","1028","2.5","0.58"
"13","Kyle Macy","PHX","82","2402","357","713","0.501","23","70","0.329","95","114","0.833","49","137","186","353","123","6","116","181","832","1009","3.04","1.06"
"14","John Lucas","SAN","63","1807","275","595","0.462","19","69","0.275","120","157","0.764","23","157","180","673","92","5","147","123","689","1135","4.58","0.63"
"14","World Free","CLE","75","2375","626","1407","0.445","22","69","0.319","395","504","0.784","89","128","217","226","94","8","154","214","1669","1170","1.47","0.61"
"16","Isiah Thomas","DET","82","3007","669","1448","0.462","22","65","0.338","388","529","0.733","103","224","327","914","204","33","307","324","1748","1999","2.98","0.66"
"17","Eddie Johnson","KCK","82","2920","753","1552","0.485","20","64","0.313","268","331","0.81","165","290","455","296","76","21","213","266","1794","1567","1.39","0.36"
"18","Don Buse","KCK","76","1327","150","352","0.426","18","59","0.305","63","80","0.788","29","87","116","303","86","1","87","62","381","581","3.48","0.99"
"18","Jim Paxson","POR","81","2686","680","1322","0.514","17","59","0.288","345","410","0.841","68","105","173","251","122","10","142","165","1722","1429","1.77","0.86"
"20","Micheal Ray Richardson","NJN","48","1285","243","528","0.46","14","58","0.241","76","108","0.704","56","116","172","214","103","20","118","156","576","650","1.81","0.87"
"21","Gerald Henderson","BOS","78","2088","376","718","0.524","20","57","0.351","136","177","0.768","68","79","147","300","117","14","161","209","908","942","1.86","0.73"
"22","Mark Aguirre","DAL","79","2900","925","1765","0.524","15","56","0.268","465","621","0.749","161","308","469","358","80","22","285","246","2330","1978","1.26","0.28"
"23","Kevin Grevey","MIL","64","923","178","395","0.451","15","53","0.283","75","84","0.893","30","51","81","75","27","4","45","95","446","362","1.67","0.6"
"24","Mike Bratz","GOS","82","1428","213","521","0.409","15","51","0.294","120","137","0.876","41","102","143","252","84","6","109","155","561","612","2.31","0.77"
"25","George Johnson","IND","81","2073","411","884","0.465","11","47","0.234","223","270","0.826","139","321","460","195","82","49","186","256","1056","1136","1.05","0.44"
"25","Rob Williams","DEN","79","1924","309","671","0.461","15","47","0.319","171","209","0.818","54","140","194","464","84","5","169","268","804","982","2.75","0.5"
"27","Butch Carter","IND","73","2045","413","862","0.479","15","46","0.326","136","178","0.764","70","83","153","206","128","13","141","211","977","845","1.46","0.91"
"27","Craig Hodges","SDC","76","1571","258","573","0.45","10","46","0.217","66","88","0.75","22","64","86","116","58","1","85","166","592","431","1.37","0.68"
"27","Darwin Cook","NJN","82","1870","304","687","0.443","11","46","0.239","95","126","0.754","51","105","156","356","164","36","142","184","714","870","2.51","1.16"
"27","Norm Nixon","SDC","82","3053","587","1270","0.462","11","46","0.239","206","271","0.76","56","147","203","914","94","4","257","180","1391","1601","3.56","0.37"
"31","Mike Dunleavy","MIL","17","404","70","127","0.551","19","45","0.422","32","40","0.8","6","22","28","78","12","1","36","51","191","209","2.17","0.33"
"31","Sleepy Floyd","GOS","77","2555","484","1045","0.463","8","45","0.178","315","386","0.816","87","184","271","269","103","31","196","216","1291","1137","1.37","0.53"
"33","Eddie Johnson","ATL","67","1893","353","798","0.442","16","43","0.372","164","213","0.77","31","115","146","374","58","7","173","155","886","804","2.16","0.34"
"33","Frank Johnson","WAS","82","2686","392","840","0.467","11","43","0.256","187","252","0.742","58","126","184","567","96","6","191","174","982","1131","2.97","0.5"
"35","Reggie Theus","KCK","61","1498","262","625","0.419","7","42","0.167","214","281","0.762","50","79","129","352","50","12","156","171","745","702","2.26","0.32"
"36","Paul Thompson","CLE","82","1731","309","662","0.467","9","39","0.231","115","149","0.772","120","192","312","122","70","37","73","192","742","823","1.67","0.96"
"36","Rory Sparrow","NYK","79","2436","350","738","0.474","10","39","0.256","108","131","0.824","48","141","189","539","100","8","210","230","818","1033","2.57","0.48"
"38","Andrew Toney","PHL","78","2556","593","1125","0.527","12","38","0.316","390","465","0.839","57","136","193","373","70","23","297","251","1588","1343","1.26","0.24"
"38","Brad Davis","DAL","81","2665","345","651","0.53","7","38","0.184","199","238","0.836","41","146","187","561","94","13","166","218","896","1240","3.38","0.57"
"40","Jon Sundvold","SEA","73","1284","217","488","0.445","9","37","0.243","64","72","0.889","23","68","91","239","29","1","81","81","507","507","2.95","0.36"
"41","Byron Scott","LAL","74","1637","334","690","0.484","8","34","0.235","112","139","0.806","50","114","164","177","81","19","116","174","788","730","1.53","0.7"
"41","Fred Brown","SEA","71","1129","258","506","0.51","9","34","0.265","77","86","0.895","14","48","62","194","49","2","70","84","602","582","2.77","0.7"
"43","Lorenzo Romar","MIL","68","1022","161","351","0.459","4","33","0.121","67","94","0.713","21","72","93","193","55","8","63","77","393","462","3.06","0.87"
"44","Dennis Johnson","BOS","80","2665","384","878","0.437","4","32","0.125","281","330","0.852","87","193","280","338","93","57","172","251","1053","1106","1.97","0.54"
"44","Kelvin Ransey","NJN","80","1937","304","700","0.434","7","32","0.219","145","183","0.792","28","99","127","483","91","6","141","182","760","892","3.43","0.65"
"44","Quintin Dailey","CHI","82","2449","583","1229","0.474","4","32","0.125","321","396","0.811","61","174","235","254","109","11","220","218","1491","1159","1.16","0.5"
"47","Junior Bridgeman","MIL","81","2431","509","1094","0.465","6","31","0.194","196","243","0.807","80","252","332","265","53","14","148","224","1220","1104","1.79","0.36"
"48","Kiki Vandeweghe","DEN","78","2734","895","1603","0.558","11","30","0.367","494","580","0.852","84","289","373","238","53","50","156","187","2295","2059","1.53","0.34"
"49","Dale Ellis","DAL","67","1059","225","493","0.456","12","29","0.414","87","121","0.719","106","144","250","56","41","9","78","118","549","525","0.72","0.53"
"49","Magic Johnson","LAL","67","2567","441","780","0.565","6","29","0.207","290","358","0.81","99","392","491","875","150","49","306","169","1178","2030","2.86","0.49"
