"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV"
"1","Dee Brown","TOR","49","1377","187","495","0.378","135","349","0.387","40","55","0.727","15","88","103","143","56","8","80","75","549","456","1.79","0.7"
"2","Jason Williams","SAC","50","1805","231","617","0.374","100","323","0.31","79","105","0.752","14","139","153","299","95","1","143","91","641","634","2.09","0.66"
"3","Tim Hardaway","MIA","48","1772","301","752","0.4","112","311","0.36","121","149","0.812","15","137","152","352","57","6","131","102","835","792","2.69","0.44"
"4","Gary Payton","SEA","50","2008","401","923","0.434","83","281","0.295","199","276","0.721","62","182","244","436","109","12","154","115","1084","1132","2.83","0.71"
"5","Nick Anderson","ORL","47","1581","253","640","0.395","96","277","0.347","99","162","0.611","51","226","277","91","64","15","83","72","701","615","1.1","0.77"
"6","Reggie Miller","IND","50","1787","294","671","0.438","106","275","0.385","226","247","0.915","25","110","135","112","37","9","76","101","920","739","1.47","0.49"
"7","John Starks","GSW","50","1686","269","728","0.37","78","269","0.29","74","100","0.74","33","130","163","235","69","5","83","135","690","594","2.83","0.83"
"8","Mookie Blaylock","ATL","48","1763","247","651","0.379","77","251","0.307","69","91","0.758","45","179","224","278","99","9","115","61","640","709","2.42","0.86"
"9","Chauncey Billups","DEN","45","1488","191","495","0.386","85","235","0.362","157","172","0.913","24","72","96","173","58","14","98","115","624","548","1.77","0.59"
"10","Nick Van Exel","DEN","50","1802","306","769","0.398","72","234","0.308","142","175","0.811","14","99","113","368","40","3","121","90","826","733","3.04","0.33"
"11","Vernon Maxwell","SAC","46","1007","164","421","0.39","80","231","0.346","84","114","0.737","13","72","85","76","30","3","67","111","492","332","1.13","0.45"
"12","Joe Dumars","DET","38","1116","144","350","0.411","89","221","0.403","51","61","0.836","12","56","68","134","23","2","53","51","428","386","2.53","0.43"
"12","Mitch Richmond","WAS","50","1912","331","803","0.412","70","221","0.317","251","293","0.857","30","142","172","122","64","10","136","121","983","701","0.9","0.47"
"14","Sam Mack","HOU","44","1083","167","384","0.435","87","219","0.397","51","58","0.879","14","81","95","55","35","4","33","94","472","404","1.67","1.06"
"15","Dale Ellis","SEA","48","1232","174","395","0.441","94","217","0.433","53","70","0.757","25","90","115","38","25","3","45","77","495","393","0.84","0.56"
"16","Scottie Pippen","HOU","50","2011","261","604","0.432","72","212","0.34","132","183","0.721","63","260","323","293","98","37","159","118","726","924","1.84","0.62"
"17","Ray Allen","MIL","50","1719","303","673","0.45","74","208","0.356","176","195","0.903","57","155","212","178","53","7","122","117","856","795","1.46","0.43"
"18","Paul Pierce","BOS","48","1632","284","647","0.439","84","204","0.412","139","195","0.713","117","192","309","115","82","50","113","139","791","815","1.02","0.73"
"19","Dan Majerle","MIA","48","1624","118","298","0.396","68","203","0.335","33","46","0.717","21","187","208","150","38","7","55","100","337","492","2.73","0.69"
"20","Wesley Person","CLE","45","1342","198","437","0.453","75","200","0.375","32","53","0.604","19","123","142","80","37","16","41","52","503","477","1.95","0.9"
"21","Allen Iverson","PHI","48","1990","435","1056","0.412","58","199","0.291","356","474","0.751","66","170","236","223","110","7","167","98","1284","954","1.34","0.66"
"22","Stephon Marbury","NJN","49","1895","378","883","0.428","66","197","0.335","222","278","0.799","37","105","142","437","59","8","164","125","1044","965","2.67","0.36"
