"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV"
"1","Dan Majerle","PHX","82","3199","509","1096","0.464","167","438","0.381","203","261","0.778","120","263","383","311","138","33","133","180","1388","1475","2.34","1.04"
"2","Reggie Miller","IND","82","2954","571","1193","0.479","167","419","0.399","427","485","0.88","67","191","258","262","120","26","145","182","1736","1577","1.81","0.83"
"3","Glen Rice","MIA","82","3082","582","1324","0.44","148","386","0.383","242","295","0.82","92","332","424","180","92","25","157","201","1554","1323","1.15","0.59"
"4","Danny Ainge","PHX","80","2163","337","730","0.462","150","372","0.403","123","145","0.848","49","165","214","260","69","8","113","175","947","970","2.3","0.61"
"5","Vernon Maxwell","HOU","71","2251","349","858","0.407","120","361","0.332","164","228","0.719","29","192","221","297","86","8","140","124","982","881","2.12","0.61"
"6","Terry Porter","POR","81","2883","503","1108","0.454","143","345","0.414","327","388","0.843","58","258","316","419","101","10","199","122","1476","1457","2.11","0.51"
"7","John Starks","NYK","80","2477","513","1199","0.428","108","336","0.321","263","331","0.795","54","150","204","404","91","12","173","234","1397","1181","2.34","0.53"
"8","Chuck Person","MIN","78","2985","541","1248","0.433","118","332","0.355","109","168","0.649","98","335","433","343","67","30","219","198","1309","1197","1.57","0.31"
"9","Dominique Wilkins","ATL","71","2647","741","1584","0.468","120","316","0.38","519","627","0.828","187","295","482","227","70","27","184","116","2121","1792","1.23","0.38"
"10","Mookie Blaylock","ATL","80","2820","414","964","0.429","118","315","0.375","123","169","0.728","89","191","280","671","203","23","187","156","1069","1463","3.59","1.09"
"11","Tim Hardaway","GOS","66","2609","522","1168","0.447","102","309","0.33","273","367","0.744","60","203","263","699","116","12","220","152","1419","1549","3.18","0.53"
"12","Hersey Hawkins","PHL","81","2977","551","1172","0.47","122","307","0.397","419","487","0.86","91","255","346","317","137","30","180","189","1643","1604","1.76","0.76"
"13","Joe Dumars","DET","77","3094","677","1454","0.466","112","299","0.375","343","397","0.864","63","85","148","308","78","7","138","141","1809","1381","2.23","0.57"
"14","Dale Ellis","SAN","82","2731","545","1092","0.499","119","297","0.401","157","197","0.797","81","231","312","107","78","18","111","179","1366","1183","0.96","0.7"
"15","Mark Price","CLE","75","2380","477","986","0.484","122","293","0.416","289","305","0.948","37","164","201","602","89","11","196","105","1365","1547","3.07","0.45"
"16","Dennis Scott","ORL","54","1759","329","763","0.431","108","268","0.403","92","117","0.786","38","148","186","136","57","18","104","131","858","692","1.31","0.55"
"17","Derek Harper","DAL","62","2108","393","939","0.419","101","257","0.393","239","316","0.756","42","81","123","334","80","16","136","145","1126","920","2.46","0.59"
"18","Jeff Hornacek","PHL","79","2860","582","1239","0.47","97","249","0.39","250","289","0.865","84","258","342","548","131","21","222","203","1511","1635","2.47","0.59"
"18","Nick Anderson","ORL","79","2920","594","1324","0.449","88","249","0.353","298","402","0.741","122","355","477","265","128","56","164","200","1574","1502","1.62","0.78"
"20","Craig Ehlo","CLE","82","2559","385","785","0.49","93","244","0.381","86","120","0.717","113","290","403","254","104","22","124","170","949","1174","2.05","0.84"
"21","Matt Bullard","HOU","79","1356","213","494","0.431","91","243","0.374","58","74","0.784","66","156","222","110","30","11","57","129","575","594","1.93","0.53"
"22","Dell Curry","CHH","80","2094","498","1102","0.452","95","237","0.401","136","157","0.866","51","235","286","180","87","23","129","150","1227","1049","1.4","0.67"
"23","Scott Skiles","ORL","78","3086","416","891","0.467","80","235","0.34","289","324","0.892","52","238","290","735","86","2","267","244","1201","1537","2.75","0.32"
"24","Brad Lohaus","MIL","80","1766","283","614","0.461","85","230","0.37","73","101","0.723","59","217","276","127","47","74","93","178","724","796","1.37","0.51"
"24","Michael Jordan","CHI","78","3067","992","2003","0.495","81","230","0.352","476","569","0.837","135","387","522","428","221","61","207","188","2541","2462","2.07","1.07"
"26","Charles Barkley","PHX","76","2859","716","1376","0.52","67","220","0.305","445","582","0.765","237","691","928","385","119","74","233","196","1944","2420","1.65","0.51"
"27","Kenny Smith","HOU","82","2422","387","744","0.52","96","219","0.438","195","222","0.878","28","132","160","446","80","7","163","110","1065","1211","2.74","0.49"
"28","Michael Adams","WAS","70","2499","365","831","0.439","68","212","0.321","237","277","0.856","52","188","240","526","100","4","175","146","1035","1224","3.01","0.57"
"29","Isiah Thomas","DET","79","2922","526","1258","0.418","61","198","0.308","278","377","0.737","71","161","232","671","123","18","284","222","1391","1320","2.36","0.43"
"29","Latrell Sprewell","GOS","77","2741","449","968","0.464","73","198","0.369","211","283","0.746","79","192","271","295","126","52","203","166","1182","1132","1.45","0.62"
"31","Mahmoud Abdul-Rauf","DEN","81","2710","633","1407","0.45","70","197","0.355","217","232","0.935","51","174","225","344","84","8","187","179","1553","1238","1.84","0.45"
"32","Walt Williams","SAC","59","1673","358","823","0.435","61","191","0.319","224","302","0.742","115","150","265","178","66","29","179","209","1001","817","0.99","0.37"
"33","John Stockton","UTH","82","2863","437","899","0.486","72","187","0.385","293","367","0.798","64","173","237","987","199","21","266","224","1239","1881","3.71","0.75"
"34","Ron Harper","LAC","80","2970","542","1203","0.451","52","186","0.28","307","399","0.769","117","308","425","360","177","73","222","212","1443","1503","1.62","0.8"
"35","Todd Day","MIL","71","1931","358","828","0.432","54","184","0.293","213","297","0.717","144","147","291","117","75","48","118","222","983","842","0.99","0.64"
