"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV"
"1","Gary Payton","SEA","82","3425","747","1666","0.448","177","520","0.34","311","423","0.735","100","429","529","732","153","18","224","178","1982","2159","3.27","0.68"
"2","Jason Williams","SAC","81","2760","363","973","0.373","145","505","0.287","128","170","0.753","22","208","230","589","117","8","296","140","999","995","1.99","0.4"
"3","Ray Allen","MIL","82","3070","642","1411","0.455","172","407","0.423","353","398","0.887","83","276","359","308","110","19","183","187","1809","1608","1.68","0.6"
"4","Reggie Miller","IND","81","2987","466","1041","0.448","165","404","0.408","373","406","0.919","50","189","239","187","85","25","129","126","1470","1269","1.45","0.66"
"5","Darrell Armstrong","ORL","82","2590","484","1119","0.433","137","403","0.34","225","247","0.911","65","205","270","501","169","9","248","137","1330","1374","2.02","0.68"
"6","Nick Van Exel","DEN","79","2950","473","1213","0.39","133","401","0.332","196","240","0.817","34","277","311","714","68","11","221","148","1275","1374","3.23","0.31"
"7","Brent Barry","SEA","80","2726","327","707","0.463","164","399","0.411","127","157","0.809","50","322","372","291","103","31","142","228","945","1190","2.05","0.73"
"8","Nick Anderson","SAC","72","2094","306","782","0.391","132","397","0.332","37","76","0.487","83","256","339","123","94","16","95","118","781","743","1.3","0.99"
"9","Lindsey Hunter","DET","82","2919","379","892","0.425","168","389","0.432","117","154","0.76","35","215","250","327","129","22","145","216","1043","1076","2.26","0.89"
"10","Eddie Jones","CHH","72","2807","478","1119","0.427","128","341","0.375","362","419","0.864","81","262","343","305","192","49","160","176","1446","1477","1.91","1.2"
"11","Bob Sura","CLE","73","2216","356","815","0.437","122","332","0.367","175","251","0.697","50","238","288","284","91","19","148","201","1009","1008","1.92","0.62"
"12","Clifford Robinson","PHX","80","2839","530","1142","0.464","120","324","0.37","298","381","0.782","105","254","359","224","90","61","166","239","1478","1351","1.35","0.54"
"13","Steve Francis","HOU","77","2776","497","1117","0.445","107","310","0.345","287","365","0.786","152","257","409","507","118","29","306","231","1388","1447","1.66","0.39"
"14","Dirk Nowitzki","DAL","82","2938","515","1118","0.461","116","306","0.379","289","348","0.83","102","430","532","203","63","68","141","256","1435","1498","1.44","0.45"
"14","Jaren Jackson","SAS","81","1691","186","488","0.381","108","306","0.353","33","51","0.647","34","147","181","118","54","7","66","157","513","487","1.79","0.82"
"16","Dan Majerle","MIA","69","2308","170","422","0.403","110","304","0.362","56","69","0.812","27","306","333","206","89","17","62","156","506","824","3.32","1.44"
"17","Jim Jackson","ATL","79","2767","507","1235","0.411","117","303","0.386","186","212","0.877","101","293","394","230","57","10","185","167","1317","1069","1.24","0.31"
"18","Mookie Blaylock","GSW","73","2459","327","837","0.391","101","301","0.336","67","95","0.705","55","215","270","489","146","22","143","122","822","1068","3.42","1.02"
"19","Cuttino Mobley","HOU","81","2496","437","1016","0.43","104","292","0.356","299","353","0.847","59","229","288","208","87","32","186","171","1277","1073","1.12","0.47"
"20","Michael Dickerson","VAN","82","3103","554","1270","0.436","119","291","0.409","269","324","0.83","78","201","279","208","116","45","165","226","1496","1208","1.26","0.7"
"21","Jerry Stackhouse","DET","82","3148","619","1447","0.428","83","288","0.288","618","758","0.815","118","197","315","365","103","36","311","188","1939","1479","1.17","0.33"
"22","Antoine Walker","BOS","82","3003","648","1506","0.43","73","285","0.256","311","445","0.699","199","453","652","305","117","32","259","263","1680","1535","1.18","0.45"
