"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV"
"1","Jason Richardson","CHA","82","3149","648","1468","0.441","243","599","0.406","249","331","0.752","80","361","441","258","116","57","166","241","1788","1592","1.55","0.7"
"2","Rashard Lewis","ORL","81","3076","516","1135","0.455","226","553","0.409","218","260","0.838","97","340","437","196","99","38","140","214","1476","1445","1.4","0.71"
"3","Baron Davis","GSW","82","3196","650","1526","0.426","173","525","0.33","318","424","0.75","96","289","385","623","191","43","232","247","1791","1819","2.69","0.82"
"4","Peja Stojakovic","NOH","77","2711","451","1026","0.44","231","524","0.441","130","140","0.929","64","267","331","96","57","10","61","127","1263","1111","1.57","0.93"
"5","Stephen Jackson","GSW","73","2855","488","1204","0.405","182","501","0.363","308","370","0.832","67","251","318","300","92","29","197","171","1466","1230","1.52","0.47"
"6","Jamal Crawford","NYK","80","3190","570","1391","0.41","176","494","0.356","329","381","0.864","37","170","207","398","81","17","192","144","1645","1283","2.07","0.42"
"7","Ray Allen","BOS","73","2624","439","986","0.445","180","452","0.398","215","237","0.907","75","193","268","225","65","16","127","147","1273","1151","1.77","0.51"
"8","Joe Johnson","ATL","82","3343","647","1497","0.432","169","444","0.381","316","379","0.834","83","284","367","474","84","18","223","168","1779","1586","2.13","0.38"
"9","Raja Bell","PHX","75","2646","317","753","0.421","176","439","0.401","79","91","0.868","47","227","274","168","54","27","65","220","889","899","2.59","0.83"
"10","Juan Carlos Navarro","MEM","82","2117","308","766","0.402","156","432","0.361","124","146","0.849","34","176","210","177","48","1","134","94","896","718","1.32","0.36"
"11","Danny Granger","IND","80","2876","537","1205","0.446","171","423","0.404","322","378","0.852","93","393","486","166","95","84","171","290","1567","1503","0.97","0.56"
