"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV"
"1","Stephen Curry","GSW","80","2613","653","1341","0.487","286","646","0.443","308","337","0.914","56","285","341","619","163","16","249","158","1900","2073","2.49","0.66"
"2","Damian Lillard","POR","82","2925","590","1360","0.434","196","572","0.343","344","398","0.864","49","329","378","507","97","21","222","164","1720","1677","2.28","0.44"
"3","James Harden","HOU","81","2981","647","1470","0.44","208","555","0.375","715","824","0.868","75","384","459","565","154","60","321","208","2217","2202","1.76","0.48"
"3","Trevor Ariza","HOU","82","2930","366","910","0.402","194","555","0.35","122","143","0.853","77","382","459","209","152","17","141","186","1048","1179","1.48","1.08"
"5","Klay Thompson","GSW","77","2455","602","1299","0.463","239","545","0.439","225","256","0.879","27","220","247","222","87","60","149","122","1668","1407","1.49","0.58"
"6","JJ Redick","LAC","78","2409","447","938","0.477","200","458","0.437","183","203","0.901","22","145","167","137","39","8","95","134","1277","1022","1.44","0.41"
"7","Danny Green","SAS","81","2312","322","738","0.436","191","457","0.418","111","127","0.874","54","289","343","158","101","87","93","163","946","1110","1.7","1.09"
"8","Kyle Korver","ATL","75","2418","292","600","0.487","221","449","0.492","106","118","0.898","15","289","304","196","52","42","107","140","911","1078","1.83","0.49"
"9","Lou Williams","TOR","80","2016","375","928","0.404","152","447","0.34","340","395","0.861","24","127","151","164","88","10","101","103","1242","946","1.62","0.87"
"10","CJ Miles","IND","70","1841","329","827","0.398","154","446","0.345","130","161","0.807","18","196","214","75","60","26","73","132","942","715","1.03","0.82"
"10","Robert Covington","PHI","70","1956","299","756","0.396","167","446","0.374","178","217","0.82","65","251","316","105","97","31","128","189","943","868","0.82","0.76"
"12","Wesley Matthews","POR","60","2024","337","752","0.448","173","445","0.389","109","145","0.752","38","184","222","139","77","10","81","132","956","872","1.72","0.95"
"13","Kentavious Caldwell-Pope","DET","82","2587","390","972","0.401","153","444","0.345","110","158","0.696","46","209","255","109","93","18","94","161","1043","794","1.16","0.99"
"14","JR Smith","CLE","70","2079","315","755","0.417","163","426","0.383","54","72","0.75","30","188","218","195","82","22","97","163","847","809","2.01","0.85"
"15","Wilson Chandler","DEN","78","2471","418","975","0.429","139","406","0.342","110","142","0.775","96","379","475","134","58","29","110","231","1085","1082","1.22","0.53"
"16","Kevin Love","CLE","75","2532","413","952","0.434","144","392","0.367","258","321","0.804","142","589","731","168","51","39","122","140","1228","1493","1.38","0.42"
"17","Ben McLemore","SAC","82","2670","363","831","0.437","140","391","0.358","130","160","0.813","31","210","241","140","77","19","138","219","996","837","1.01","0.56"
"17","Kyle Lowry","TOR","70","2414","430","1043","0.412","132","391","0.338","252","312","0.808","54","274","328","473","109","13","173","212","1244","1321","2.73","0.63"
"19","Terrence Ross","TOR","82","2092","309","753","0.41","145","390","0.372","44","56","0.786","32","194","226","86","53","25","69","136","807","672","1.25","0.77"
"19","Trey Burke","UTA","76","2288","370","1005","0.368","124","390","0.318","109","145","0.752","31","173","204","328","65","15","124","119","973","790","2.65","0.52"
"21","Gerald Green","PHX","74","1446","324","778","0.416","137","387","0.354","99","120","0.825","33","153","186","91","42","12","104","145","884","636","0.88","0.4"
"22","Kyrie Irving","CLE","75","2730","578","1235","0.468","157","378","0.415","315","365","0.863","55","182","237","389","114","20","186","146","1628","1495","2.09","0.61"
"23","Matt Barnes","LAC","76","2271","277","624","0.444","136","376","0.362","74","95","0.779","51","251","302","114","67","50","87","240","764","842","1.31","0.77"
"24","Jamal Crawford","LAC","64","1703","332","839","0.396","119","364","0.327","227","252","0.901","18","106","124","158","59","14","92","108","1010","741","1.72","0.64"
"25","Ryan Anderson","NOP","61","1675","291","729","0.399","122","359","0.34","129","151","0.854","108","187","295","55","33","20","62","113","833","714","0.89","0.53"
"26","Tim Hardaway Jr.","NYK","70","1681","279","717","0.389","121","354","0.342","125","156","0.801","12","144","156","127","20","14","82","119","804","570","1.55","0.24"
"27","Avery Bradley","BOS","77","2428","434","1013","0.428","124","352","0.352","79","100","0.79","46","195","241","135","82","15","109","177","1071","835","1.24","0.75"
"28","Greivis Vasquez","TOR","82","1991","296","725","0.408","133","351","0.379","50","66","0.758","22","194","216","302","46","10","119","177","775","785","2.54","0.39"
"29","Chris Paul","LAC","82","2857","568","1170","0.485","139","349","0.398","289","321","0.9","52","324","376","838","156","15","190","203","1564","2125","4.41","0.82"
"30","Mo Williams","CHA","68","1980","341","860","0.397","119","348","0.342","163","187","0.872","22","152","174","424","46","14","172","162","964","907","2.47","0.27"
"31","Chandler Parsons","DAL","66","2186","383","829","0.462","132","347","0.38","139","193","0.72","64","259","323","161","69","19","96","140","1037","1013","1.68","0.72"
"32","Channing Frye","ORL","75","1870","191","487","0.392","136","346","0.393","31","35","0.886","27","266","293","94","47","39","78","191","549","644","1.21","0.6"
"32","Isaiah Thomas","BOS","67","1726","335","796","0.421","129","346","0.373","302","348","0.868","33","120","153","284","57","5","143","150","1101","950","1.99","0.4"
"34","LeBron James","CLE","69","2493","624","1279","0.488","120","339","0.354","375","528","0.71","51","365","416","511","109","49","272","135","1743","1748","1.88","0.4"
"35","Joe Johnson","BKN","80","2791","446","1025","0.435","121","337","0.359","141","176","0.801","53","331","384","292","59","14","137","120","1154","1152","2.13","0.43"
"36","Arron Afflalo","POR","78","2502","375","884","0.424","118","333","0.354","167","198","0.843","27","220","247","129","41","7","116","167","1035","803","1.11","0.35"
"37","Gordon Hayward","UTA","76","2618","484","1087","0.445","120","330","0.364","375","462","0.812","54","319","373","313","108","30","206","131","1463","1391","1.52","0.52"
"38","Draymond Green","GSW","79","2490","339","765","0.443","111","329","0.337","132","200","0.66","114","533","647","291","123","99","133","253","921","1454","2.19","0.93"
"39","Anthony Morrow","OKC","74","1806","285","615","0.463","141","325","0.434","79","89","0.888","40","155","195","60","54","11","38","135","790","732","1.58","1.42"
"40","Jason Terry","HOU","77","1641","188","446","0.422","126","323","0.39","39","48","0.813","15","106","121","147","66","19","74","116","541","553","1.99","0.89"
"40","Patrick Beverley","HOU","56","1727","204","532","0.383","115","323","0.356","45","60","0.75","67","170","237","192","59","23","83","182","568","653","2.31","0.71"
"42","Brandon Knight","PHX","63","2035","375","888","0.422","125","321","0.389","195","223","0.874","28","216","244","330","90","10","189","114","1070","1014","1.75","0.48"
"43","Eric Gordon","NOP","61","2018","285","694","0.411","141","315","0.448","107","133","0.805","28","131","159","229","50","14","122","145","818","713","1.88","0.41"
"44","Aaron Brooks","CHI","82","1885","344","817","0.421","121","313","0.387","145","174","0.833","32","134","166","261","54","15","157","189","954","791","1.66","0.34"
"44","Marcus Morris","PHX","81","2045","331","763","0.434","112","313","0.358","71","113","0.628","73","312","385","133","63","16","73","188","845","895","1.82","0.86"
"44","Nikola Mirotic","CHI","82","1654","253","624","0.405","99","313","0.316","228","284","0.803","63","341","404","97","54","54","89","172","833","926","1.09","0.61"
"47","Nicolas Batum","POR","71","2380","240","600","0.4","100","309","0.324","84","98","0.857","62","354","416","341","78","40","132","106","664","1033","2.58","0.59"
"48","DeMarre Carroll","ATL","70","2189","318","653","0.487","120","304","0.395","127","181","0.702","99","273","372","118","94","17","75","154","883","1020","1.57","1.25"
"49","Paul Pierce","WAS","73","1914","293","656","0.447","118","303","0.389","164","210","0.781","45","249","294","144","46","24","92","160","868","875","1.57","0.5"
"50","Danilo Gallinari","DEN","59","1426","228","568","0.401","107","301","0.355","171","191","0.895","31","187","218","83","47","20","57","94","734","685","1.46","0.83"
