"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV"
"1","Wesley Person","CLE","82","3198","440","957","0.46","192","447","0.43","132","170","0.776","65","298","363","188","129","49","110","108","1204","1268","1.71","1.17"
"2","Tim Hardaway","MIA","81","3031","558","1296","0.431","155","442","0.351","257","329","0.781","48","251","299","672","136","16","224","200","1528","1617","3","0.61"
"3","Joe Dumars","DET","72","2326","329","791","0.416","158","426","0.371","127","154","0.825","14","90","104","253","44","2","84","99","943","773","3.01","0.52"
"4","Isaiah Rider","POR","74","2786","551","1302","0.423","135","420","0.321","221","267","0.828","99","247","346","231","55","19","187","188","1458","1125","1.24","0.29"
"5","Tracy Murray","WAS","82","2227","449","1007","0.446","158","403","0.392","182","209","0.871","75","202","277","84","67","25","102","167","1238","1004","0.82","0.66"
"6","John Starks","NYK","82","2188","372","947","0.393","130","398","0.327","185","235","0.787","48","182","230","219","78","5","143","205","1059","823","1.53","0.55"
"7","Gary Payton","SEA","82","3145","579","1278","0.453","134","397","0.338","279","375","0.744","77","299","376","679","185","18","229","195","1571","1805","2.97","0.81"
"8","Reggie Miller","IND","81","2795","516","1081","0.477","164","382","0.429","382","440","0.868","46","186","232","171","78","11","128","148","1578","1319","1.34","0.61"
"9","Voshon Lenard","MIA","81","2621","363","854","0.425","153","378","0.405","141","179","0.788","72","220","292","180","58","16","99","219","1020","938","1.82","0.59"
"10","Eddie Jones","LAL","80","2910","486","1005","0.484","143","368","0.389","234","306","0.765","85","217","302","246","160","55","146","164","1349","1375","1.69","1.1"
"10","Ray Allen","MIL","82","3287","563","1315","0.428","134","368","0.364","342","391","0.875","127","278","405","356","111","12","263","244","1602","1422","1.35","0.42"
"12","Matt Maloney","HOU","78","2217","239","586","0.408","126","346","0.364","65","78","0.833","16","126","142","219","62","5","107","99","669","630","2.05","0.58"
"13","Dennis Scott","PHX","81","2290","329","828","0.397","125","342","0.365","105","130","0.808","47","200","247","153","53","39","104","152","888","752","1.47","0.51"
"14","Clyde Drexler","HOU","70","2473","452","1059","0.427","106","334","0.317","277","346","0.801","105","241","346","382","126","42","189","193","1287","1318","2.02","0.67"
"14","Mitch Richmond","SAC","70","2569","543","1220","0.445","130","334","0.389","407","471","0.864","50","179","229","279","88","15","181","154","1623","1312","1.54","0.49"
"14","Mookie Blaylock","ATL","70","2700","368","938","0.392","90","334","0.269","95","134","0.709","81","260","341","469","183","21","176","122","921","1150","2.67","1.04"
"17","Chauncey Billups","TOR","80","2216","280","749","0.374","107","325","0.329","226","266","0.85","62","128","190","314","107","4","174","172","893","825","1.81","0.62"
"18","Nick Van Exel","LAL","64","2053","311","743","0.419","123","316","0.389","136","172","0.791","31","163","194","442","64","6","104","120","881","1015","4.25","0.62"
"19","Rex Chapman","PHX","68","2263","408","956","0.427","120","311","0.386","146","187","0.781","30","143","173","203","71","14","116","102","1082","838","1.75","0.61"
