"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV"
"1","Dorell Wright","GSW","82","3147","485","1146","0.423","194","516","0.376","180","228","0.789","88","343","431","242","124","63","133","171","1344","1362","1.82","0.93"
"2","Jason Richardson","ORL","80","2715","472","1056","0.447","189","479","0.395","116","159","0.73","67","264","331","147","93","13","95","162","1249","1111","1.55","0.98"
"3","Kevin Martin","HOU","80","2603","553","1267","0.436","176","459","0.383","594","669","0.888","28","230","258","198","80","15","184","155","1876","1454","1.08","0.44"
"4","Manu Ginobili","SAS","80","2426","441","1018","0.433","154","441","0.349","357","410","0.871","42","253","295","393","123","28","174","163","1393","1428","2.26","0.71"
"5","Channing Frye","PHX","77","2541","358","829","0.432","171","439","0.39","89","107","0.832","65","448","513","96","46","79","73","272","976","1148","1.32","0.63"
"6","Kevin Durant","OKC","78","3038","711","1538","0.462","145","414","0.35","594","675","0.88","57","476","533","214","88","76","218","159","2161","1946","0.98","0.4"
"7","Danny Granger","IND","79","2763","535","1260","0.425","157","407","0.386","395","466","0.848","87","338","425","203","89","62","206","213","1622","1399","0.99","0.43"
"8","Jason Kidd","DAL","80","2653","215","596","0.361","133","391","0.34","67","77","0.87","35","316","351","655","134","29","179","119","630","1229","3.66","0.75"
"9","Derrick Rose","CHI","81","3026","711","1597","0.445","128","385","0.332","476","555","0.858","81","249","330","623","85","51","278","136","2026","1872","2.24","0.31"
"10","Toney Douglas","NYK","81","1971","314","755","0.416","143","383","0.373","85","107","0.794","65","179","244","244","89","4","89","177","856","885","2.74","1"
"11","Monta Ellis","GSW","80","3227","726","1611","0.451","137","379","0.361","340","431","0.789","44","237","281","450","168","23","252","203","1929","1623","1.79","0.67"
"12","Ray Allen","BOS","80","2890","480","978","0.491","168","378","0.444","193","219","0.881","51","223","274","219","77","16","117","147","1321","1266","1.87","0.66"
"12","Wesley Matthews","POR","82","2758","440","979","0.449","154","378","0.407","266","315","0.844","48","210","258","164","102","9","138","195","1300","1107","1.19","0.74"
"14","Chauncey Billups","NYK","72","2310","339","794","0.427","146","363","0.402","384","419","0.916","25","165","190","387","71","14","177","146","1208","1203","2.19","0.4"
"15","Rudy Fernandez","POR","78","1821","213","575","0.37","116","361","0.321","126","146","0.863","37","135","172","193","87","14","88","134","668","664","2.19","0.99"
"16","Stephen Jackson","CHA","67","2405","435","1059","0.411","121","359","0.337","249","305","0.816","53","251","304","241","80","28","209","161","1240","1004","1.15","0.38"
"17","Kobe Bryant","LAL","82","2779","740","1639","0.451","115","356","0.323","483","583","0.828","83","336","419","388","99","12","243","172","2078","1754","1.6","0.41"
"18","Jason Terry","DAL","82","2564","492","1091","0.451","127","351","0.362","182","214","0.85","24","129","153","334","93","13","167","140","1293","1088","2","0.56"
"19","Jamal Crawford","ATL","76","2297","368","874","0.421","119","349","0.341","222","260","0.854","22","108","130","241","57","14","145","97","1077","830","1.66","0.39"
"20","Jodie Meeks","PHI","74","2062","242","570","0.425","138","348","0.397","152","170","0.894","21","150","171","78","63","4","60","97","774","684","1.3","1.05"
"20","Mike Bibby","MIA","80","2284","248","576","0.431","153","348","0.44","39","62","0.629","17","178","195","265","50","9","101","175","688","755","2.62","0.5"
"22","Kyle Lowry","HOU","75","2563","345","809","0.426","129","343","0.376","192","251","0.765","89","220","309","500","102","23","158","207","1011","1264","3.17","0.65"
"23","Nicolas Batum","POR","80","2522","367","807","0.455","118","342","0.345","138","164","0.841","109","252","361","123","68","49","83","194","990","1042","1.48","0.82"
"23","Stephen Curry","GSW","74","2489","505","1053","0.48","151","342","0.442","212","227","0.934","52","234","286","432","109","20","226","233","1373","1431","1.91","0.48"
"25","Ryan Anderson","ORL","64","1424","226","525","0.43","134","341","0.393","95","117","0.812","129","226","355","52","30","38","49","137","681","786","1.06","0.61"
"26","CJ Miles","UTA","78","1969","366","899","0.407","109","339","0.322","159","196","0.811","54","201","255","135","74","38","93","221","1000","839","1.45","0.8"
"27","D.J. Augustin","CHA","82","2757","399","958","0.416","111","333","0.333","269","297","0.906","38","187","225","498","54","3","155","152","1178","1216","3.21","0.35"
"27","Luol Deng","CHI","82","3208","531","1155","0.46","115","333","0.345","253","336","0.753","116","360","476","230","78","48","156","162","1430","1399","1.47","0.5"
"29","Raymond Felton","DEN","75","2737","427","1005","0.425","116","329","0.353","194","241","0.805","48","221","269","625","125","11","221","150","1164","1348","2.83","0.57"
"30","Al Harrington","DEN","73","1665","281","675","0.416","117","328","0.357","86","117","0.735","76","256","332","101","39","10","106","202","765","716","0.95","0.37"
"31","Gilbert Arenas","ORL","70","1796","269","734","0.366","97","327","0.297","120","153","0.784","22","167","189","274","74","21","177","188","755","638","1.55","0.42"
"32","James Harden","OKC","82","2189","298","684","0.436","113","324","0.349","289","343","0.843","42","213","255","176","92","24","106","207","998","999","1.66","0.87"
"32","Marco Belinelli","NOH","80","1957","302","691","0.437","134","324","0.414","98","125","0.784","17","134","151","92","38","6","77","146","836","630","1.2","0.49"
"34","Charlie Villanueva","DET","76","1666","313","708","0.442","125","323","0.387","89","116","0.767","50","245","295","48","42","42","66","175","840","779","0.73","0.64"
"35","Vince Carter","PHX","73","2052","389","891","0.437","116","321","0.361","128","173","0.74","54","221","275","146","67","20","90","193","1022","893","1.62","0.74"
"36","Wilson Chandler","DEN","72","2400","429","953","0.45","112","320","0.35","130","161","0.807","75","333","408","120","48","94","104","199","1100","1111","1.15","0.46"
"37","JR Smith","DEN","79","1968","341","784","0.435","124","318","0.39","163","221","0.738","45","277","322","175","92","16","100","173","969","973","1.75","0.92"
"38","Deron Williams","NJN","65","2465","428","975","0.439","105","317","0.331","348","412","0.845","40","220","260","667","79","15","230","190","1309","1489","2.9","0.34"
"39","Hedo Turkoglu","ORL","81","2540","322","722","0.446","127","310","0.41","106","156","0.679","45","311","356","343","72","34","132","247","877","1100","2.6","0.55"
"40","Gary Neal","SAS","80","1685","285","632","0.451","129","308","0.419","84","104","0.808","21","175","196","96","27","4","78","148","783","661","1.23","0.35"
"41","Richard Jefferson","SAS","81","2459","304","642","0.474","135","307","0.44","148","195","0.759","54","256","310","107","38","34","93","164","891","902","1.15","0.41"
"42","Jordan Farmar","NJN","73","1796","255","651","0.392","109","304","0.359","82","100","0.82","24","149","173","368","62","6","139","128","701","757","2.65","0.45"
"43","Brandon Jennings","MIL","63","2169","361","926","0.39","98","303","0.323","199","246","0.809","42","192","234","305","95","21","146","131","1019","916","2.09","0.65"
"44","Joe Johnson","ATL","72","2554","514","1161","0.443","89","300","0.297","195","243","0.802","59","232","291","338","47","7","146","131","1312","1154","2.32","0.32"
"45","Jameer Nelson","ORL","76","2319","374","838","0.446","119","297","0.401","130","162","0.802","37","189","226","456","75","3","194","209","997","1067","2.35","0.39"
"45","Paul Pierce","BOS","80","2774","507","1021","0.497","111","297","0.374","386","449","0.86","34","396","430","260","80","51","171","231","1511","1584","1.52","0.47"
"47","Daniel Gibson","CLE","67","1865","264","660","0.4","118","293","0.403","134","163","0.822","24","153","177","201","48","21","80","154","780","722","2.51","0.6"
"47","Danilo Gallinari","DEN","62","2104","265","640","0.414","103","293","0.352","337","391","0.862","59","246","305","104","51","27","83","144","970","945","1.25","0.61"
"49","Eric Gordon","LAC","56","2112","427","949","0.45","106","291","0.364","287","348","0.825","45","119","164","244","71","18","151","115","1247","1010","1.62","0.47"
"50","Kyle Korver","CHI","82","1649","242","557","0.434","120","289","0.415","77","87","0.885","12","138","150","124","35","20","60","156","681","625","2.07","0.58"
