"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV"
"1","Dale Ellis","SEA","82","3073","785","1520","0.516","86","240","0.358","385","489","0.787","187","260","447","238","104","32","238","267","2041","1785","1","0.44"
"2","Michael Cooper","LAL","82","2253","322","736","0.438","89","231","0.385","126","148","0.851","58","196","254","373","78","43","102","199","859","1069","3.66","0.77"
"3","Mike McGee","ATL","76","1420","311","677","0.459","86","229","0.376","80","137","0.584","71","88","159","149","61","2","104","156","788","632","1.43","0.59"
"4","Craig Hodges","MIL","78","2147","315","682","0.462","85","228","0.373","131","147","0.891","48","92","140","240","76","7","124","189","846","802","1.94","0.61"
"5","Larry Bird","BOS","74","3005","786","1497","0.525","90","225","0.4","414","455","0.91","124","558","682","566","135","70","240","185","2076","2537","2.36","0.56"
"6","Derek Harper","DAL","77","2556","497","993","0.501","76","212","0.358","160","234","0.684","51","148","199","609","167","25","138","195","1230","1522","4.41","1.21"
"7","Darrell Griffith","UTH","76","1843","463","1038","0.446","67","200","0.335","149","212","0.703","81","146","227","129","97","29","135","167","1142","851","0.96","0.72"
"7","Leon Wood","NJN","76","1733","187","501","0.373","60","200","0.3","123","154","0.799","23","97","120","370","48","3","108","126","557","645","3.43","0.44"
"9","Danny Ainge","BOS","71","2499","410","844","0.486","85","192","0.443","148","165","0.897","49","193","242","400","101","14","141","189","1053","1218","2.84","0.72"
"10","Sleepy Floyd","GOS","82","3064","503","1030","0.488","73","190","0.384","462","537","0.86","56","212","268","848","146","18","280","199","1541","1939","3.03","0.52"
"11","Mike Evans","DEN","81","1567","334","729","0.458","53","169","0.314","96","123","0.78","36","92","128","185","79","12","107","149","817","692","1.73","0.74"
"12","Robert Reid","HOU","75","2594","420","1006","0.417","53","162","0.327","136","177","0.768","47","242","289","323","75","21","104","232","1029","1006","3.11","0.72"
"13","Trent Tucker","NYK","70","1691","325","691","0.47","68","161","0.422","77","101","0.762","49","86","135","166","116","13","78","169","795","757","2.13","1.49"
"14","Mark Aguirre","DAL","80","2663","787","1590","0.495","53","150","0.353","429","557","0.77","181","246","427","254","84","30","217","243","2056","1703","1.17","0.39"
"15","Byron Scott","LAL","82","2729","554","1134","0.489","65","149","0.436","224","251","0.892","63","223","286","281","125","18","144","163","1397","1356","1.95","0.87"
"15","Jon Sundvold","SAN","76","1765","365","751","0.486","50","149","0.336","70","84","0.833","20","78","98","315","35","0","97","109","850","801","3.25","0.36"
