"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV"
"1","Michael Adams","DEN","82","2778","416","927","0.449","139","379","0.367","166","199","0.834","40","183","223","503","168","16","144","138","1137","1359","3.49","1.17"
"2","Danny Ainge","BOS","81","3018","482","982","0.491","148","357","0.415","158","180","0.878","59","190","249","503","115","17","153","203","1270","1479","3.29","0.75"
"3","Dale Ellis","SEA","75","2790","764","1519","0.503","107","259","0.413","303","395","0.767","167","173","340","197","74","11","172","221","1938","1541","1.15","0.43"
"4","Larry Bird","BOS","76","2965","881","1672","0.527","98","237","0.414","415","453","0.916","108","595","703","467","125","57","213","157","2275","2585","2.19","0.59"
"5","Derek Harper","DAL","82","3032","536","1167","0.459","60","192","0.313","261","344","0.759","71","175","246","634","168","35","190","164","1393","1572","3.34","0.88"
"6","Byron Scott","LAL","81","3048","710","1348","0.527","62","179","0.346","272","317","0.858","76","257","333","335","155","27","161","204","1754","1760","2.08","0.96"
"7","Michael Cooper","LAL","61","1793","189","482","0.392","57","178","0.32","97","113","0.858","50","178","228","289","66","26","101","136","532","731","2.86","0.65"
"8","Chuck Person","IND","79","2807","575","1252","0.459","59","177","0.333","132","197","0.67","171","365","536","309","73","8","210","266","1341","1315","1.47","0.35"
"9","Craig Hodges","PHX","66","1445","242","523","0.463","86","175","0.491","59","71","0.831","19","59","78","153","46","2","77","118","629","538","1.99","0.6"
"10","Mark Aguirre","DAL","77","2610","746","1571","0.475","52","172","0.302","388","504","0.77","182","252","434","278","70","57","203","223","1932","1627","1.37","0.35"
"10","Reggie Miller","IND","82","1840","306","627","0.488","61","172","0.355","149","186","0.801","95","95","190","132","53","19","101","157","822","757","1.31","0.53"
"12","Trent Tucker","NYK","71","1248","193","455","0.424","69","167","0.413","51","71","0.718","32","87","119","117","53","6","47","158","506","472","2.49","1.13"
"13","Gerald Henderson","PHL","75","1505","194","453","0.428","69","163","0.423","138","170","0.812","27","80","107","231","69","5","133","187","595","583","1.74","0.52"
"14","John Bagley","NJN","82","2774","393","896","0.439","47","161","0.292","148","180","0.822","61","196","257","479","110","10","201","162","981","1101","2.38","0.55"
"15","Mike McGee","SAC","48","1003","223","530","0.421","53","160","0.331","76","102","0.745","55","73","128","71","52","6","65","81","575","434","1.09","0.8"
"16","Charles Barkley","PHL","80","3170","753","1283","0.587","44","157","0.28","714","951","0.751","385","566","951","254","100","103","304","278","2264","2601","0.84","0.33"
"17","John Lucas","MIL","81","1766","281","631","0.445","51","151","0.338","130","162","0.802","29","130","159","392","88","3","125","102","743","878","3.14","0.7"
"18","Richard Anderson","POR","74","1350","171","439","0.39","48","150","0.32","58","77","0.753","91","212","303","112","51","16","61","137","448","582","1.84","0.84"
"19","Mark Price","CLE","80","2626","493","974","0.506","72","148","0.486","221","252","0.877","54","126","180","480","99","12","184","119","1279","1354","2.61","0.54"
"20","Dominique Wilkins","ATL","78","2948","909","1957","0.464","38","129","0.295","541","655","0.826","211","291","502","224","103","47","218","162","2397","1893","1.03","0.47"
"20","Gerald Wilkins","NYK","81","2703","591","1324","0.446","39","129","0.302","191","243","0.786","106","164","270","326","90","22","212","183","1412","1123","1.54","0.43"
"22","Leon Wood","ATL","52","909","136","312","0.436","52","127","0.409","76","99","0.768","17","40","57","174","26","1","39","50","400","420","4.46","0.67"
"23","Mark Jackson","NYK","82","3249","438","1013","0.432","32","126","0.254","206","266","0.774","120","276","396","868","205","6","258","244","1114","1696","3.36","0.8"
"24","Harold Pressley","SAC","80","2029","318","702","0.453","36","110","0.327","103","130","0.792","139","230","369","185","84","55","135","211","775","922","1.37","0.62"
"25","Tom Chambers","SEA","82","2680","611","1364","0.448","33","109","0.303","419","519","0.807","135","355","490","212","87","53","209","297","1674","1454","1.01","0.42"
"26","Darrell Griffith","UTH","52","1052","251","585","0.429","28","102","0.275","59","92","0.641","36","91","127","91","52","5","67","102","589","430","1.36","0.78"
"26","Dudley Bradley","NJN","65","1437","156","365","0.427","37","102","0.363","74","97","0.763","25","102","127","151","114","43","88","172","423","538","1.72","1.3"
"28","Bob Hansen","UTH","81","1796","316","611","0.517","32","97","0.33","113","152","0.743","64","123","187","175","65","5","91","193","777","784","1.92","0.71"
"28","Chris Mullin","GOS","60","2033","470","926","0.508","34","97","0.351","239","270","0.885","58","147","205","290","113","32","156","136","1213","1210","1.86","0.72"
"28","Isiah Thomas","DET","81","2927","621","1341","0.463","30","97","0.309","305","394","0.774","64","214","278","678","141","17","273","217","1577","1609","2.48","0.52"
"31","Walter Davis","PHX","68","1951","488","1031","0.473","36","96","0.375","205","231","0.887","32","127","159","278","86","3","126","131","1217","1048","2.21","0.68"
"32","Alvin Robertson","SAN","82","2978","655","1408","0.465","27","95","0.284","273","365","0.748","165","333","498","557","243","69","251","300","1610","1881","2.22","0.97"
"32","John Paxson","CHI","81","1888","287","582","0.493","33","95","0.347","33","45","0.733","16","88","104","303","49","1","64","154","640","726","4.73","0.77"
"34","Eddie Johnson","PHX","73","2177","533","1110","0.48","24","94","0.255","204","240","0.85","121","197","318","180","33","9","139","190","1294","1082","1.3","0.24"
"35","Johnny Newman","NYK","77","1589","270","620","0.435","26","93","0.28","207","246","0.841","87","72","159","62","72","11","103","204","773","585","0.6","0.7"
"36","Mike Evans","DEN","56","656","139","307","0.453","36","91","0.396","30","37","0.811","9","39","48","81","34","6","43","78","344","295","1.88","0.79"
"37","Larry Drew","LAC","74","2024","328","720","0.456","26","90","0.289","83","108","0.769","21","98","119","383","65","0","152","114","765","763","2.52","0.43"
"38","Allen Leavell","HOU","80","2150","291","666","0.437","19","88","0.216","218","251","0.869","22","126","148","405","124","9","130","162","819","967","3.12","0.95"
"39","Dell Curry","CLE","79","1499","340","742","0.458","28","81","0.346","79","101","0.782","43","123","166","149","94","22","108","128","787","686","1.38","0.87"
"40","Mike Woodson","LAC","80","2534","562","1263","0.445","18","78","0.231","296","341","0.868","64","126","190","273","109","26","186","210","1438","1104","1.47","0.59"
"41","Danny Young","SEA","77","949","89","218","0.408","22","77","0.286","43","53","0.811","18","57","75","218","52","2","37","69","243","414","5.89","1.41"
"41","John Long","IND","81","2022","417","879","0.474","34","77","0.442","166","183","0.907","72","157","229","173","84","11","127","164","1034","925","1.36","0.66"
"43","Brad Davis","DAL","75","1480","208","415","0.501","30","74","0.405","91","108","0.843","18","84","102","303","51","18","91","149","537","696","3.33","0.56"
"43","Kelly Tripucka","UTH","49","976","139","303","0.459","31","74","0.419","59","68","0.868","30","87","117","105","34","4","68","68","368","387","1.54","0.5"
"45","Sleepy Floyd","HOU","77","2514","420","969","0.433","14","72","0.194","301","354","0.85","77","219","296","544","95","12","223","190","1155","1277","2.44","0.43"
"46","Terry Porter","POR","82","2991","462","890","0.519","24","69","0.348","274","324","0.846","65","313","378","831","150","16","244","204","1222","1875","3.41","0.62"
"47","John Stockton","UTH","82","2842","454","791","0.574","24","67","0.358","272","324","0.84","54","183","237","1128","242","16","262","247","1204","2176","4.31","0.92"
"48","Craig Ehlo","CLE","79","1709","226","485","0.466","22","64","0.344","89","132","0.674","86","188","274","206","82","30","107","182","563","746","1.93","0.77"
"48","Jon Sundvold","SAN","52","1024","176","379","0.464","26","64","0.406","43","48","0.896","14","34","48","183","27","2","57","54","421","416","3.21","0.47"
"50","Johnny Dawkins","SAN","65","2179","405","835","0.485","19","61","0.311","198","221","0.896","66","138","204","480","88","2","154","95","1027","1194","3.12","0.57"
