"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV"
"1","Mike Dunleavy","SAN","79","1619","213","510","0.418","67","194","0.345","120","154","0.779","18","116","134","437","74","4","160","210","613","771","2.73","0.46"
"2","Allen Leavell","HOU","79","2602","439","1059","0.415","42","175","0.24","247","297","0.832","64","131","195","530","165","14","198","215","1167","1203","2.68","0.83"
"3","Darrell Griffith","UTH","77","2787","752","1554","0.484","38","132","0.288","167","246","0.679","100","204","304","270","138","33","252","184","1709","1321","1.07","0.55"
"4","Isiah Thomas","DET","81","3093","725","1537","0.472","36","125","0.288","368","518","0.71","105","223","328","634","199","29","326","318","1854","1756","1.95","0.61"
"5","Reggie Theus","CHI","82","2856","749","1567","0.478","21","91","0.231","434","542","0.801","91","209","300","484","143","17","321","281","1953","1650","1.51","0.45"
"6","Craig Hodges","SDC","76","2022","318","704","0.452","20","90","0.222","94","130","0.723","53","69","122","275","82","4","161","192","750","650","1.71","0.51"
"7","Larry Bird","BOS","79","2982","747","1481","0.504","22","77","0.286","351","418","0.84","193","677","870","458","148","71","240","197","1867","2373","1.91","0.62"
"8","Andrew Toney","PHL","81","2474","626","1250","0.501","22","76","0.289","324","411","0.788","42","183","225","365","80","17","271","255","1598","1303","1.35","0.3"
"8","Kyle Macy","PHX","82","1836","328","634","0.517","23","76","0.303","129","148","0.872","41","124","165","278","64","8","90","130","808","908","3.09","0.71"
"8","Mark Aguirre","DAL","81","2784","767","1589","0.483","16","76","0.211","429","589","0.728","191","317","508","332","80","26","261","247","1979","1682","1.27","0.31"
"11","Ray Williams","KCK","72","2170","419","1068","0.392","15","74","0.203","256","333","0.769","93","234","327","569","120","26","335","248","1109","1090","1.7","0.36"
"12","Eddie Johnson","KCK","82","2933","677","1370","0.494","20","71","0.282","247","317","0.779","191","310","501","216","70","20","181","259","1621","1484","1.19","0.39"
"13","Brian Winters","MIL","57","1361","255","587","0.434","22","68","0.324","73","85","0.859","35","75","110","156","45","4","81","132","605","495","1.93","0.56"
"14","Frank Johnson","WAS","68","2324","321","786","0.408","14","61","0.23","196","261","0.751","46","132","178","549","110","6","238","170","852","927","2.31","0.46"
"15","Ricky Sobers","WAS","41","1438","234","534","0.438","23","55","0.418","154","185","0.832","35","67","102","218","61","14","147","158","645","562","1.48","0.42"
"16","Butch Carter","IND","81","1716","354","706","0.501","17","51","0.333","124","154","0.805","62","88","150","194","78","13","118","207","849","784","1.64","0.66"
"16","Kiki Vandeweghe","DEN","82","2909","841","1537","0.547","15","51","0.294","489","559","0.875","124","313","437","203","66","38","177","198","2186","1987","1.15","0.37"
"16","Micheal Ray Richardson","NJN","64","2076","346","815","0.425","8","51","0.157","106","163","0.65","113","182","295","432","182","24","244","240","806","969","1.77","0.75"
"19","Al Wood","SDC","76","1822","343","740","0.464","15","50","0.3","124","161","0.77","96","140","236","134","55","36","111","188","825","741","1.21","0.5"
"20","Paul Westphal","NYK","80","1978","318","693","0.459","14","48","0.292","148","184","0.804","19","96","115","439","87","16","196","180","798","848","2.24","0.44"
"20","Wes Matthews","ATL","64","1187","171","424","0.403","14","48","0.292","86","112","0.768","25","66","91","249","60","8","123","129","442","448","2.02","0.49"
"22","World Free","CLE","73","2638","649","1423","0.456","15","45","0.333","430","583","0.738","92","109","201","290","97","15","209","241","1743","1210","1.39","0.46"
"23","Brad Davis","DAL","79","2323","359","628","0.572","11","43","0.256","186","220","0.845","34","164","198","565","80","11","143","176","915","1323","3.95","0.56"
"23","Gus Williams","SEA","80","2761","660","1384","0.477","2","43","0.047","278","370","0.751","72","133","205","643","182","26","230","117","1600","1610","2.8","0.79"
"25","Eddie Johnson","ATL","61","1813","389","858","0.453","14","41","0.341","186","237","0.785","26","98","124","318","61","6","156","138","978","811","2.04","0.39"
"25","Jose Slaughter","IND","63","515","89","238","0.374","9","41","0.22","38","59","0.644","34","34","68","52","36","7","42","93","225","176","1.24","0.86"
"25","Rod Higgins","CHI","82","2196","313","698","0.448","13","41","0.317","209","264","0.792","159","207","366","175","66","65","127","248","848","953","1.38","0.52"
"28","Vinnie Johnson","DET","82","2511","520","1013","0.513","11","40","0.275","245","315","0.778","167","186","353","301","93","49","152","263","1296","1377","1.98","0.61"
"29","Darwin Cook","NJN","82","2625","443","986","0.449","8","38","0.211","186","242","0.769","73","167","240","448","194","48","238","213","1080","1173","1.88","0.82"
"29","George Johnson","IND","82","2297","409","858","0.477","7","38","0.184","126","172","0.733","176","369","545","220","77","53","242","279","951","1109","0.91","0.32"
"29","Kevin Grevey","WAS","41","756","114","294","0.388","15","38","0.395","54","69","0.783","18","31","49","49","18","7","27","61","297","198","1.82","0.67"
"32","Greg Ballard","WAS","78","2840","603","1274","0.473","13","37","0.351","182","233","0.781","123","385","508","262","135","25","157","176","1401","1452","1.67","0.86"
"32","Kelly Tripucka","DET","58","2252","565","1156","0.489","14","37","0.378","392","464","0.845","126","138","264","237","67","20","187","157","1536","1274","1.27","0.36"
"34","Joe Bryant","HOU","81","2055","344","768","0.448","8","36","0.222","116","165","0.703","88","189","277","186","82","30","177","258","812","737","1.05","0.46"
"34","Mickey Johnson","GOS","78","2053","391","921","0.425","3","36","0.083","312","380","0.821","163","331","494","255","82","46","238","288","1097","1138","1.07","0.35"
"36","Don Buse","POR","41","643","72","182","0.396","9","35","0.257","41","46","0.891","19","35","54","115","44","2","25","60","194","269","4.6","1.76"
"37","George Gervin","SAN","78","2830","757","1553","0.487","12","33","0.364","517","606","0.853","111","246","357","264","88","67","247","243","2043","1687","1.07","0.36"
"37","Lorenzo Romar","GOS","82","2130","266","572","0.465","10","33","0.303","78","105","0.743","23","115","138","455","98","5","141","142","620","842","3.23","0.7"
"37","Mike Woodson","KCK","81","2426","584","1154","0.506","7","33","0.212","298","377","0.79","84","164","248","254","137","59","174","203","1473","1348","1.46","0.79"
"40","Fred Brown","SEA","80","1432","371","714","0.52","14","32","0.438","58","72","0.806","32","65","97","242","59","13","110","98","814","758","2.2","0.54"
"40","Scott Wedman","BOS","75","1793","374","788","0.475","10","32","0.313","85","107","0.794","98","184","282","117","43","17","126","228","843","740","0.93","0.34"
"42","Charlie Criss","MIL","66","922","169","375","0.451","6","31","0.194","68","76","0.895","14","65","79","127","27","0","44","44","412","387","2.89","0.61"
