"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV"
"1","Michael Adams","DEN","66","2346","560","1421","0.394","167","564","0.296","465","529","0.879","58","198","256","693","147","6","240","162","1752","1689","2.89","0.61"
"2","Vernon Maxwell","HOU","82","2870","504","1247","0.404","172","510","0.337","217","296","0.733","41","197","238","303","127","15","171","179","1397","1087","1.77","0.74"
"3","Dennis Scott","ORL","82","2336","503","1183","0.425","125","334","0.374","153","204","0.75","62","173","235","134","62","25","127","203","1284","882","1.06","0.49"
"4","Reggie Miller","IND","82","2972","596","1164","0.512","112","322","0.348","551","600","0.918","81","200","281","331","109","13","163","165","1855","1809","2.03","0.67"
"5","Terry Porter","POR","81","2665","486","944","0.515","130","313","0.415","279","339","0.823","52","230","282","649","158","12","189","151","1381","1775","3.43","0.84"
"6","Hersey Hawkins","PHL","80","3110","590","1251","0.472","108","270","0.4","479","550","0.871","48","262","310","299","178","39","213","182","1767","1648","1.4","0.84"
"7","Doc Rivers","ATL","79","2586","444","1020","0.435","88","262","0.336","221","262","0.844","47","206","253","340","148","47","125","216","1197","1243","2.72","1.18"
"8","Tim Hardaway","GOS","82","3215","739","1551","0.476","97","252","0.385","306","381","0.803","87","245","332","793","214","12","270","228","1881","2075","2.94","0.79"
"9","Danny Ainge","POR","80","1710","337","714","0.472","102","251","0.406","114","138","0.826","45","160","205","285","63","13","100","195","890","955","2.85","0.63"
"10","Magic Johnson","LAL","79","2933","466","976","0.477","80","250","0.32","519","573","0.906","105","446","551","989","102","17","314","150","1531","2312","3.15","0.33"
"11","Dominique Wilkins","ATL","81","3078","770","1640","0.47","85","249","0.341","476","574","0.829","261","471","732","265","123","65","201","156","2101","2117","1.32","0.61"
"12","Derek Harper","DAL","77","2879","572","1226","0.467","89","246","0.362","286","391","0.731","59","174","233","548","147","14","177","222","1519","1525","3.1","0.83"
"13","Scott Skiles","ORL","79","2714","462","1039","0.445","93","228","0.408","340","377","0.902","57","213","270","660","89","4","252","192","1357","1514","2.62","0.35"
"14","Rod Higgins","GOS","82","2024","259","559","0.463","73","220","0.332","185","226","0.819","109","245","354","113","52","37","65","198","776","926","1.74","0.8"
"15","Byron Scott","LAL","82","2630","501","1051","0.477","71","219","0.324","118","148","0.797","54","192","246","177","95","21","85","146","1191","1065","2.08","1.12"
"16","Chuck Person","IND","80","2566","620","1231","0.504","69","203","0.34","165","229","0.721","121","296","417","238","56","17","184","221","1474","1343","1.29","0.3"
"17","Larry Bird","BOS","60","2277","462","1017","0.454","77","198","0.389","163","183","0.891","53","456","509","431","108","58","187","118","1164","1508","2.31","0.58"
"18","Travis Mays","SAC","64","2145","294","724","0.406","72","197","0.365","255","331","0.77","54","124","178","253","81","11","159","169","915","773","1.59","0.51"
"19","Clyde Drexler","POR","82","2852","645","1338","0.482","61","191","0.319","416","524","0.794","212","334","546","493","144","60","232","226","1767","1977","2.13","0.62"
"20","Glen Rice","MIA","77","2646","550","1193","0.461","71","184","0.386","171","209","0.818","85","296","381","189","101","26","166","216","1342","1192","1.14","0.61"
"21","Chris Morris","NJN","79","2553","409","962","0.425","45","179","0.251","179","244","0.734","210","311","521","220","138","96","167","248","1042","1232","1.32","0.83"
"22","Sleepy Floyd","HOU","82","1850","386","939","0.411","48","176","0.273","185","246","0.752","52","107","159","317","95","17","140","122","1005","839","2.26","0.68"
"23","John Stockton","UTH","82","3103","496","978","0.507","58","168","0.345","363","434","0.836","46","191","237","1164","234","16","298","233","1413","2213","3.91","0.79"
"23","Spud Webb","ATL","75","2197","359","803","0.447","54","168","0.321","231","266","0.868","41","133","174","417","118","6","146","180","1003","1093","2.86","0.81"
"25","Jay Humphries","MIL","80","2726","482","960","0.502","60","161","0.373","191","239","0.799","57","163","220","538","129","7","151","237","1215","1432","3.56","0.85"
"26","Dale Ellis","MIL","51","1424","340","718","0.474","57","157","0.363","120","166","0.723","66","107","173","95","49","8","81","112","857","677","1.17","0.61"
"26","Reggie Williams","DEN","73","1896","384","855","0.449","57","157","0.363","166","197","0.843","133","173","306","133","113","41","112","253","991","970","1.19","1.01"
"28","Charles Barkley","PHL","67","2498","665","1167","0.57","44","155","0.284","475","658","0.722","258","422","680","284","110","33","210","173","1849","2061","1.35","0.52"
"29","Jim Les","SAC","55","1399","119","268","0.444","71","154","0.461","86","103","0.835","18","93","111","299","57","4","75","141","395","625","3.99","0.76"
"30","Trent Tucker","NYK","65","1194","191","434","0.44","64","153","0.418","17","27","0.63","33","72","105","111","44","9","46","120","463","433","2.41","0.96"
"31","Craig Ehlo","CLE","82","2766","344","773","0.445","49","149","0.329","95","140","0.679","142","246","388","376","121","34","160","209","832","1117","2.35","0.76"
"32","Rex Chapman","CHH","70","2100","410","922","0.445","48","148","0.324","234","282","0.83","45","146","191","250","73","16","131","167","1102","941","1.91","0.56"
"32","Ron Harper","LAC","39","1383","285","729","0.391","48","148","0.324","145","217","0.668","58","130","188","209","66","35","129","111","763","616","1.62","0.51"
"34","Jeff Hornacek","PHX","80","2733","544","1051","0.518","61","146","0.418","201","224","0.897","74","247","321","409","111","16","130","185","1350","1547","3.15","0.85"
"35","Reggie Theus","NJN","81","2955","583","1247","0.468","52","144","0.361","292","343","0.851","69","160","229","378","85","35","252","231","1510","1270","1.5","0.34"
"36","Kiki Vandeweghe","NYK","75","2420","458","927","0.494","51","141","0.362","259","288","0.899","78","102","180","110","42","10","108","122","1226","962","1.02","0.39"
"37","Darrell Griffith","UTH","75","1005","174","445","0.391","48","138","0.348","34","45","0.756","17","73","90","37","42","7","48","100","430","276","0.77","0.88"
"38","Jack Sikma","MIL","77","1940","295","691","0.427","46","135","0.341","166","197","0.843","108","333","441","143","65","64","130","218","802","958","1.1","0.5"
"38","Kenny Smith","HOU","78","2699","522","1003","0.52","49","135","0.363","287","340","0.844","36","127","163","554","106","11","237","131","1380","1443","2.34","0.45"
"38","Scott Brooks","MIN","80","980","159","370","0.43","45","135","0.333","61","72","0.847","28","44","72","204","53","5","51","122","424","485","4","1.04"
"41","Chris Mullin","GOS","82","3315","777","1449","0.536","40","133","0.301","513","580","0.884","141","302","443","329","173","63","245","176","2107","2131","1.34","0.71"
"42","Pooh Richardson","MIN","82","3154","635","1350","0.47","42","128","0.328","89","165","0.539","82","204","286","734","131","13","174","114","1401","1600","4.22","0.75"
"43","Bill Laimbeer","DET","82","2668","372","778","0.478","37","125","0.296","123","147","0.837","173","564","737","157","38","56","98","242","904","1364","1.6","0.39"
"44","George McCloud","IND","74","1070","131","351","0.373","43","124","0.347","38","49","0.776","35","83","118","150","40","11","91","141","343","340","1.65","0.44"
"45","Eddie Johnson","SEA","81","2085","543","1122","0.484","39","120","0.325","229","257","0.891","107","164","271","111","58","9","122","181","1354","1074","0.91","0.48"
"46","Brad Lohaus","MIL","81","1219","179","415","0.431","33","119","0.277","37","54","0.685","59","158","217","75","50","74","60","170","428","531","1.25","0.83"
"47","Ricky Pierce","SEA","78","2167","561","1156","0.485","46","116","0.397","430","471","0.913","67","124","191","168","60","13","147","170","1598","1247","1.14","0.41"
"48","Craig Hodges","CHI","73","843","146","344","0.424","44","115","0.383","26","27","0.963","10","32","42","97","34","2","35","74","362","303","2.77","0.97"
"48","Mitch Richmond","GOS","77","3027","703","1424","0.494","40","115","0.348","394","465","0.847","147","305","452","238","126","34","230","207","1840","1668","1.04","0.55"
"50","Rolando Blackman","DAL","80","2965","634","1316","0.482","40","114","0.351","282","326","0.865","63","193","256","301","69","19","159","153","1590","1350","1.89","0.43"
