RANK,PLAYER,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF
67,Jordan Clarkson,CLE,81,23.3,5.3,11.8,0.451,1.4,3.9,0.352,1.9,2.3,0.8,0.7,2,2.7,2.7,0.7,0.1,1.6,13.9,11.6
68,Clint Capela,HOU,74,27.5,6,9.1,0.652,0,0,0,1.9,3.5,0.56,3.3,7.6,10.8,0.9,0.8,1.9,1.4,13.9,22.2
69,Buddy Hield,SAC,80,25.3,5.2,11.7,0.446,2.2,5.1,0.431,0.9,1,0.877,0.7,3.2,3.8,1.9,1.1,0.3,1.6,13.5,12.5
70,DeMarre Carroll,BKN,73,29.9,4.5,10.8,0.414,2,5.4,0.371,2.6,3.4,0.764,1.4,5.1,6.6,2,0.8,0.4,1.4,13.5,14.8
71,Kentavious Caldwell-Pope,LAL,74,33.2,4.6,10.8,0.426,2.1,5.6,0.383,2.1,2.6,0.789,0.8,4.4,5.2,2.2,1.4,0.2,1.3,13.4,14.4
72,Bobby Portis,CHI,73,22.5,5.2,11.1,0.471,1.1,3.1,0.359,1.6,2.1,0.769,2.2,4.6,6.8,1.7,0.7,0.3,1.4,13.2,14.9
73,Allen Crabbe,BKN,75,29.3,4.5,11,0.407,2.7,7.1,0.378,1.5,1.8,0.852,0.4,3.9,4.3,1.6,0.6,0.5,1,13.2,12.3
74,Michael Beasley,NYK,74,22.3,5.5,10.9,0.507,0.5,1.2,0.395,1.7,2.1,0.78,1.3,4.3,5.6,1.7,0.5,0.6,1.9,13.2,13.7
75,Josh Jackson,PHX,77,25.4,5.1,12.1,0.417,0.7,2.8,0.263,2.3,3.6,0.634,1.2,3.3,4.6,1.5,1,0.5,1.9,13.1,10.5
76,Ricky Rubio,UTA,77,29.3,4.5,10.7,0.418,1.2,3.5,0.352,2.9,3.3,0.866,0.6,4,4.6,5.3,1.6,0.1,2.7,13.1,15.3
77,Brook Lopez,LAL,74,23.4,5,10.7,0.465,1.5,4.4,0.345,1.5,2.1,0.703,1,3,4,1.7,0.4,1.3,1.3,13,12.7
