"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV","PPG"
"1","Adrian Dantley","UTH","79","2984","802","1438","0.558","1","4","0.25","813","946","0.859","179","269","448","310","61","4","263","201","2418","2209","1.18","0.23",0.810321715817694
"2","Mark Aguirre","DAL","79","2900","925","1765","0.524","15","56","0.268","465","621","0.749","161","308","469","358","80","22","285","246","2330","1978","1.26","0.28",0.803448275862069
"3","Kiki Vandeweghe","DEN","78","2734","895","1603","0.558","11","30","0.367","494","580","0.852","84","289","373","238","53","50","156","187","2295","2059","1.53","0.34",0.839429407461595
"4","Alex English","DEN","82","2870","907","1714","0.529","1","7","0.143","352","427","0.824","216","248","464","406","83","95","222","252","2167","2111","1.83","0.37",0.755052264808362
"5","Bernard King","NYK","77","2667","795","1391","0.572","0","4","0","437","561","0.779","123","271","394","164","75","17","197","273","2027","1760","0.83","0.38",0.760029996250469
"6","George Gervin","SAN","76","2584","765","1561","0.49","10","24","0.417","427","507","0.842","106","207","313","220","79","47","224","219","1967","1526","0.98","0.35",0.761222910216718
"7","Larry Bird","BOS","79","3028","758","1542","0.492","18","73","0.247","374","421","0.888","181","615","796","520","144","69","237","197","1908","2369","2.19","0.61",0.630118890356671
"8","Terry Cummings","SDC","81","2907","737","1491","0.494","0","3","0","380","528","0.72","323","454","777","139","92","57","218","298","1854","1799","0.64","0.42",0.637770897832817
"9","Mike Mitchell","SAN","79","2853","779","1597","0.488","6","14","0.429","275","353","0.779","188","382","570","93","62","73","141","251","1839","1600","0.66","0.44",0.644584647739222
"10","Rolando Blackman","DAL","81","3025","721","1320","0.546","1","11","0.091","372","458","0.812","124","249","373","288","56","37","169","127","1815","1715","1.7","0.33",0.6
"11","Purvis Short","GOS","79","2945","714","1509","0.473","22","72","0.306","353","445","0.793","184","254","438","246","103","11","228","252","1803","1486","1.08","0.45",0.612224108658744
"12","Eddie Johnson","KCK","82","2920","753","1552","0.485","20","64","0.313","268","331","0.81","165","290","455","296","76","21","213","266","1794","1567","1.39","0.36",0.614383561643836
"13","Dominique Wilkins","ATL","81","2961","684","1429","0.479","0","11","0","382","496","0.77","254","328","582","126","117","87","215","197","1750","1588","0.59","0.54",0.591016548463357
"14","Isiah Thomas","DET","82","3007","669","1448","0.462","22","65","0.338","388","529","0.733","103","224","327","914","204","33","307","324","1748","1999","2.98","0.66",0.581310276022614
"15","Julius Erving","PHL","77","2683","678","1324","0.512","7","21","0.333","364","483","0.754","190","342","532","309","141","139","230","217","1727","1853","1.34","0.61",0.643682445024227
"16","Jim Paxson","POR","81","2686","680","1322","0.514","17","59","0.288","345","410","0.841","68","105","173","251","122","10","142","165","1722","1429","1.77","0.86",0.641102010424423
"17","Ralph Sampson","HOU","82","2693","716","1369","0.523","1","4","0.25","287","434","0.661","293","620","913","163","70","197","294","339","1720","1969","0.55","0.24",0.638692907538062
"18","Kareem Abdul-Jabbar","LAL","80","2622","716","1238","0.578","0","1","0","285","394","0.723","169","418","587","211","55","143","221","211","1717","1861","0.96","0.25",0.654843630816171
"19","World Free","CLE","75","2375","626","1407","0.445","22","69","0.319","395","504","0.784","89","128","217","226","94","8","154","214","1669","1170","1.47","0.61",0.702736842105263
"20","Jeff Ruland","WAS","75","3082","599","1035","0.579","1","7","0.143","466","636","0.733","265","657","922","296","68","72","342","285","1665","2075","0.87","0.2",0.540233614536016
