"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV","PPG"
"1","Michael Jordan","CHI","78","3067","992","2003","0.495","81","230","0.352","476","569","0.837","135","387","522","428","221","61","207","188","2541","2462","2.07","1.07",0.828496902510597
"2","Karl Malone","UTH","82","3099","797","1443","0.552","4","20","0.2","619","836","0.74","227","692","919","308","124","85","240","261","2217","2550","1.28","0.52",0.71539206195547
"3","Hakeem Olajuwon","HOU","82","3242","848","1603","0.529","0","8","0","444","570","0.779","283","785","1068","291","150","342","262","305","2140","2848","1.11","0.57",0.660086366440469
"4","Dominique Wilkins","ATL","71","2647","741","1584","0.468","120","316","0.38","519","627","0.828","187","295","482","227","70","27","184","116","2121","1792","1.23","0.38",0.801284472988289
"5","Patrick Ewing","NYK","81","3003","779","1550","0.503","1","7","0.143","400","556","0.719","191","789","980","151","74","161","265","286","1959","2133","0.57","0.28",0.652347652347652
"6","Charles Barkley","PHX","76","2859","716","1376","0.52","67","220","0.305","445","582","0.765","237","691","928","385","119","74","233","196","1944","2420","1.65","0.51",0.679958027282267
"7","David Robinson","SAN","82","3211","676","1348","0.501","3","17","0.176","561","766","0.732","229","727","956","301","127","264","241","239","1916","2446","1.25","0.53",0.596698847710993
"8","Shaquille O'Neal","ORL","81","3071","733","1304","0.562","0","2","0","427","721","0.592","342","780","1122","152","60","286","307","321","1893","2341","0.5","0.2",0.616411592315207
"9","Larry Johnson","CHH","82","3323","728","1385","0.526","18","71","0.254","336","438","0.767","281","583","864","353","53","27","227","187","1810","2121","1.56","0.23",0.544688534456816
"10","Joe Dumars","DET","77","3094","677","1454","0.466","112","299","0.375","343","397","0.864","63","85","148","308","78","7","138","141","1809","1381","2.23","0.57",0.584680025856496
"11","Danny Manning","LAC","79","2761","702","1379","0.509","8","30","0.267","388","484","0.802","198","322","520","207","108","101","230","323","1800","1733","0.9","0.47",0.651937703730532
"12","Reggie Miller","IND","82","2954","571","1193","0.479","167","419","0.399","427","485","0.88","67","191","258","262","120","26","145","182","1736","1577","1.81","0.83",0.587677725118483
