"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV","PPG"
"1","Shaquille O'Neal","ORL","79","2923","930","1594","0.583","0","5","0","455","854","0.533","328","573","901","214","73","192","204","258","2315","2428","1.05","0.36",0.791994526171741
"2","David Robinson","SAN","81","3074","788","1487","0.53","6","20","0.3","656","847","0.774","234","643","877","236","134","262","233","230","2238","2624","1.01","0.58",0.72804163955758
"3","Karl Malone","UTH","82","3126","830","1548","0.536","11","41","0.268","516","695","0.742","156","715","871","285","129","85","236","269","2187","2424","1.21","0.55",0.699616122840691
"4","Hakeem Olajuwon","HOU","72","2853","798","1545","0.517","3","16","0.188","406","537","0.756","172","603","775","255","133","242","237","250","2005","2295","1.08","0.56",0.702769015071854
"5","Jamal Mashburn","DAL","80","2980","683","1566","0.436","113","344","0.328","447","605","0.739","116","215","331","298","82","8","235","190","1926","1369","1.27","0.35",0.646308724832215
"6","Patrick Ewing","NYK","79","2920","730","1452","0.503","6","21","0.286","420","560","0.75","157","710","867","212","68","159","256","272","1886","2074","0.83","0.27",0.645890410958904
"7","Mitch Richmond","SAC","82","3172","668","1497","0.446","156","424","0.368","375","445","0.843","69","288","357","311","91","29","234","227","1867","1522","1.33","0.39",0.58858764186633
"8","Glen Rice","MIA","82","3014","667","1403","0.475","185","451","0.41","312","365","0.855","99","279","378","192","112","14","153","203","1831","1585","1.26","0.73",0.607498341074983
"9","Glenn Robinson","MIL","80","2958","636","1410","0.451","86","268","0.321","397","499","0.796","169","344","513","197","115","22","313","234","1755","1413","0.63","0.37",0.593306288032454
"10","Scottie Pippen","CHI","79","3014","634","1320","0.48","109","316","0.345","315","440","0.716","175","464","639","409","232","89","271","238","1692","1979","1.51","0.86",0.561380225613802
"11","Gary Payton","SEA","82","3015","685","1345","0.509","70","232","0.302","249","348","0.716","108","173","281","583","204","13","201","206","1689","1810","2.9","1.01",0.560199004975124
