"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV","PPG"
"1","Kobe Bryant","LAL","80","3277","978","2173","0.45","180","518","0.347","696","819","0.85","71","354","425","360","147","30","250","233","2832","2226","1.44","0.59",0.864205065608789
"2","LeBron James","CLE","79","3361","875","1823","0.48","127","379","0.335","601","814","0.738","75","481","556","521","123","66","260","181","2478","2323","2","0.47",0.737280571258554
"3","Allen Iverson","PHI","72","3103","815","1822","0.447","72","223","0.323","675","829","0.814","44","188","232","532","140","10","248","121","2377","1882","2.15","0.57",0.76603287141476
"4","Gilbert Arenas","WAS","80","3384","746","1668","0.447","199","540","0.369","655","799","0.82","59","221","280","484","161","25","297","286","2346","1933","1.63","0.54",0.693262411347518
"5","Dirk Nowitzki","DAL","81","3089","751","1564","0.48","110","271","0.406","539","598","0.901","115","613","728","226","58","83","156","164","2151","2218","1.45","0.37",0.696341858206539
"6","Carmelo Anthony","DEN","80","2941","756","1572","0.481","37","152","0.243","573","709","0.808","122","272","394","216","88","42","218","229","2122","1692","0.99","0.4",0.721523291397484
"7","Paul Pierce","BOS","79","3084","689","1462","0.471","111","314","0.354","627","812","0.772","77","453","530","375","107","34","273","223","2116","1931","1.37","0.39",0.686121919584955
"8","Dwyane Wade","MIA","75","2892","699","1413","0.495","13","76","0.171","629","803","0.783","107","323","430","503","146","58","268","217","2040","2021","1.88","0.55",0.705394190871369
"9","Michael Redd","MIL","80","3130","682","1516","0.45","163","413","0.395","501","571","0.877","78","264","342","229","95","5","170","157","2028","1625","1.35","0.56",0.647923322683706
"10","Ray Allen","SEA","78","3022","681","1500","0.454","269","653","0.412","324","359","0.903","71","261","332","286","105","16","188","151","1955","1652","1.52","0.56",0.64692256783587
"11","Elton Brand","LAC","79","3099","756","1435","0.527","1","3","0.333","440","568","0.775","236","554","790","208","81","201","173","227","1953","2253","1.2","0.47",0.630203291384318
"12","Vince Carter","NJN","79","2906","653","1518","0.43","125","367","0.341","480","601","0.799","135","327","462","338","94","53","213","235","1911","1659","1.59","0.44",0.657604955264969
"13","Shawn Marion","PHX","81","3263","716","1365","0.525","96","290","0.331","241","298","0.809","249","710","959","143","160","137","125","223","1769","2337","1.14","1.28",0.542139135764634
"14","Jason Richardson","GSW","75","2877","641","1438","0.446","183","477","0.384","276","410","0.673","105","333","438","232","97","37","167","206","1741","1447","1.39","0.58",0.605144247480014
"15","Mike Bibby","SAC","82","3167","597","1382","0.432","192","497","0.386","342","403","0.849","29","211","240","444","82","10","199","169","1728","1459","2.23","0.41",0.545626776128829
"16","Antawn Jamison","WAS","82","3288","660","1494","0.442","147","373","0.394","217","297","0.731","167","598","765","158","90","12","137","189","1684","1658","1.15","0.66",0.512165450121654
"17","Kevin Garnett","MIN","76","2957","626","1191","0.526","8","30","0.267","396","489","0.81","214","752","966","308","104","107","180","206","1656","2303","1.71","0.58",0.560027054447075
"18","Joe Johnson","ATL","82","3340","632","1395","0.453","128","360","0.356","261","330","0.791","98","237","335","536","103","31","267","187","1653","1559","2.01","0.39",0.494910179640719
"19","Pau Gasol","MEM","80","3135","600","1194","0.503","3","12","0.25","425","617","0.689","191","522","713","371","46","153","235","184","1628","1890","1.58","0.2",0.519298245614035
"20","Richard Hamilton","DET","80","2825","649","1322","0.491","55","120","0.458","256","303","0.845","84","172","256","275","52","16","173","207","1609","1315","1.59","0.3",0.569557522123894
"21","Mike James","TOR","79","2925","576","1228","0.469","169","382","0.442","283","338","0.837","45","217","262","460","72","3","206","214","1604","1488","2.23","0.35",0.548376068376068
"22","Chris Bosh","TOR","70","2751","549","1087","0.505","0","13","0","474","581","0.816","204","443","647","181","50","79","157","209","1572","1727","1.15","0.32",0.571428571428571
"23","Rashard Lewis","SEA","78","2876","538","1151","0.467","142","370","0.384","350","428","0.818","111","279","390","182","102","50","141","191","1568","1460","1.29","0.72",0.545201668984701
"24","Richard Jefferson","NJN","78","3059","495","1005","0.493","60","188","0.319","471","580","0.812","95","439","534","297","59","17","174","193","1521","1635","1.71","0.34",0.497221314154953
"25","Chris Webber","PHI","75","2893","617","1422","0.434","21","77","0.273","263","348","0.756","184","557","741","256","103","62","182","219","1518","1608","1.41","0.57",0.524714828897338
"26","Ricky Davis","MIN","78","3207","584","1304","0.448","73","242","0.302","275","345","0.797","65","286","351","394","91","17","213","190","1516","1366","1.85","0.43",0.472715933894606
"27","Tony Parker","SAS","80","2715","623","1136","0.548","11","36","0.306","253","358","0.707","38","223","261","460","83","4","249","161","1510","1451","1.85","0.33",0.556169429097606
