"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV","PPG"
"1","Michael Jordan","CHI","82","3090","916","1850","0.495","111","260","0.427","548","657","0.834","148","395","543","352","180","42","197","195","2491","2368","1.79","0.91",0.806148867313916
"2","Karl Malone","UTH","82","3113","789","1520","0.519","16","40","0.4","512","708","0.723","175","629","804","345","138","56","199","245","2106","2323","1.73","0.69",0.676517828461291
"3","David Robinson","SAN","82","3019","711","1378","0.516","3","9","0.333","626","823","0.761","319","681","1000","247","111","271","190","262","2051","2626","1.3","0.58",0.679364027823783
"4","Hakeem Olajuwon","HOU","72","2797","768","1494","0.514","3","14","0.214","397","548","0.724","176","608","784","257","113","207","247","242","1936","2173","1.04","0.46",0.692170182338219
"5","Mitch Richmond","SAC","81","2946","611","1368","0.447","225","515","0.437","425","491","0.866","54","215","269","255","125","19","220","233","1872","1497","1.16","0.57",0.635437881873727
"6","Juwan Howard","WAS","81","3294","733","1500","0.489","4","13","0.308","319","426","0.749","188","472","660","360","67","39","303","269","1789","1738","1.19","0.22",0.543108682452945
"7","Anfernee Hardaway","ORL","82","3015","623","1215","0.513","89","283","0.314","445","580","0.767","129","225","354","582","166","41","229","160","1780","1967","2.54","0.73",0.590381426202322
"8","Vin Baker","MIL","82","3319","699","1429","0.489","10","48","0.208","321","479","0.67","263","545","808","212","68","91","216","272","1729","1804","0.98","0.32",0.52094004218138
"9","Patrick Ewing","NYK","76","2783","678","1456","0.466","4","28","0.143","351","461","0.761","157","649","806","160","68","184","221","247","1711","1820","0.72","0.31",0.614804168163852
"10","Glen Rice","CHH","79","3142","610","1296","0.471","171","403","0.424","319","381","0.837","86","292","378","232","91","19","163","217","1710","1519","1.42","0.56",0.544239338001273
"11","Glenn Robinson","MIL","82","3249","627","1382","0.454","90","263","0.342","316","389","0.812","136","368","504","293","95","42","282","236","1660","1484","1.04","0.34",0.510926438904278
"11","Larry Johnson","CHH","81","3274","583","1225","0.476","67","183","0.366","427","564","0.757","249","434","683","355","55","43","182","173","1660","1835","1.95","0.3",0.507025045815516
"13","Cedric Ceballos","LAL","78","2628","638","1203","0.53","51","184","0.277","329","409","0.804","215","321","536","119","94","22","167","144","1656","1615","0.71","0.56",0.63013698630137
"14","Charles Barkley","PHX","71","2632","580","1160","0.5","49","175","0.28","440","566","0.777","243","578","821","262","114","56","218","208","1649","1978","1.2","0.52",0.626519756838906
"15","Clifford Robinson","POR","78","2980","553","1306","0.423","178","471","0.378","360","542","0.664","123","320","443","190","86","68","194","248","1644","1302","0.98","0.44",0.551677852348993
"16","Alonzo Mourning","MIA","70","2671","563","1076","0.523","9","30","0.3","488","712","0.685","218","509","727","159","70","189","262","245","1623","1769","0.61","0.27",0.607637588918008
"17","Grant Hill","DET","80","3260","564","1221","0.462","5","26","0.192","485","646","0.751","127","656","783","548","100","48","263","242","1618","2016","2.08","0.38",0.496319018404908
"18","Allan Houston","DET","82","3072","564","1244","0.453","191","447","0.427","298","362","0.823","54","246","300","250","61","16","233","233","1617","1267","1.07","0.26",0.5263671875
"19","Reggie Miller","IND","76","2621","504","1066","0.473","168","410","0.41","430","498","0.863","38","176","214","253","77","13","189","175","1606","1344","1.34","0.41",0.612743227775658
"20","Jim Jackson","DAL","82","2820","569","1308","0.435","121","333","0.363","345","418","0.825","173","237","410","235","47","22","191","165","1604","1315","1.23","0.25",0.568794326241135
"21","Gary Payton","SEA","81","3162","618","1276","0.484","98","299","0.328","229","306","0.748","104","235","339","608","231","19","260","221","1563","1765","2.34","0.89",0.494307400379507
"22","Shawn Kemp","SEA","79","2631","526","937","0.561","5","12","0.417","493","664","0.742","276","628","904","173","93","127","315","299","1550","1950","0.55","0.3",0.589129608513873
"23","Sean Elliott","SAN","77","2901","525","1127","0.466","161","392","0.411","326","423","0.771","69","327","396","211","69","33","198","178","1537","1349","1.07","0.35",0.529817304377801
"24","George McCloud","DAL","79","2846","530","1281","0.414","257","678","0.379","180","224","0.804","116","263","379","212","113","38","166","212","1497","1278","1.28","0.68",0.526001405481377
"25","Scottie Pippen","CHI","77","2825","563","1216","0.463","150","401","0.374","220","324","0.679","152","344","496","452","133","57","207","198","1496","1670","2.18","0.64",0.529557522123894
"26","Latrell Sprewell","GOS","78","3064","515","1202","0.428","91","282","0.323","352","446","0.789","124","256","380","328","127","45","222","150","1473","1350","1.48","0.57",0.480744125326371
"27","Isaiah Rider","MIN","75","2594","560","1206","0.464","102","275","0.371","248","296","0.838","99","210","309","213","48","23","201","204","1470","1168","1.06","0.24",0.566692367000771
"28","Terrell Brandon","CLE","75","2570","510","1096","0.465","91","235","0.387","338","381","0.887","47","201","248","487","132","33","142","146","1449","1578","3.43","0.93",0.563813229571984
"29","Steven Smith","ATL","80","2856","494","1143","0.432","140","423","0.331","318","385","0.826","124","202","326","224","68","17","151","207","1446","1214","1.48","0.45",0.506302521008403
"30","Shaquille O'Neal","ORL","54","1946","592","1033","0.573","1","2","0.5","249","511","0.487","182","414","596","155","34","115","155","193","1434","1476","1","0.22",0.736896197327852
"31","Dennis Scott","ORL","82","3041","491","1117","0.44","267","628","0.425","182","222","0.82","63","246","309","243","90","29","122","169","1431","1314","1.99","0.74",0.470568891811904
"32","Armen Gilliam","NJN","78","2856","576","1216","0.474","0","1","0","277","350","0.791","241","472","713","140","73","53","177","180","1429","1518","0.79","0.41",0.500350140056022
"33","Jerry Stackhouse","PHL","72","2701","452","1091","0.414","93","292","0.318","387","518","0.747","90","175","265","278","76","79","252","179","1384","1060","1.1","0.3",0.512402813772677
"34","Jason Kidd","DAL","81","3034","493","1293","0.381","133","396","0.336","229","331","0.692","203","350","553","783","175","26","328","155","1348","1655","2.39","0.53",0.444297956493078
"35","Damon Stoudamire","TOR","70","2865","481","1129","0.426","133","337","0.395","236","296","0.797","59","222","281","653","98","19","267","166","1331","1407","2.45","0.37",0.46457242582897
"36","Tracy Murray","TOR","82","2458","496","1092","0.454","151","358","0.422","182","219","0.831","114","238","352","131","87","40","132","208","1325","1170","0.99","0.66",0.539056143205858
"37","Clar. Weatherspoon","PHL","78","3096","491","1015","0.484","0","2","0","318","426","0.746","237","516","753","158","112","108","179","214","1300","1620","0.88","0.63",0.419896640826873
"38","Loy Vaught","LAC","80","2966","571","1087","0.525","7","19","0.368","149","205","0.727","204","604","808","112","87","40","158","241","1298","1615","0.71","0.55",0.437626432906271
"39","Hersey Hawkins","SEA","82","2823","443","936","0.473","146","380","0.384","249","285","0.874","86","211","297","218","149","14","164","172","1281","1266","1.33","0.91",0.453772582359192
"40","Mookie Blaylock","ATL","81","2893","455","1123","0.405","231","623","0.371","127","170","0.747","110","222","332","478","212","17","188","151","1268","1408","2.54","1.13",0.438299343242309
"41","Tom Gugliotta","MIN","78","2835","473","1004","0.471","26","86","0.302","289","374","0.773","176","514","690","238","139","96","234","265","1261","1574","1.02","0.59",0.444797178130511
"42","Rod Strickland","POR","67","2526","471","1023","0.46","38","111","0.342","276","423","0.652","89","208","297","640","97","16","255","135","1256","1352","2.51","0.38",0.4972288202692
"43","Joe Smith","GOS","82","2821","469","1024","0.458","10","28","0.357","303","392","0.773","300","417","717","79","85","134","138","224","1251","1484","0.57","0.62",0.443459766040411
"44","Jeff Hornacek","UTH","82","2588","442","880","0.502","104","223","0.466","259","290","0.893","62","147","209","340","106","20","127","171","1247","1326","2.68","0.84",0.481839258114374
"45","Michael Finley","PHX","82","3212","465","976","0.476","61","186","0.328","242","323","0.749","139","235","374","289","85","31","133","199","1233","1287","2.17","0.64",0.38387297633873
"46","Christian Laettner","ATL","74","2495","442","907","0.487","9","39","0.231","324","396","0.818","184","354","538","197","71","71","187","276","1217","1370","1.05","0.38",0.487775551102204
"46","Tim Hardaway","MIA","80","2534","419","992","0.422","138","379","0.364","241","305","0.79","35","194","229","640","132","17","235","201","1217","1363","2.72","0.56",0.480268350434096
"46","Vernon Maxwell","PHL","75","2467","410","1052","0.39","146","460","0.317","251","332","0.756","39","190","229","330","96","12","215","182","1217","946","1.54","0.45",0.493311714633158
"49","John Stockton","UTH","82","2915","440","818","0.538","95","225","0.422","234","282","0.83","54","172","226","916","140","15","246","207","1209","1834","3.72","0.57",0.4147512864494
"50","Chris Mills","CLE","80","3060","454","971","0.468","79","210","0.376","218","263","0.829","112","331","443","188","73","52","121","241","1205","1278","1.55","0.6",0.393790849673203
