"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV","PPG"
"1","Dwyane Wade","MIA","79","3048","854","1739","0.491","88","278","0.317","590","771","0.765","89","309","398","589","173","106","272","178","2386","2314","2.17","0.64",0.782808398950131
"2","LeBron James","CLE","81","3054","789","1613","0.489","132","384","0.344","594","762","0.78","106","507","613","587","137","93","241","139","2304","2501","2.44","0.57",0.754420432220039
"3","Kobe Bryant","LAL","82","2960","800","1712","0.467","118","336","0.351","483","564","0.856","90","339","429","399","120","37","210","189","2201","1983","1.9","0.57",0.743581081081081
"4","Dirk Nowitzki","DAL","81","3050","774","1616","0.479","61","170","0.359","485","545","0.89","88","593","681","197","61","63","157","176","2094","2037","1.26","0.39",0.68655737704918
"5","Kevin Durant","OKC","74","2885","661","1390","0.476","97","230","0.422","452","524","0.863","77","405","482","205","96","53","225","134","1871","1681","0.91","0.43",0.648526863084922
"6","Antawn Jamison","WAS","81","3096","674","1441","0.468","112","319","0.351","341","452","0.754","196","525","721","153","95","25","125","218","1801","1792","1.22","0.76",0.58171834625323
"7","Chris Paul","NOH","78","3002","631","1255","0.503","64","176","0.364","455","524","0.868","69","363","432","861","216","10","231","212","1781","2376","3.73","0.94",0.593271152564957
"8","Brandon Roy","POR","78","2903","633","1318","0.48","83","220","0.377","416","505","0.824","104","266","370","400","88","22","152","127","1765","1719","2.63","0.58",0.60799173269032
"9","Chris Bosh","TOR","77","2928","615","1263","0.487","12","49","0.245","504","617","0.817","215","556","771","191","67","77","174","189","1746","1917","1.1","0.39",0.596311475409836
"10","Danny Granger","IND","67","2424","571","1277","0.447","182","450","0.404","404","460","0.878","49","292","341","183","69","97","165","207","1728","1491","1.11","0.42",0.712871287128713
"11","Ben Gordon","CHI","82","2999","598","1315","0.455","173","422","0.41","330","382","0.864","52","231","283","279","71","22","200","184","1699","1385","1.4","0.36",0.566522174058019
"12","Joe Johnson","ATL","79","3124","620","1420","0.437","149","414","0.36","299","362","0.826","65","281","346","455","84","19","195","176","1688","1534","2.33","0.43",0.54033290653009
"13","Vince Carter","NJN","80","2946","588","1345","0.437","151","392","0.385","335","410","0.817","74","336","410","376","82","38","166","234","1662","1570","2.27","0.49",0.564154786150713
"14","Paul Pierce","BOS","81","3035","540","1181","0.457","119","304","0.391","459","553","0.83","56","401","457","294","80","27","228","215","1658","1553","1.29","0.35",0.546293245469522
"15","Dwight Howard","ORL","79","2821","560","979","0.572","0","2","0","504","849","0.594","336","757","1093","112","77","231","240","270","1624","2133","0.47","0.32",0.575682382133995
"16","Richard Jefferson","MIL","82","2939","537","1222","0.439","116","292","0.397","417","518","0.805","57","317","374","199","66","14","165","252","1607","1309","1.21","0.4",0.546784620619258
"17","David West","NOH","76","2982","610","1292","0.472","6","25","0.24","367","415","0.884","160","486","646","173","49","68","163","207","1593","1636","1.06","0.3",0.53420523138833
"18","Tony Parker","SAS","72","2456","639","1263","0.506","19","65","0.292","284","363","0.782","27","196","223","496","67","4","186","110","1581","1482","2.67","0.36",0.643729641693811
"19","Andre Iguodala","PHI","82","3269","542","1147","0.473","80","261","0.307","377","521","0.724","92","379","471","434","131","36","222","152","1541","1642","1.96","0.59",0.471397981033955
"20","Pau Gasol","LAL","81","2999","592","1045","0.567","1","2","0.5","343","439","0.781","262","518","780","284","52","81","157","172","1528","2019","1.81","0.33",0.509503167722574
"21","O.J. Mayo","MEM","82","3120","562","1283","0.438","145","378","0.384","247","281","0.879","56","252","308","262","91","13","226","204","1516","1209","1.16","0.4",0.485897435897436
"22","Yao Ming","HOU","77","2589","566","1032","0.548","1","1","1","381","440","0.866","204","557","761","137","30","150","234","257","1514","1833","0.59","0.13",0.584781769022789
"23","Carmelo Anthony","DEN","66","2277","535","1207","0.443","63","170","0.371","371","468","0.793","106","344","450","222","75","24","199","195","1504","1307","1.12","0.38",0.660518225735617
"24","Rudy Gay","MEM","79","2945","572","1262","0.453","85","242","0.351","264","344","0.767","109","328","437","135","98","59","203","221","1493","1249","0.67","0.48",0.506960950764007
"25","Devin Harris","NJN","69","2494","455","1039","0.438","64","220","0.291","496","605","0.82","30","201","231","476","114","13","212","164","1470","1399","2.25","0.54",0.589414595028067
"25","LaMarcus Aldridge","POR","81","3004","601","1243","0.484","7","28","0.25","261","334","0.781","234","371","605","157","77","77","121","207","1470","1550","1.3","0.64",0.489347536617843
"27","Al Harrington","NYK","73","2546","532","1212","0.439","171","470","0.364","234","295","0.793","99","356","455","102","88","22","161","227","1469","1234","0.63","0.55",0.576983503534957
"28","Tim Duncan","SAS","75","2523","558","1107","0.504","0","2","0","334","483","0.692","201","599","800","264","38","126","165","173","1450","1815","1.6","0.23",0.574712643678161
"29","Jason Terry","DAL","74","2491","541","1168","0.463","167","456","0.366","198","225","0.88","39","138","177","251","97","20","119","141","1447","1219","2.11","0.82",0.58089120835006
"30","John Salmons","CHI","79","2959","516","1093","0.472","126","302","0.417","288","347","0.83","59","274","333","249","83","24","165","182","1446","1334","1.51","0.5",0.488678607637715
"31","Mo Williams","CLE","81","2834","526","1126","0.467","183","420","0.436","208","228","0.912","47","232","279","329","69","9","179","215","1443","1330","1.84","0.39",0.509174311926605
"32","Ray Allen","BOS","79","2876","499","1040","0.48","199","486","0.409","237","249","0.952","66","212","278","218","69","13","134","157","1434","1325","1.63","0.52",0.498609179415855
"33","Rashard Lewis","ORL","79","2859","478","1089","0.439","220","554","0.397","225","269","0.836","92","361","453","205","81","51","158","194","1401","1378","1.3","0.51",0.4900314795383
"34","Chauncey Billups","DEN","79","2788","410","980","0.418","162","397","0.408","418","458","0.913","32","207","239","506","93","18","177","161","1400","1469","2.86","0.53",0.502152080344333
"35","Caron Butler","WAS","67","2585","491","1085","0.453","65","210","0.31","345","402","0.858","118","296","414","290","106","20","210","165","1392","1361","1.38","0.51",0.538491295938104
"36","Derrick Rose","CHI","81","3000","574","1208","0.475","16","72","0.222","197","250","0.788","96","221","317","512","66","18","202","125","1361","1385","2.54","0.33",0.453666666666667
"37","Andre Miller","PHI","82","2976","492","1041","0.473","15","53","0.283","338","409","0.826","123","245","368","534","109","14","199","196","1337","1543","2.68","0.55",0.449260752688172
"38","Shaquille O'Neal","PHX","75","2252","512","841","0.609","0","1","0","309","519","0.595","187","446","633","126","49","108","168","253","1333","1542","0.75","0.29",0.591918294849023
"39","Deron Williams","UTA","68","2505","463","984","0.471","70","226","0.31","326","384","0.849","24","171","195","725","73","20","228","134","1322","1528","3.18","0.32",0.527744510978044
"40","Hedo Turkoglu","ORL","77","2815","423","1025","0.413","134","376","0.356","314","389","0.807","45","365","410","375","64","19","204","218","1294","1281","1.84","0.31",0.459680284191829
"41","David Lee","NYK","81","2824","522","951","0.549","0","3","0","249","330","0.755","256","695","951","174","80","22","150","260","1293","1860","1.16","0.53",0.4578611898017
"42","Jeff Green","OKC","78","2873","476","1068","0.446","96","247","0.389","242","307","0.788","120","399","519","155","81","33","173","202","1290","1248","0.9","0.47",0.449008005569092
"43","Jamal Crawford","GSW","65","2478","419","1022","0.41","142","394","0.36","300","344","0.872","23","170","193","288","57","13","148","92","1280","1036","1.95","0.39",0.516545601291364
"44","Nate Robinson","NYK","74","2209","449","1028","0.437","125","385","0.325","249","296","0.841","98","192","290","301","95","6","139","206","1272","1199","2.17","0.68",0.575826165685831
"45","Charlie Villanueva","MIL","78","2095","487","1089","0.447","89","258","0.345","201","240","0.838","154","366","520","137","50","56","138","254","1264","1248","0.99","0.36",0.603341288782816
"46","Russell Westbrook","OKC","82","2668","436","1095","0.398","35","129","0.271","349","428","0.815","178","221","399","435","110","16","274","191","1256","1204","1.59","0.4",0.470764617691154
"47","Kevin Martin","SAC","51","1947","341","811","0.42","115","277","0.415","457","527","0.867","29","154","183","138","61","8","146","116","1254","958","0.95","0.42",0.644067796610169
"48","Eric Gordon","LAC","78","2677","411","901","0.456","131","337","0.389","299","350","0.854","45","156","201","215","78","35","164","172","1252","1076","1.31","0.48",0.467687710123272
"49","JR Smith","DEN","81","2245","424","950","0.446","180","453","0.397","205","272","0.754","43","254","297","227","78","14","150","190","1233","1106","1.51","0.52",0.549220489977728
"50","Mehmet Okur","UTA","72","2409","431","888","0.485","90","202","0.446","273","334","0.817","124","433","557","120","54","53","132","219","1225","1359","0.91","0.41",0.508509755085098
