"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV","PPG"
"1","Michael Jordan","CHI","81","3255","966","1795","0.538","27","98","0.276","674","793","0.85","149","503","652","650","234","65","290","247","2633","2996","2.24","0.81",0.808909370199693
"2","Karl Malone","UTH","80","3126","809","1559","0.519","5","16","0.313","703","918","0.766","259","594","853","219","144","70","285","286","2326","2362","0.77","0.51",0.744081893793986
"3","Dale Ellis","SEA","82","3190","857","1710","0.501","162","339","0.478","377","462","0.816","156","186","342","164","108","22","218","197","2253","1733","0.75","0.5",0.706269592476489
"4","Chris Mullin","GOS","82","3093","830","1630","0.509","23","100","0.23","493","553","0.892","152","331","483","415","176","39","296","178","2176","2133","1.4","0.6",0.703524086647268
"5","Alex English","DEN","82","2990","924","1881","0.491","2","8","0.25","325","379","0.858","148","178","326","383","66","12","198","174","2175","1753","1.93","0.33",0.72742474916388
"6","Clyde Drexler","POR","78","3064","829","1672","0.496","27","104","0.26","438","548","0.799","289","326","615","450","213","54","250","269","2123","2252","1.8","0.85",0.692885117493473
"7","Dominique Wilkins","ATL","80","2997","814","1756","0.464","29","105","0.276","442","524","0.844","256","297","553","211","117","52","181","138","2099","1827","1.17","0.65",0.700367033700367
"8","Tom Chambers","PHX","81","3002","774","1643","0.471","28","86","0.326","509","598","0.851","143","541","684","231","87","55","231","271","2085","1953","1","0.38",0.694536975349767
"9","Charles Barkley","PHL","79","3088","700","1208","0.579","35","162","0.216","602","799","0.753","403","583","986","325","126","67","254","262","2037","2582","1.28","0.5",0.659650259067358
"10","Hakeem Olajuwon","HOU","82","3024","790","1556","0.508","0","10","0","454","652","0.696","338","767","1105","149","213","282","275","329","2034","2544","0.54","0.78",0.672619047619048
"11","Terry Cummings","MIL","80","2824","730","1563","0.467","7","15","0.467","362","460","0.787","281","369","650","198","106","72","201","265","1829","1723","0.99","0.53",0.647662889518414
"12","Patrick Ewing","NYK","80","2896","727","1282","0.567","0","6","0","361","484","0.746","213","527","740","188","117","281","266","311","1815","2197","0.71","0.44",0.626726519337017
"13","Kevin McHale","BOS","78","2876","661","1211","0.546","0","4","0","436","533","0.818","223","414","637","172","26","97","196","223","1758","1847","0.88","0.13",0.611265646731572
"14","Mitch Richmond","GOS","79","2717","649","1386","0.468","33","90","0.367","410","506","0.81","158","310","468","334","82","13","269","223","1741","1536","1.24","0.31",0.64078027235922
"15","Magic Johnson","LAL","77","2886","579","1137","0.509","59","188","0.314","513","563","0.911","111","496","607","988","138","22","312","172","1730","2565","3.17","0.44",0.599445599445599
"16","Chuck Person","IND","80","3012","711","1453","0.489","63","205","0.307","243","307","0.792","144","372","516","289","83","18","308","280","1728","1520","0.94","0.27",0.573705179282869
"17","Xavier McDaniel","SEA","82","2385","677","1385","0.489","11","36","0.306","312","426","0.732","177","256","433","134","84","40","210","231","1677","1336","0.64","0.4",0.70314465408805
"18","Bernard King","WAS","81","2559","654","1371","0.477","5","30","0.167","361","441","0.819","133","251","384","294","64","13","227","219","1674","1405","1.3","0.28",0.654161781946073
"19","James Worthy","LAL","81","2960","702","1282","0.548","2","23","0.087","251","321","0.782","169","320","489","288","108","56","182","175","1657","1766","1.58","0.59",0.559797297297297
"20","Jeff Malone","WAS","76","2418","677","1410","0.48","1","19","0.053","296","340","0.871","55","124","179","219","39","14","165","155","1651","1160","1.33","0.24",0.682795698924731
"21","Kevin Johnson","PHX","81","3179","570","1128","0.505","2","22","0.091","508","576","0.882","46","294","340","991","135","24","322","226","1650","2192","3.08","0.42",0.519031141868512
"22","Moses Malone","ATL","81","2878","538","1096","0.491","0","12","0","561","711","0.789","386","570","956","112","79","100","245","154","1637","1931","0.46","0.32",0.568797776233495
"23","Kelly Tripucka","CHH","71","2302","568","1215","0.467","30","84","0.357","440","508","0.866","79","188","267","224","88","16","236","196","1606","1250","0.95","0.37",0.697654213727194
"24","Thurl Bailey","UTH","82","2777","615","1272","0.483","2","5","0.4","363","440","0.825","115","332","447","138","48","91","208","185","1595","1377","0.66","0.23",0.574360821029888
"25","Rolando Blackman","DAL","78","2946","594","1249","0.476","30","85","0.353","316","370","0.854","70","203","273","288","65","20","165","137","1534","1306","1.75","0.39",0.520706042090971
"26","Ron Harper","CLE","82","2851","587","1149","0.511","29","116","0.25","323","430","0.751","122","287","409","434","185","74","230","224","1526","1729","1.89","0.8",0.535250789196773
"27","Mark Aguirre","DET","80","2597","586","1270","0.461","51","174","0.293","288","393","0.733","146","240","386","278","45","36","208","229","1511","1259","1.34","0.22",0.58182518290335
"28","Willie Anderson","SAN","81","2738","640","1285","0.498","4","21","0.19","224","289","0.775","152","265","417","372","150","62","261","295","1508","1538","1.43","0.58",0.550766983199416
"29","Eddie Johnson","PHX","70","2043","608","1224","0.497","71","172","0.413","217","250","0.868","91","215","306","162","47","7","122","198","1504","1255","1.33","0.39",0.736172295643661
"30","Reggie Lewis","BOS","81","2657","604","1242","0.486","3","22","0.136","284","361","0.787","116","261","377","218","124","72","142","258","1495","1429","1.54","0.87",0.56266465939029
"31","Robert Parish","BOS","80","2840","596","1045","0.57","0","0","0","294","409","0.719","342","654","996","175","79","116","200","209","1486","2088","0.88","0.4",0.523239436619718
"32","Brad Daugherty","CLE","78","2821","544","1012","0.538","1","3","0.333","386","524","0.737","167","551","718","285","63","40","230","175","1475","1745","1.24","0.27",0.522864232541652
"33","Isiah Thomas","DET","80","2924","569","1227","0.464","33","121","0.273","287","351","0.818","49","224","273","663","133","20","298","209","1458","1527","2.23","0.45",0.498632010943912
"34","Ken Norman","LAC","80","3020","638","1271","0.502","4","21","0.19","170","270","0.63","245","422","667","277","106","66","206","223","1450","1627","1.35","0.52",0.480132450331126
"35","Byron Scott","LAL","74","2605","588","1198","0.491","77","193","0.399","195","226","0.863","72","230","302","231","114","27","157","181","1448","1324","1.47","0.73",0.555854126679463
"36","Kevin Duckworth","POR","79","2662","554","1161","0.477","0","2","0","324","428","0.757","246","389","635","60","56","49","200","300","1432","1321","0.3","0.28",0.53794139744553
"37","Terry Porter","POR","81","3102","540","1146","0.471","79","219","0.361","272","324","0.84","85","282","367","770","146","8","248","187","1431","1816","3.11","0.59",0.461315280464217
"38","Michael Adams","DEN","77","2787","468","1082","0.433","166","466","0.356","322","393","0.819","71","212","283","490","166","11","180","149","1424","1509","2.72","0.92",0.510943667025475
"39","Mark Price","CLE","75","2728","529","1006","0.526","93","211","0.441","263","292","0.901","48","178","226","631","115","7","212","98","1414","1675","2.98","0.54",0.518328445747801
"40","Lafayette Lever","DEN","71","2745","558","1221","0.457","23","66","0.348","270","344","0.785","187","475","662","559","195","20","157","178","1409","1951","3.56","1.24",0.513296903460838
"40","Mike Gminski","PHL","82","2739","556","1166","0.477","0","6","0","297","341","0.871","213","556","769","138","46","106","129","142","1409","1685","1.07","0.36",0.514421321650237
"42","Derek Harper","DAL","81","2968","538","1127","0.477","99","278","0.356","229","284","0.806","46","182","228","570","172","41","205","219","1404","1566","2.78","0.84",0.473045822102426
"43","Kenny Smith","SAC","81","3145","547","1183","0.462","46","128","0.359","263","357","0.737","49","177","226","621","102","7","249","173","1403","1380","2.49","0.41",0.44610492845787
"44","Adrian Dantley","DAL","73","2422","470","954","0.493","0","1","0","460","568","0.81","117","200","317","171","43","13","163","186","1400","1189","1.05","0.26",0.578034682080925
"44","John Stockton","UTH","82","3171","497","923","0.538","16","66","0.242","390","452","0.863","83","165","248","1118","263","14","308","241","1400","2247","3.63","0.85",0.441501103752759
"46","Wayman Tisdale","SAC","79","2434","532","1036","0.514","0","4","0","317","410","0.773","187","422","609","128","55","52","172","290","1381","1456","0.74","0.32",0.567378800328677
"47","Otis Thorpe","HOU","82","3135","521","961","0.542","0","2","0","328","450","0.729","272","515","787","202","82","37","225","259","1370","1691","0.9","0.36",0.437001594896332
"48","Jerome Kersey","POR","76","2716","533","1137","0.469","6","21","0.286","258","372","0.694","246","383","629","243","137","84","167","277","1330","1538","1.46","0.82",0.489690721649485
"48","Ron Anderson","PHL","82","2618","566","1152","0.491","2","11","0.182","196","229","0.856","167","239","406","139","71","23","126","166","1330","1224","1.1","0.56",0.508021390374332
"50","Ricky Pierce","MIL","75","2078","527","1018","0.518","8","36","0.222","255","297","0.859","82","115","197","156","77","19","112","193","1317","1121","1.39","0.69",0.633782483156882
