"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV","PPG"
"1","Kevin Durant","OKC","81","3122","849","1688","0.503","192","491","0.391","703","805","0.873","58","540","598","445","103","59","285","174","2593","2572","1.56","0.36",0.83055733504164
"2","Carmelo Anthony","NYK","77","2982","743","1643","0.452","167","415","0.402","459","541","0.848","145","477","622","242","95","51","198","224","2112","1942","1.22","0.48",0.708249496981891
"3","LeBron James","MIA","77","2902","767","1353","0.567","116","306","0.379","439","585","0.75","81","452","533","488","121","26","270","126","2089","2255","1.81","0.45",0.719848380427291
"4","Kevin Love","MIN","77","2797","650","1421","0.457","190","505","0.376","520","633","0.821","224","739","963","341","59","35","196","136","2010","2328","1.74","0.3",0.718627100464784
"5","Blake Griffin","LAC","80","2863","718","1359","0.528","12","44","0.273","482","674","0.715","192","565","757","309","92","51","224","265","1930","2082","1.38","0.41",0.674118057981139
"6","Stephen Curry","GSW","78","2846","652","1383","0.471","261","615","0.424","308","348","0.885","46","288","334","666","128","14","294","194","1873","1950","2.27","0.44",0.658116654954322
"7","James Harden","HOU","73","2777","549","1205","0.456","177","483","0.366","576","665","0.866","61","283","344","446","115","29","265","177","1851","1775","1.68","0.43",0.666546633057256
"8","DeMar DeRozan","TOR","79","3017","604","1407","0.429","64","210","0.305","519","630","0.824","51","292","343","313","86","28","176","197","1791","1471","1.78","0.49",0.593636062313556
"9","Paul George","IND","80","2898","577","1362","0.424","182","500","0.364","401","464","0.864","64","478","542","283","151","22","224","198","1737","1663","1.26","0.67",0.599378881987578
"10","Dirk Nowitzki","DAL","80","2628","633","1273","0.497","131","329","0.398","338","376","0.899","40","458","498","216","73","45","117","165","1735","1772","1.85","0.62",0.660197869101979
"11","Damian Lillard","POR","82","2937","553","1304","0.424","218","554","0.394","371","426","0.871","35","253","288","457","64","22","193","197","1695","1527","2.37","0.33",0.577119509703779
"12","DeMarcus Cousins","SAC","71","2298","591","1191","0.496","0","7","0","432","595","0.726","218","613","831","207","109","91","251","270","1614","1838","0.83","0.43",0.702349869451697
"13","LaMarcus Aldridge","POR","69","2499","652","1423","0.458","3","15","0.2","296","360","0.822","166","599","765","178","63","68","123","147","1603","1719","1.45","0.51",0.641456582633053
"14","Al Jefferson","CHA","73","2553","700","1376","0.509","3","15","0.2","191","277","0.69","156","636","792","155","67","79","124","176","1594","1801","1.25","0.54",0.624363493928711
"15","John Wall","WAS","82","2980","579","1337","0.433","108","308","0.351","317","394","0.805","38","295","333","721","149","40","295","219","1583","1696","2.44","0.51",0.531208053691275
"16","Monta Ellis","DAL","82","3023","576","1278","0.451","69","209","0.33","339","430","0.788","38","257","295","471","141","23","264","197","1560","1433","1.78","0.53",0.516043665233212
"17","Goran Dragic","PHX","76","2668","552","1093","0.505","122","299","0.408","316","416","0.76","69","176","245","447","104","22","213","206","1542","1506","2.1","0.49",0.577961019490255
"18","Klay Thompson","GSW","81","2868","559","1259","0.444","223","535","0.417","147","185","0.795","38","211","249","181","74","37","135","234","1488","1156","1.34","0.55",0.518828451882845
"19","Kyrie Irving","CLE","71","2496","532","1237","0.43","123","344","0.358","291","338","0.861","52","207","259","433","108","23","190","163","1478","1359","2.28","0.57",0.592147435897436
"20","Isaiah Thomas","SAC","72","2497","496","1096","0.453","127","364","0.349","346","407","0.85","47","163","210","454","93","8","213","185","1465","1356","2.13","0.44",0.586704044853825
"21","Rudy Gay","SAC","73","2531","537","1179","0.455","65","197","0.33","318","387","0.822","113","324","437","209","95","56","224","171","1457","1319","0.93","0.42",0.575661793757408
"22","Kyle Lowry","TOR","79","2862","457","1080","0.423","190","500","0.38","313","385","0.813","88","281","369","586","121","15","194","267","1417","1619","3.02","0.62",0.495108315863033
"22","Thaddeus Young","PHI","79","2718","582","1283","0.454","90","292","0.308","163","229","0.712","166","310","476","182","167","36","165","213","1417","1346","1.1","1.01",0.521339220014717
"24","Anthony Davis","NOP","67","2358","522","1005","0.519","2","9","0.222","348","440","0.791","207","466","673","105","89","189","109","200","1394","1766","0.96","0.82",0.591178965224767
"25","Jeff Green","BOS","82","2805","482","1171","0.412","135","396","0.341","283","356","0.795","54","326","380","138","57","47","165","180","1382","1077","0.84","0.35",0.492691622103387
"26","Zach Randolph","MEM","79","2705","560","1198","0.467","2","20","0.1","250","337","0.742","265","530","795","200","54","23","183","210","1372","1536","1.09","0.3",0.50720887245841
"27","Wesley Matthews","POR","82","2780","445","1009","0.441","201","511","0.393","252","301","0.837","51","238","289","197","76","14","110","176","1343","1196","1.79","0.69",0.483093525179856
"28","Arron Afflalo","ORL","73","2552","464","1011","0.459","128","300","0.427","274","336","0.815","32","230","262","248","35","3","146","136","1330","1123","1.7","0.24",0.52115987460815
"29","Paul Millsap","ATL","74","2482","483","1047","0.461","76","212","0.358","286","391","0.731","154","473","627","232","129","78","185","210","1328","1540","1.25","0.7",0.53505237711523
"30","Jeff Teague","ATL","79","2542","456","1040","0.438","74","225","0.329","318","376","0.846","34","174","208","528","89","17","232","158","1304","1272","2.28","0.38",0.512981904012588
"31","Kevin Martin","MIN","68","2177","440","1023","0.43","115","297","0.387","303","340","0.891","34","169","203","121","66","6","106","123","1298","968","1.14","0.62",0.596233348644924
"32","Dwight Howard","HOU","71","2396","473","800","0.591","2","7","0.286","349","638","0.547","231","635","866","131","60","128","229","240","1297","1637","0.57","0.26",0.541318864774624
"33","Gerald Green","PHX","82","2330","448","1006","0.445","204","510","0.4","195","230","0.848","48","227","275","122","70","42","145","220","1295","1066","0.84","0.48",0.555793991416309
"34","Brandon Knight","MIL","72","2400","461","1092","0.422","110","338","0.325","259","323","0.802","46","209","255","352","69","17","188","146","1291","1101","1.87","0.37",0.537916666666667
"35","Kemba Walker","CHA","73","2614","449","1143","0.393","109","327","0.333","282","337","0.837","39","267","306","447","86","32","169","128","1289","1242","2.65","0.51",0.493114001530222
"36","Jamal Crawford","LAC","69","2094","421","1011","0.416","161","446","0.361","279","322","0.866","34","124","158","223","59","12","135","120","1282","966","1.65","0.44",0.612225405921681
"37","Chris Bosh","MIA","79","2531","492","953","0.516","74","218","0.339","223","272","0.82","98","424","522","87","80","78","125","192","1281","1413","0.7","0.64",0.506124061635717
"38","Josh Smith","DET","77","2730","517","1233","0.419","70","265","0.264","160","301","0.532","102","418","520","252","105","110","199","197","1264","1195","1.27","0.53",0.463003663003663
"39","David Lee","GSW","69","2288","513","981","0.523","0","1","0","231","296","0.78","182","461","643","147","48","26","152","206","1257","1436","0.97","0.32",0.549388111888112
"40","Mike Conley","MEM","73","2446","463","1030","0.45","105","291","0.361","225","276","0.815","41","172","213","441","110","13","150","141","1256","1265","2.94","0.73",0.513491414554375
