"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV","PPG"
"1","Shaquille O'Neal","LAL","79","3163","956","1665","0.574","0","1","0","432","824","0.524","336","742","1078","299","36","239","223","255","2344","2672","1.34","0.16",0.741068605754031
"2","Vince Carter","TOR","82","3126","788","1696","0.465","95","236","0.403","436","551","0.791","150","326","476","322","110","92","178","263","2107","1906","1.81","0.62",0.67402431222009
"3","Karl Malone","UTA","82","2947","752","1476","0.509","2","8","0.25","589","739","0.797","169","610","779","304","79","71","231","229","2095","2223","1.32","0.34",0.710892432982694
"4","Allen Iverson","PHI","70","2853","729","1733","0.421","89","261","0.341","442","620","0.713","71","196","267","328","144","5","230","162","1989","1321","1.43","0.63",0.697160883280757
"5","Gary Payton","SEA","82","3425","747","1666","0.448","177","520","0.34","311","423","0.735","100","429","529","732","153","18","224","178","1982","2159","3.27","0.68",0.578686131386861
"6","Jerry Stackhouse","DET","82","3148","619","1447","0.428","83","288","0.288","618","758","0.815","118","197","315","365","103","36","311","188","1939","1479","1.17","0.33",0.615946632782719
"7","Grant Hill","DET","74","2776","696","1422","0.489","34","98","0.347","480","604","0.795","97","393","490","385","103","43","240","190","1906","1837","1.6","0.43",0.686599423631124
"8","Kevin Garnett","MIN","81","3243","759","1526","0.497","30","81","0.37","309","404","0.765","223","733","956","401","120","126","268","205","1857","2330","1.5","0.45",0.572617946345976
"9","Michael Finley","DAL","82","3464","748","1636","0.457","99","247","0.401","260","317","0.82","122","396","518","438","109","32","196","171","1855","1811","2.24","0.56",0.535508083140878
"10","Chris Webber","SAC","75","2880","748","1548","0.483","27","95","0.284","311","414","0.751","189","598","787","345","120","128","218","264","1834","2093","1.58","0.55",0.636805555555556
"11","Ray Allen","MIL","82","3070","642","1411","0.455","172","407","0.423","353","398","0.887","83","276","359","308","110","19","183","187","1809","1608","1.68","0.6",0.589250814332248
"12","Alonzo Mourning","MIA","79","2748","652","1184","0.551","0","4","0","414","582","0.711","215","538","753","123","40","294","217","308","1718","2011","0.57","0.18",0.625181950509461
"13","Tim Duncan","SAS","74","2875","628","1281","0.49","1","11","0.091","459","603","0.761","262","656","918","234","66","165","242","210","1716","2060","0.97","0.27",0.596869565217391
"14","Glenn Robinson","MIL","81","2909","690","1461","0.472","86","237","0.363","227","283","0.802","107","378","485","193","78","41","223","212","1693","1440","0.87","0.35",0.581986937091784
"15","Antoine Walker","BOS","82","3003","648","1506","0.43","73","285","0.256","311","445","0.699","199","453","652","305","117","32","259","263","1680","1535","1.18","0.45",0.559440559440559
"16","Shareef Abdur-Rahim","VAN","82","3223","594","1277","0.465","29","96","0.302","446","551","0.809","218","607","825","271","89","87","249","244","1663","1898","1.09","0.36",0.515978901644431
"17","Stephon Marbury","NJN","74","2881","569","1317","0.432","66","233","0.283","436","536","0.813","61","179","240","622","112","15","270","195","1640","1511","2.3","0.42",0.569246789309268
