"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV","PPG"
"1","Kevin Garnett","MIN","82","3232","804","1611","0.499","11","43","0.256","368","465","0.791","245","894","1139","409","120","178","212","202","1987","2717","1.93","0.57",0.614789603960396
"2","Peja Stojakovic","SAC","81","3265","665","1386","0.48","240","554","0.433","394","425","0.927","91","417","508","173","108","14","153","159","1964","1862","1.13","0.71",0.601531393568147
"3","Tracy McGrady","ORL","67","2675","653","1566","0.417","174","513","0.339","398","500","0.796","95","307","402","370","93","42","179","129","1878","1591","2.07","0.52",0.702056074766355
"4","Paul Pierce","BOS","80","3101","602","1497","0.402","115","384","0.299","517","631","0.819","69","453","522","410","131","52","303","234","1836","1639","1.35","0.43",0.592067075137053
"5","Michael Redd","MIL","82","3021","633","1439","0.44","127","363","0.35","383","441","0.868","118","289","407","185","81","6","116","152","1776","1475","1.6","0.7",0.587884806355511
"6","Carmelo Anthony","DEN","82","2994","624","1465","0.426","69","214","0.322","408","525","0.777","183","315","498","227","97","41","247","225","1725","1383","0.92","0.39",0.576152304609218
"7","Dirk Nowitzki","DAL","77","2914","605","1310","0.462","99","290","0.341","371","423","0.877","90","580","670","207","92","104","135","216","1680","1861","1.53","0.68",0.57652711050103
"8","LeBron James","CLE","79","3120","622","1492","0.417","63","217","0.29","347","460","0.754","99","333","432","465","130","58","273","149","1654","1483","1.7","0.48",0.530128205128205
"9","Vince Carter","TOR","73","2786","608","1457","0.417","93","243","0.383","336","417","0.806","95","254","349","348","88","65","223","212","1645","1342","1.56","0.4",0.590452261306533
"10","Stephon Marbury","NYK","81","3253","598","1386","0.431","87","274","0.318","356","436","0.817","58","205","263","719","129","9","249","172","1639","1642","2.89","0.52",0.50384260682447
"11","Zach Randolph","POR","81","3070","663","1368","0.485","1","5","0.2","299","393","0.761","242","609","851","163","68","41","247","227","1626","1703","0.66","0.28",0.529641693811075
"12","Sam Cassell","MIN","81","2838","620","1270","0.488","74","186","0.398","289","331","0.873","44","227","271","592","102","18","220","247","1603","1674","2.69","0.46",0.564834390415786
"13","Jermaine O'Neal","IND","78","2790","608","1400","0.434","2","18","0.111","348","460","0.757","193","585","778","164","59","199","181","248","1566","1681","0.91","0.33",0.561290322580645
"14","Kobe Bryant","LAL","65","2452","516","1178","0.438","71","217","0.327","454","533","0.852","103","256","359","330","112","28","171","176","1557","1474","1.93","0.66",0.634991843393148
"15","Tim Duncan","SAS","69","2527","592","1181","0.501","2","12","0.167","352","588","0.599","227","632","859","213","62","185","183","164","1538","1849","1.16","0.34",0.608626830233478
"16","Baron Davis","NOH","67","2685","554","1402","0.395","187","582","0.321","237","352","0.673","66","221","287","501","158","27","215","178","1532","1327","2.33","0.74",0.570577281191806
"17","Richard Jefferson","NJN","82","3136","555","1115","0.498","48","132","0.364","357","468","0.763","109","355","464","315","92","28","198","224","1515","1545","1.59","0.47",0.483099489795918
"18","Corey Maggette","LAC","73","2628","453","1013","0.447","76","231","0.329","526","620","0.848","96","334","430","224","65","16","207","217","1508","1382","1.08","0.31",0.573820395738204
"19","Mike Bibby","SAC","82","2980","527","1170","0.45","148","378","0.392","304","373","0.815","67","210","277","444","112","18","175","146","1506","1470","2.54","0.64",0.505369127516779
"20","Shawn Marion","PHX","79","3217","590","1341","0.44","90","265","0.34","228","268","0.851","212","525","737","214","167","104","156","203","1498","1773","1.37","1.07",0.465651227852036
"21","Jason Richardson","GSW","78","2938","563","1284","0.438","77","273","0.282","258","377","0.684","124","400","524","226","86","41","196","182","1461","1302","1.15","0.44",0.497277059223962
"22","Stephen Jackson","ATL","80","2940","536","1261","0.425","145","427","0.34","233","297","0.785","97","273","370","244","142","20","223","216","1450","1214","1.09","0.64",0.493197278911565
"23","Shaquille O'Neal","LAL","67","2464","554","948","0.584","0","0","0","331","676","0.49","246","523","769","196","34","166","195","225","1439","1670","1","0.17",0.58400974025974
"24","Yao Ming","HOU","82","2693","535","1025","0.522","0","2","0","361","446","0.809","197","538","735","122","22","156","204","273","1431","1687","0.6","0.11",0.531377645748236
"25","Rashard Lewis","SEA","80","2933","535","1229","0.435","145","386","0.376","206","270","0.763","133","385","518","175","99","54","135","233","1421","1374","1.3","0.73",0.484486873508353
"26","Eddie Jones","MIA","81","3000","473","1156","0.409","177","479","0.37","278","333","0.835","38","270","308","258","92","34","129","226","1401","1226","2","0.71",0.467
"27","Shareef Abdur-Rahim","POR","85","2684","501","1054","0.475","9","34","0.265","373","429","0.869","189","450","639","174","68","37","184","222","1384","1509","0.95","0.37",0.515648286140089
"28","Jamal Crawford","CHI","80","2811","509","1318","0.386","165","521","0.317","200","240","0.833","46","237","283","405","111","29","193","161","1383","1169","2.1","0.58",0.491995731056564
"29","Pau Gasol","MEM","78","2458","506","1049","0.482","4","15","0.267","365","511","0.714","206","394","600","198","44","132","187","185","1381","1479","1.06","0.24",0.561838893409276
"30","Elton Brand","LAC","69","2669","484","982","0.493","0","1","0","411","532","0.773","269","445","714","227","64","154","193","229","1379","1726","1.18","0.33",0.516672911202698
"31","Juwan Howard","ORL","81","2877","529","1169","0.453","0","1","0","318","393","0.809","171","399","570","158","54","22","178","284","1376","1287","0.89","0.3",0.478275981925617
"32","Latrell Sprewell","MIN","82","3098","518","1266","0.409","99","299","0.331","240","295","0.814","56","254","310","286","88","21","158","101","1375","1119","1.81","0.56",0.443834732085216
"32","Richard Hamilton","DET","78","2777","530","1166","0.455","18","68","0.265","297","342","0.868","78","201","279","310","103","17","210","222","1375","1193","1.48","0.49",0.495138638818869
"34","Lamar Odom","MIA","80","3003","485","1127","0.43","61","205","0.298","340","458","0.742","160","616","776","327","85","71","236","273","1371","1634","1.39","0.36",0.456543456543457
"35","Joe Johnson","PHX","82","3331","555","1291","0.43","83","272","0.305","174","232","0.75","80","305","385","362","93","26","199","177","1367","1240","1.82","0.47",0.410387271089763
"36","Jason Terry","ATL","81","3015","499","1196","0.417","146","421","0.347","215","260","0.827","49","287","336","437","124","16","229","192","1359","1301","1.91","0.54",0.450746268656716
"37","Michael Finley","DAL","72","2778","514","1159","0.443","150","370","0.405","164","193","0.85","78","247","325","212","84","39","83","118","1342","1245","2.55","1.01",0.483081353491721
"38","Metta World Peace","IND","73","2713","468","1112","0.421","75","242","0.31","322","439","0.733","100","285","385","272","152","50","202","194","1333","1229","1.35","0.75",0.491338002211574
