"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV","PPG"
"1","Kevin Durant","OKC","78","3038","711","1538","0.462","145","414","0.35","594","675","0.88","57","476","533","214","88","76","218","159","2161","1946","0.98","0.4",0.711323238973009
"2","LeBron James","MIA","79","3063","758","1485","0.51","92","279","0.33","503","663","0.759","80","510","590","554","124","50","284","163","2111","2258","1.95","0.44",0.689193601044727
"3","Kobe Bryant","LAL","82","2779","740","1639","0.451","115","356","0.323","483","583","0.828","83","336","419","388","99","12","243","172","2078","1754","1.6","0.41",0.747750989564592
"4","Derrick Rose","CHI","81","3026","711","1597","0.445","128","385","0.332","476","555","0.858","81","249","330","623","85","51","278","136","2026","1872","2.24","0.31",0.669530733641771
"5","Amar'e Stoudemire","NYK","78","2870","744","1482","0.502","10","23","0.435","473","597","0.792","198","438","636","202","71","150","250","274","1971","1918","0.81","0.28",0.686759581881533
"6","Carmelo Anthony","NYK","77","2751","684","1503","0.455","95","251","0.378","507","605","0.838","118","445","563","221","68","46","206","224","1970","1745","1.07","0.33",0.716103235187205
"7","Dwyane Wade","MIA","76","2823","692","1384","0.5","63","206","0.306","494","652","0.758","123","362","485","346","111","87","237","197","1941","1883","1.46","0.47",0.687566418703507
"8","Monta Ellis","GSW","80","3227","726","1611","0.451","137","379","0.361","340","431","0.789","44","237","281","450","168","23","252","203","1929","1623","1.79","0.67",0.597768825534552
"9","Kevin Martin","HOU","80","2603","553","1267","0.436","176","459","0.383","594","669","0.888","28","230","258","198","80","15","184","155","1876","1454","1.08","0.44",0.720706876680753
"10","Blake Griffin","LAC","82","3112","696","1376","0.506","7","24","0.292","446","695","0.642","270","719","989","312","63","45","223","252","1845","2102","1.4","0.28",0.592866323907455
"11","Russell Westbrook","OKC","82","2847","614","1390","0.442","34","103","0.33","531","631","0.842","121","258","379","670","155","30","316","207","1793","1835","2.12","0.49",0.62978573937478
"12","Dwight Howard","ORL","78","2935","619","1044","0.593","0","7","0","546","916","0.596","309","789","1098","107","107","186","279","258","1784","2208","0.38","0.38",0.607836456558773
"13","LaMarcus Aldridge","POR","81","3211","707","1415","0.5","4","23","0.174","351","444","0.791","278","431","709","170","82","94","153","220","1769","1870","1.11","0.54",0.55091871691062
"14","Dirk Nowitzki","DAL","73","2504","610","1179","0.517","66","168","0.393","395","443","0.892","50","463","513","190","38","47","137","172","1681","1715","1.39","0.28",0.671325878594249
"15","Brook Lopez","NJN","82","2889","644","1309","0.492","0","1","0","385","489","0.787","197","291","488","129","47","120","176","240","1673","1512","0.73","0.27",0.579093111803392
"16","Danny Granger","IND","79","2763","535","1260","0.425","157","407","0.386","395","466","0.848","87","338","425","203","89","62","206","213","1622","1399","0.99","0.43",0.58704306912776
"17","Pau Gasol","LAL","82","3037","593","1120","0.529","1","3","0.333","354","430","0.823","268","568","836","273","48","130","142","203","1541","2083","1.92","0.34",0.507408626934475
"18","Al Jefferson","UTA","82","2940","654","1319","0.496","0","0","0","220","289","0.761","235","559","794","149","46","153","105","238","1528","1831","1.42","0.44",0.519727891156463
"19","Paul Pierce","BOS","80","2774","507","1021","0.497","111","297","0.374","386","449","0.86","34","396","430","260","80","51","171","231","1511","1584","1.52","0.47",0.544700793078587
"20","Zach Randolph","MEM","75","2724","598","1188","0.503","8","43","0.186","300","396","0.758","326","588","914","163","63","25","151","175","1504","1832","1.08","0.42",0.552129221732746
"21","Kevin Love","MIN","73","2611","482","1026","0.47","88","211","0.417","424","499","0.85","330","782","1112","184","45","28","155","148","1476","2071","1.19","0.29",0.565300651091536
"22","Chris Bosh","MIA","77","2795","524","1056","0.496","6","25","0.24","384","471","0.815","141","500","641","144","59","49","138","172","1438","1574","1.04","0.43",0.514490161001789
"23","Luol Deng","CHI","82","3208","531","1155","0.46","115","333","0.345","253","336","0.753","116","360","476","230","78","48","156","162","1430","1399","1.47","0.5",0.445760598503741
"24","Andrea Bargnani","TOR","66","2353","525","1173","0.448","77","223","0.345","287","350","0.82","74","269","343","119","34","46","152","160","1414","1093","0.78","0.22",0.600934976625584
"25","DeMar DeRozan","TOR","82","2851","539","1154","0.467","5","52","0.096","327","402","0.813","75","240","315","148","85","31","144","217","1410","1155","1.03","0.59",0.494563311118906
"26","Michael Beasley","MIN","73","2361","561","1246","0.45","60","164","0.366","219","291","0.753","118","291","409","158","54","52","195","222","1401","1122","0.81","0.28",0.593392630241423
"27","Manu Ginobili","SAS","80","2426","441","1018","0.433","154","441","0.349","357","410","0.871","42","253","295","393","123","28","174","163","1393","1428","2.26","0.71",0.574196207749382
"28","Stephen Curry","GSW","74","2489","505","1053","0.48","151","342","0.442","212","227","0.934","52","234","286","432","109","20","226","233","1373","1431","1.91","0.48",0.551627159501808
"29","Tony Parker","SAS","78","2528","555","1069","0.519","25","70","0.357","233","303","0.769","30","208","238","513","90","3","200","135","1368","1428","2.57","0.45",0.541139240506329
"30","Luis Scola","HOU","74","2412","569","1129","0.504","0","3","0","214","290","0.738","147","459","606","185","48","44","147","227","1352","1452","1.26","0.33",0.560530679933665
"31","Dorell Wright","GSW","82","3147","485","1146","0.423","194","516","0.376","180","228","0.789","88","343","431","242","124","63","133","171","1344","1362","1.82","0.93",0.427073403241182
"32","David West","NOH","70","2451","528","1040","0.508","2","9","0.222","264","327","0.807","155","374","529","164","67","62","142","202","1322","1427","1.16","0.47",0.53937168502652
"33","Ray Allen","BOS","80","2890","480","978","0.491","168","378","0.444","193","219","0.881","51","223","274","219","77","16","117","147","1321","1266","1.87","0.66",0.457093425605536
"34","Paul Millsap","UTA","76","2605","525","988","0.531","9","23","0.391","256","338","0.757","164","415","579","187","103","69","145","272","1315","1563","1.29","0.71",0.504798464491363
"35","Joe Johnson","ATL","72","2554","514","1161","0.443","89","300","0.297","195","243","0.802","59","232","291","338","47","7","146","131","1312","1154","2.32","0.32",0.513703993735317
"36","Deron Williams","NJN","65","2465","428","975","0.439","105","317","0.331","348","412","0.845","40","220","260","667","79","15","230","190","1309","1489","2.9","0.34",0.531034482758621
"37","Wesley Matthews","POR","82","2758","440","979","0.449","154","378","0.407","266","315","0.844","48","210","258","164","102","9","138","195","1300","1107","1.19","0.74",0.4713560551124
"38","Jason Terry","DAL","82","2564","492","1091","0.451","127","351","0.362","182","214","0.85","24","129","153","334","93","13","167","140","1293","1088","2","0.56",0.504290171606864
"39","Josh Smith","ATL","77","2645","497","1041","0.477","51","154","0.331","229","316","0.725","134","523","657","255","99","120","197","217","1274","1577","1.29","0.5",0.481663516068053
"40","Chris Paul","NOH","80","2880","430","928","0.463","71","183","0.388","337","384","0.878","38","289","327","782","188","5","177","196","1268","1848","4.42","1.06",0.440277777777778
"41","Jason Richardson","ORL","80","2715","472","1056","0.447","189","479","0.395","116","159","0.73","67","264","331","147","93","13","95","162","1249","1111","1.55","0.98",0.460036832412523
"42","Eric Gordon","LAC","56","2112","427","949","0.45","106","291","0.364","287","348","0.825","45","119","164","244","71","18","151","115","1247","1010","1.62","0.47",0.590435606060606
"43","Stephen Jackson","CHA","67","2405","435","1059","0.411","121","359","0.337","249","305","0.816","53","251","304","241","80","28","209","161","1240","1004","1.15","0.38",0.515592515592516
"44","Elton Brand","PHI","81","2809","502","981","0.512","0","1","0","213","273","0.78","237","439","676","120","92","106","101","244","1217","1571","1.19","0.91",0.433250266998932
"45","Chauncey Billups","NYK","72","2310","339","794","0.427","146","363","0.402","384","419","0.916","25","165","190","387","71","14","177","146","1208","1203","2.19","0.4",0.522943722943723
