"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV","PPG"
"1","Alex English","DEN","81","3024","951","1888","0.504","1","5","0.2","511","593","0.862","192","213","405","320","73","29","249","235","2414","1973","1.29","0.29",0.798280423280423
"2","Dominique Wilkins","ATL","78","3049","888","1897","0.468","13","70","0.186","577","705","0.818","261","357","618","206","138","49","251","170","2366","1989","0.82","0.55",0.775992128566743
"3","Adrian Dantley","UTH","76","2744","818","1453","0.563","1","11","0.091","630","796","0.791","178","217","395","264","64","4","231","206","2267","1962","1.14","0.28",0.826166180758018
"4","Larry Bird","BOS","82","3113","796","1606","0.496","82","194","0.423","441","492","0.896","190","615","805","557","166","51","266","182","2115","2567","2.09","0.62",0.679408930292323
"5","Kiki Vandeweghe","POR","79","2791","719","1332","0.54","1","8","0.125","523","602","0.869","92","124","216","187","54","17","177","161","1962","1567","1.06","0.31",0.702973844500179
"6","Mike Mitchell","SAN","82","2970","802","1697","0.473","0","12","0","317","392","0.809","134","275","409","188","56","25","184","175","1921","1445","1.02","0.3",0.646801346801347
"7","Kareem Abdul-Jabbar","LAL","79","2629","755","1338","0.564","0","2","0","336","439","0.765","133","345","478","280","67","130","203","248","1846","1912","1.38","0.33",0.702168124762267
"8","Jeff Malone","WAS","80","2992","735","1522","0.483","3","17","0.176","322","371","0.868","66","222","288","191","70","12","168","180","1795","1352","1.14","0.42",0.599933155080214
"9","Rolando Blackman","DAL","82","2787","677","1318","0.514","4","29","0.138","404","483","0.836","88","203","291","271","79","25","189","138","1762","1519","1.43","0.42",0.632221026193039
"10","Moses Malone","PHL","74","2706","571","1246","0.458","0","1","0","617","784","0.787","339","533","872","90","67","71","261","194","1759","1756","0.35","0.26",0.650036954915004
"11","World Free","CLE","75","2535","652","1433","0.455","71","169","0.42","379","486","0.78","72","146","218","314","91","19","172","186","1754","1336","1.83","0.53",0.691913214990138
"12","Joe Barry Carroll","GOS","79","2801","650","1404","0.463","0","2","0","377","501","0.752","193","477","670","176","101","144","275","277","1677","1615","0.64","0.37",0.598714744734024
"13","Mark Aguirre","DAL","74","2501","668","1327","0.503","16","56","0.286","318","451","0.705","177","268","445","339","62","14","252","229","1670","1486","1.35","0.25",0.667732906837265
"14","Purvis Short","GOS","64","2427","633","1313","0.482","15","49","0.306","351","406","0.865","126","203","329","237","92","22","184","229","1632","1393","1.29","0.5",0.672435105067985
"15","Terry Cummings","MIL","82","2669","681","1438","0.474","0","2","0","265","404","0.656","222","472","694","193","121","51","191","283","1627","1599","1.01","0.63",0.609591607343574
"16","Kelly Tripucka","DET","81","2626","615","1236","0.498","12","25","0.48","380","444","0.856","116","232","348","265","93","10","183","167","1622","1470","1.45","0.51",0.617669459253618
"17","Isiah Thomas","DET","77","2790","609","1248","0.488","26","84","0.31","365","462","0.79","83","194","277","830","171","20","289","245","1609","1882","2.87","0.59",0.576702508960574
"18","Roy Hinson","CLE","82","2834","621","1167","0.532","0","4","0","364","506","0.719","167","472","639","102","62","112","188","316","1606","1645","0.54","0.33",0.566690190543402
"19","Charles Barkley","PHL","80","2952","595","1041","0.572","17","75","0.227","396","578","0.685","354","672","1026","312","173","125","350","333","1603","2261","0.89","0.49",0.543021680216802
"20","Hakeem Olajuwon","HOU","68","2467","625","1188","0.526","0","0","0","347","538","0.645","333","448","781","137","134","231","195","271","1597","1931","0.7","0.69",0.647344953384678
"21","Herb Williams","IND","78","2770","627","1275","0.492","1","12","0.083","294","403","0.73","172","538","710","174","50","184","210","244","1549","1700","0.83","0.24",0.559205776173285
"22","Eddie Johnson","SAC","82","2514","623","1311","0.475","4","20","0.2","280","343","0.816","173","246","419","214","54","17","191","237","1530","1292","1.12","0.28",0.608591885441527
