"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV","PPG"
"1","Michael Jordan","CHI","80","3102","943","1818","0.519","27","100","0.27","491","590","0.832","91","420","511","489","182","75","200","201","2404","2487","2.45","0.91",0.77498388136686
"2","Karl Malone","UTH","81","3054","798","1516","0.526","3","17","0.176","673","865","0.778","225","684","909","241","108","51","248","226","2272","2423","0.97","0.44",0.743942370661428
"3","Chris Mullin","GOS","81","3346","830","1584","0.524","64","175","0.366","350","420","0.833","127","323","450","286","173","62","202","171","2074","2019","1.42","0.86",0.619844590555888
"4","Patrick Ewing","NYK","82","3150","796","1525","0.522","1","6","0.167","377","511","0.738","228","693","921","156","88","245","209","277","1970","2308","0.75","0.42",0.625396825396825
"5","Clyde Drexler","POR","76","2751","694","1476","0.47","114","338","0.337","401","505","0.794","166","334","500","512","138","70","240","229","1903","1997","2.13","0.58",0.691748455107234
"6","Tim Hardaway","GOS","81","3332","734","1592","0.461","127","376","0.338","298","389","0.766","81","229","310","807","164","13","267","208","1893","1971","3.02","0.61",0.56812725090036
"7","Mitch Richmond","SAC","80","3095","685","1465","0.468","103","268","0.384","330","406","0.813","62","257","319","411","92","34","247","231","1803","1556","1.66","0.37",0.582552504038772
"8","Glen Rice","MIA","79","3007","672","1432","0.469","155","396","0.391","266","318","0.836","84","310","394","184","90","35","145","170","1765","1511","1.27","0.62",0.58696375124709
"9","Charles Barkley","PHL","75","2881","622","1126","0.552","32","137","0.234","454","653","0.695","271","559","830","308","136","44","235","196","1730","2110","1.31","0.58",0.600485942381118
"10","Scottie Pippen","CHI","82","3164","687","1359","0.506","16","80","0.2","330","434","0.76","185","445","630","572","155","93","253","242","1720","2141","2.26","0.61",0.543615676359039
"11","Reggie Lewis","BOS","82","3070","703","1397","0.503","5","21","0.238","292","343","0.851","117","277","394","185","125","105","136","258","1703","1631","1.36","0.92",0.554723127035831
"12","Reggie Miller","IND","82","3120","562","1121","0.501","129","341","0.378","442","515","0.858","82","236","318","314","105","26","157","210","1695","1669","2","0.67",0.543269230769231
"13","Drazen Petrovic","NJN","82","3027","668","1315","0.508","123","277","0.444","232","287","0.808","97","161","258","252","105","11","215","248","1691","1400","1.17","0.49",0.558638916418897
"14","Ricky Pierce","SEA","78","2658","620","1306","0.475","33","123","0.268","417","455","0.916","93","140","233","241","86","20","189","213","1690","1357","1.28","0.46",0.63581640331076
"15","Jeff Malone","UTH","81","2922","691","1353","0.511","1","12","0.083","256","285","0.898","49","184","233","180","56","5","140","126","1639","1282","1.29","0.4",0.560917180013689
"16","Joe Dumars","DET","82","3192","587","1311","0.448","49","120","0.408","412","475","0.867","82","106","188","375","71","12","193","145","1635","1301","1.94","0.37",0.512218045112782
"17","Jeff Hornacek","PHX","81","3078","635","1240","0.512","83","189","0.439","279","315","0.886","106","301","407","411","158","31","170","218","1632","1828","2.42","0.93",0.530214424951267
"18","Kendall Gill","CHH","79","2906","666","1427","0.467","6","25","0.24","284","381","0.745","165","237","402","329","154","46","180","237","1622","1515","1.83","0.86",0.558155540261528
"19","Danny Manning","LAC","82","2904","650","1199","0.542","0","5","0","279","385","0.725","229","335","564","285","135","122","210","293","1579","1820","1.36","0.64",0.543732782369146
