"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV","PPG"
"1","Michael Jordan","CHI","82","3311","1069","1998","0.535","7","53","0.132","723","860","0.841","139","310","449","485","259","131","252","270","2868","2874","1.93","1.03",0.866203563877982
"2","Dominique Wilkins","ATL","78","2948","909","1957","0.464","38","129","0.295","541","655","0.826","211","291","502","224","103","47","218","162","2397","1893","1.03","0.47",0.813093622795115
"3","Larry Bird","BOS","76","2965","881","1672","0.527","98","237","0.414","415","453","0.916","108","595","703","467","125","57","213","157","2275","2585","2.19","0.59",0.767284991568297
"4","Karl Malone","UTH","82","3198","858","1650","0.52","0","5","0","552","789","0.7","277","709","986","199","117","50","325","296","2268","2266","0.61","0.36",0.709193245778612
"5","Charles Barkley","PHL","80","3170","753","1283","0.587","44","157","0.28","714","951","0.751","385","566","951","254","100","103","304","278","2264","2601","0.84","0.33",0.714195583596214
"6","Clyde Drexler","POR","81","3060","849","1679","0.506","11","52","0.212","476","587","0.811","261","272","533","467","203","52","236","250","2185","2263","1.98","0.86",0.714052287581699
"7","Alex English","DEN","80","2818","843","1704","0.495","0","6","0","314","379","0.828","166","207","373","377","70","23","181","193","2000","1736","2.08","0.39",0.7097232079489
"8","Dale Ellis","SEA","75","2790","764","1519","0.503","107","259","0.413","303","395","0.767","167","173","340","197","74","11","172","221","1938","1541","1.15","0.43",0.694623655913978
"9","Mark Aguirre","DAL","77","2610","746","1571","0.475","52","172","0.302","388","504","0.77","182","252","434","278","70","57","203","223","1932","1627","1.37","0.35",0.740229885057471
"10","Hakeem Olajuwon","HOU","79","2825","712","1385","0.514","0","4","0","381","548","0.695","302","657","959","163","162","214","243","324","1805","2220","0.67","0.67",0.638938053097345
"11","Byron Scott","LAL","81","3048","710","1348","0.527","62","179","0.346","272","317","0.858","76","257","333","335","155","27","161","204","1754","1760","2.08","0.96",0.575459317585302
"12","Otis Thorpe","SAC","82","3072","622","1226","0.507","0","6","0","460","609","0.755","279","558","837","266","62","56","228","264","1704","1944","1.17","0.27",0.5546875
"13","Tom Chambers","SEA","82","2680","611","1364","0.448","33","109","0.303","419","519","0.807","135","355","490","212","87","53","209","297","1674","1454","1.01","0.42",0.624626865671642
"14","Xavier McDaniel","SEA","78","2703","687","1407","0.488","14","50","0.28","281","393","0.715","206","312","518","263","96","52","223","230","1669","1543","1.18","0.43",0.617462079171291
"15","Patrick Ewing","NYK","82","2546","656","1183","0.555","0","3","0","341","476","0.716","245","431","676","125","104","245","287","332","1653","1854","0.44","0.36",0.649253731343284
"16","Jeff Malone","WAS","80","2655","648","1360","0.476","10","24","0.417","335","380","0.882","44","162","206","237","51","13","172","198","1641","1219","1.38","0.3",0.618079096045198
"17","Terry Cummings","MIL","76","2629","675","1392","0.485","1","3","0.333","270","406","0.665","184","369","553","181","78","46","170","274","1621","1456","1.07","0.46",0.616584252567516
"18","Alvin Robertson","SAN","82","2978","655","1408","0.465","27","95","0.284","273","365","0.748","165","333","498","557","243","69","251","300","1610","1881","2.22","0.97",0.540631296171928
"19","Moses Malone","WAS","79","2692","531","1090","0.487","2","7","0.286","543","689","0.788","372","512","884","112","59","72","249","160","1607","1780","0.45","0.24",0.596953937592868
"20","Thurl Bailey","UTH","82","2804","633","1286","0.492","1","3","0.333","337","408","0.826","134","397","531","158","49","125","190","186","1604","1553","0.83","0.26",0.572039942938659
"21","Isiah Thomas","DET","81","2927","621","1341","0.463","30","97","0.309","305","394","0.774","64","214","278","678","141","17","273","217","1577","1609","2.48","0.52",0.53877690468056
"22","Reggie Theus","SAC","73","2653","619","1318","0.47","16","59","0.271","320","385","0.831","72","160","232","463","59","16","234","173","1574","1346","1.98","0.25",0.593290614398794
"23","Lafayette Lever","DEN","82","3061","643","1360","0.473","12","57","0.211","248","316","0.785","203","462","665","639","223","21","182","214","1546","2127","3.51","1.23",0.505063704671676
"24","Jerome Kersey","POR","79","2888","611","1225","0.499","3","15","0.2","291","396","0.735","211","446","657","243","127","65","161","302","1516","1728","1.51","0.79",0.524930747922438
"25","Brad Daugherty","CLE","79","2957","551","1081","0.51","0","2","0","378","528","0.716","151","514","665","333","48","56","267","235","1480","1635","1.25","0.18",0.500507270882651
"26","James Worthy","LAL","75","2655","617","1161","0.531","2","16","0.125","242","304","0.796","129","245","374","289","72","55","155","175","1478","1507","1.87","0.47",0.55668549905838
"27","Kevin McHale","BOS","64","2390","550","911","0.604","0","0","0","346","434","0.797","159","377","536","171","27","92","141","179","1446","1682","1.21","0.19",0.605020920502092
"28","Mike Woodson","LAC","80","2534","562","1263","0.445","18","78","0.231","296","341","0.868","64","126","190","273","109","26","186","210","1438","1104","1.47","0.59",0.567482241515391
"29","Gerald Wilkins","NYK","81","2703","591","1324","0.446","39","129","0.302","191","243","0.786","106","164","270","326","90","22","212","183","1412","1123","1.54","0.43",0.522382537920829
"30","Magic Johnson","LAL","72","2637","490","996","0.492","11","56","0.196","417","489","0.853","88","361","449","858","114","13","269","147","1408","1995","3.19","0.42",0.533940083428138
"31","Derek Harper","DAL","82","3032","536","1167","0.459","60","192","0.313","261","344","0.759","71","175","246","634","168","35","190","164","1393","1572","3.34","0.88",0.4594327176781
"32","Adrian Dantley","DET","69","2144","444","863","0.514","0","2","0","492","572","0.86","84","143","227","171","39","10","135","144","1380","1193","1.27","0.29",0.64365671641791
"33","Mike Gminski","PHL","81","2961","505","1126","0.448","0","2","0","355","392","0.906","245","569","814","139","64","118","177","176","1365","1665","0.79","0.36",0.460992907801418
"34","Jack Sikma","MIL","82","2923","514","1058","0.486","3","14","0.214","321","348","0.922","195","514","709","279","93","80","157","316","1352","1785","1.78","0.59",0.462538487854944
"35","Chuck Person","IND","79","2807","575","1252","0.459","59","177","0.333","132","197","0.67","171","365","536","309","73","8","210","266","1341","1315","1.47","0.35",0.477734235838974
"36","Rolando Blackman","DAL","71","2580","497","1050","0.473","0","5","0","331","379","0.873","82","164","246","262","64","18","144","112","1325","1170","1.82","0.44",0.513565891472868
"37","Eddie Johnson","PHX","73","2177","533","1110","0.48","24","94","0.255","204","240","0.85","121","197","318","180","33","9","139","190","1294","1082","1.3","0.24",0.594395957740009
"38","Larry Nance","CLE","67","2383","487","920","0.529","2","6","0.333","304","390","0.779","193","414","607","207","63","159","155","242","1280","1642","1.34","0.41",0.53713806126731
"39","Buck Williams","NJN","70","2637","466","832","0.56","1","1","1","346","518","0.668","298","536","834","109","68","44","189","266","1279","1607","0.58","0.36",0.485020857034509
