"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV","PPG"
"1","David Robinson","SAN","80","3241","840","1658","0.507","10","29","0.345","693","925","0.749","241","614","855","381","139","265","253","228","2383","2720","1.51","0.55",0.735266892934279
"2","Shaquille O'Neal","ORL","81","3224","953","1591","0.599","0","2","0","471","850","0.554","384","688","1072","195","76","231","222","281","2377","2712","0.88","0.34",0.737282878411911
"3","Hakeem Olajuwon","HOU","80","3277","894","1694","0.528","8","19","0.421","388","542","0.716","229","726","955","287","128","297","271","289","2184","2626","1.06","0.47",0.66646322856271
"4","Karl Malone","UTH","82","3329","772","1552","0.497","8","32","0.25","511","736","0.694","235","705","940","328","125","126","234","268","2063","2343","1.4","0.53",0.619705617302493
"5","Patrick Ewing","NYK","79","2972","745","1503","0.496","4","14","0.286","445","582","0.765","219","666","885","179","90","217","260","275","1939","2155","0.69","0.35",0.652422611036339
"6","Dominique Wilkins","LAC","74","2635","698","1588","0.44","85","295","0.288","442","522","0.847","182","299","481","169","92","30","172","126","1923","1553","0.98","0.54",0.729791271347249
"7","Mitch Richmond","SAC","78","2897","635","1428","0.445","127","312","0.407","426","511","0.834","70","216","286","313","103","17","216","211","1823","1448","1.45","0.48",0.629271660338281
"8","Latrell Sprewell","GOS","82","3533","613","1417","0.433","141","391","0.361","353","456","0.774","80","321","401","385","180","76","226","158","1720","1629","1.7","0.8",0.486838380979338
"9","Glen Rice","MIA","81","2999","663","1421","0.467","132","346","0.382","250","284","0.88","76","358","434","184","110","32","130","186","1708","1546","1.42","0.85",0.569523174391464
"10","Clifford Robinson","POR","82","2853","641","1404","0.457","13","53","0.245","352","460","0.765","164","386","550","159","118","111","169","263","1647","1545","0.94","0.7",0.577287066246057
"11","Scottie Pippen","CHI","72","2759","627","1278","0.491","63","197","0.32","270","409","0.66","173","456","629","403","211","58","232","227","1587","1866","1.74","0.91",0.575208408843784
