"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV","PPG"
"1","Kevin Durant","OKC","81","3119","731","1433","0.51","139","334","0.416","679","750","0.905","46","594","640","374","116","105","280","143","2280","2462","1.34","0.41",0.731003526771401
"2","Kobe Bryant","LAL","78","3013","738","1595","0.463","132","407","0.324","525","626","0.839","66","367","433","469","106","25","287","173","2133","1921","1.63","0.37",0.707932293395287
"3","LeBron James","MIA","76","2877","765","1354","0.565","103","254","0.406","403","535","0.753","97","513","610","551","129","67","226","110","2036","2446","2.44","0.57",0.707681612791102
"4","James Harden","HOU","78","2985","585","1337","0.438","179","486","0.368","674","792","0.851","62","317","379","455","142","38","295","178","2023","1872","1.54","0.48",0.677721943048576
"5","Carmelo Anthony","NYK","67","2482","669","1489","0.449","157","414","0.379","425","512","0.83","134","326","460","171","52","32","175","205","1920","1553","0.98","0.3",0.773569701853344
"6","Russell Westbrook","OKC","82","2861","673","1535","0.438","97","300","0.323","460","575","0.8","111","317","428","607","145","24","273","189","1903","1857","2.22","0.53",0.665152044739602
"7","Stephen Curry","GSW","78","2983","626","1388","0.451","272","600","0.453","262","291","0.9","59","255","314","539","126","12","240","198","1786","1746","2.25","0.53",0.598726114649682
"8","Monta Ellis","MIL","82","3076","597","1436","0.416","94","328","0.287","289","374","0.773","45","271","316","496","169","36","254","164","1577","1416","1.95","0.67",0.512678803641092
"9","Damian Lillard","POR","82","3167","553","1288","0.429","185","503","0.368","271","321","0.844","42","215","257","531","74","19","243","172","1562","1415","2.19","0.31",0.493211240922008
"10","LaMarcus Aldridge","POR","74","2790","638","1318","0.484","2","14","0.143","282","348","0.81","175","495","670","192","62","91","143","187","1560","1686","1.34","0.43",0.559139784946237
"11","DeMar DeRozan","TOR","82","3013","548","1231","0.445","34","120","0.283","355","427","0.831","48","272","320","204","76","24","151","173","1485","1203","1.35","0.5",0.492864254895453
"12","Deron Williams","BKN","78","2842","495","1124","0.44","169","447","0.378","317","369","0.859","29","203","232","604","75","30","218","194","1476","1518","2.77","0.34",0.519352568613652
"13","Dwyane Wade","MIA","69","2391","569","1093","0.521","17","66","0.258","308","425","0.725","86","258","344","352","128","56","194","140","1463","1508","1.81","0.66",0.611877875365956
"14","David Lee","GSW","79","2907","602","1160","0.519","0","4","0","255","320","0.797","218","668","886","279","67","22","207","246","1459","1883","1.35","0.32",0.501891984864121
"15","Kemba Walker","CHA","82","2859","526","1244","0.423","107","332","0.322","296","371","0.798","60","223","283","471","160","31","200","153","1455","1407","2.36","0.8",0.508919202518363
"16","JR Smith","NYK","80","2678","527","1249","0.422","155","436","0.356","237","311","0.762","64","361","425","218","100","24","134","226","1446","1283","1.63","0.75",0.539955190440627
"17","Blake Griffin","LAC","80","2598","577","1072","0.538","5","28","0.179","281","426","0.66","186","476","662","299","97","50","185","231","1440","1723","1.62","0.52",0.554272517321016
"18","Brook Lopez","BKN","74","2253","570","1094","0.521","0","1","0","297","392","0.758","208","304","512","70","33","154","131","152","1437","1456","0.53","0.25",0.637816245006658
"19","Paul Pierce","BOS","77","2575","476","1092","0.436","145","382","0.38","333","423","0.787","45","442","487","370","84","30","214","210","1430","1481","1.73","0.39",0.555339805825243
"20","Brandon Jennings","MIL","80","2897","497","1247","0.399","173","461","0.375","230","281","0.819","59","187","246","521","125","10","203","155","1397","1295","2.57","0.62",0.482222989299275
"21","Al Jefferson","UTA","78","2578","611","1236","0.494","2","17","0.118","167","217","0.77","156","564","720","164","80","89","105","170","1391","1664","1.56","0.76",0.539565554693561
"22","Jrue Holiday","PHI","78","2926","555","1288","0.431","91","247","0.368","182","242","0.752","89","240","329","625","123","32","292","170","1383","1407","2.14","0.42",0.472658920027341
"23","Paul George","IND","79","2972","493","1176","0.419","170","469","0.362","221","274","0.807","88","515","603","327","143","51","233","227","1377","1532","1.4","0.61",0.463324360699865
"24","Rudy Gay","TOR","75","2687","521","1253","0.416","84","260","0.323","240","295","0.814","99","362","461","202","113","53","198","182","1366","1210","1.02","0.57",0.508373650911798
"25","Klay Thompson","GSW","82","2936","508","1205","0.422","211","526","0.401","132","157","0.841","32","274","306","183","86","45","157","237","1359","1100","1.17","0.55",0.462874659400545
"26","Tony Parker","SAS","66","2174","519","995","0.522","24","68","0.353","279","330","0.845","18","180","198","499","54","6","170","92","1341","1401","2.94","0.32",0.616835326586937
"27","Josh Smith","ATL","76","2683","550","1182","0.465","61","201","0.303","166","321","0.517","133","506","639","321","94","136","226","175","1327","1504","1.42","0.42",0.494595601938129
"28","Kyrie Irving","CLE","59","2048","484","1070","0.452","109","279","0.391","248","290","0.855","34","182","216","350","89","21","191","146","1325","1182","1.83","0.47",0.64697265625
"29","Ryan Anderson","NOH","81","2503","472","1115","0.423","213","557","0.382","152","180","0.844","191","328","519","97","42","31","97","179","1309","1230","1","0.43",0.522972433080304
"30","Greg Monroe","DET","81","2687","514","1058","0.486","0","4","0","270","392","0.689","236","541","777","281","105","55","234","190","1298","1616","1.2","0.45",0.483066617045032
"31","Dwight Howard","LAL","76","2722","470","813","0.578","1","6","0.167","355","721","0.492","251","694","945","108","84","186","225","291","1296","1685","0.48","0.37",0.476120499632623
"32","Al Horford","ATL","74","2756","576","1060","0.543","3","6","0.5","134","208","0.644","195","562","757","240","78","78","147","163","1289","1737","1.63","0.53",0.467706821480406
"33","Carlos Boozer","CHI","79","2546","544","1140","0.477","0","2","0","193","264","0.731","175","596","771","179","66","28","176","239","1281","1482","1.02","0.38",0.503142183817753
"34","DeMarcus Cousins","SAC","75","2289","482","1036","0.465","4","22","0.182","312","423","0.738","222","524","746","199","108","55","225","269","1280","1498","0.88","0.48",0.559196155526431
"35","Jamal Crawford","LAC","76","2230","445","1016","0.438","149","396","0.376","216","248","0.871","22","106","128","193","79","13","146","71","1255","919","1.32","0.54",0.562780269058296
"35","O.J. Mayo","DAL","82","2913","461","1026","0.449","142","349","0.407","191","233","0.82","36","255","291","361","93","23","210","195","1255","1206","1.72","0.44",0.430827325780982
"37","David West","IND","73","2435","502","1009","0.498","4","19","0.211","242","315","0.768","145","418","563","213","74","69","157","149","1250","1432","1.36","0.47",0.513347022587269
