"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV","PPG"
"37","Peja Stojakovic","SAC","72","2450","497","1034","0.481","155","406","0.382","231","264","0.875","61","336","397","141","72","5","101","143","1380","1324","1.4","0.71",0.563265306122449
"38","Matt Harpring","UTA","78","2557","521","1020","0.511","66","160","0.413","262","331","0.792","190","324","514","133","73","17","160","217","1370","1379","0.83","0.46",0.53578412201799
"39","Rasheed Wallace","POR","74","2684","515","1094","0.471","110","307","0.358","200","272","0.735","113","435","548","153","70","77","140","223","1340","1397","1.09","0.5",0.499254843517139
"40","Michael Finley","DAL","69","2642","507","1193","0.425","119","322","0.37","198","230","0.861","107","295","402","205","76","21","114","105","1331","1203","1.8","0.67",0.503785011355034
"41","Kenyon Martin","NJN","77","2628","509","1082","0.47","9","43","0.209","256","392","0.653","164","476","640","185","98","70","192","294","1283","1375","0.96","0.51",0.48820395738204
"42","Jason Richardson","GSW","82","2698","476","1161","0.41","123","334","0.368","207","271","0.764","111","267","378","247","90","23","179","201","1282","1092","1.38","0.5",0.475166790214974
"43","Cuttino Mobley","HOU","73","3044","463","1067","0.434","112","318","0.352","242","282","0.858","70","233","303","208","95","36","166","185","1280","1112","1.25","0.57",0.420499342969777
"44","Tony Parker","SAS","82","2774","484","1043","0.464","82","243","0.337","219","290","0.755","33","183","216","432","71","4","198","174","1269","1164","2.18","0.36",0.45746214852199
"45","Richard Jefferson","NJN","80","2879","456","911","0.501","6","24","0.25","324","436","0.743","150","364","514","201","80","44","156","216","1242","1358","1.29","0.51",0.431399791594304
"46","Michael Redd","MIL","82","2316","455","971","0.469","182","416","0.438","149","185","0.805","98","273","371","117","100","13","74","143","1241","1216","1.58","1.35",0.535837651122625
"47","David Wesley","NOH","73","2710","449","1037","0.433","134","316","0.424","185","237","0.781","38","137","175","251","109","9","132","173","1217","989","1.9","0.83",0.449077490774908
"48","Latrell Sprewell","NYK","74","2859","454","1127","0.403","134","360","0.372","173","218","0.794","45","240","285","332","102","22","172","134","1215","1066","1.93","0.59",0.424973767051417
"49","Caron Butler","MIA","78","2858","429","1032","0.416","34","107","0.318","309","375","0.824","135","262","397","213","137","31","192","230","1201","1118","1.11","0.71",0.420223932820154
"50","Chauncey Billups","DET","74","2327","366","870","0.421","149","380","0.392","318","362","0.878","38","235","273","287","63","15","134","136","1199","1155","2.14","0.47",0.515255694026644
