"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV"
"1","Dwight Howard","LAL","76","2722","470","813","0.578","1","6","0.167","355","721","0.492","251","694","945","108","84","186","225","291","1296","1685","0.48","0.37"
"2","Omer Asik","HOU","82","2464","332","614","0.541","0","1","0","168","299","0.562","275","681","956","75","46","87","173","223","832","1410","0.43","0.27"
"3","David Lee","GSW","79","2907","602","1160","0.519","0","4","0","255","320","0.797","218","668","886","279","67","22","207","246","1459","1883","1.35","0.32"
"4","Nikola Vucevic","ORL","77","2559","461","889","0.519","0","3","0","86","126","0.683","273","644","917","143","61","79","141","218","1008","1599","1.01","0.43"
"5","Reggie Evans","BKN","80","1967","125","261","0.479","0","0","0","113","222","0.509","260","628","888","43","74","13","111","199","363","1025","0.39","0.67"
"6","Carlos Boozer","CHI","79","2546","544","1140","0.477","0","2","0","193","264","0.731","175","596","771","179","66","28","176","239","1281","1482","1.02","0.38"
"7","Kevin Durant","OKC","81","3119","731","1433","0.51","139","334","0.416","679","750","0.905","46","594","640","374","116","105","280","143","2280","2462","1.34","0.41"
"8","Al Jefferson","UTA","78","2578","611","1236","0.494","2","17","0.118","167","217","0.77","156","564","720","164","80","89","105","170","1391","1664","1.56","0.76"
"9","Al Horford","ATL","74","2756","576","1060","0.543","3","6","0.5","134","208","0.644","195","562","757","240","78","78","147","163","1289","1737","1.63","0.53"
"9","JJ Hickson","POR","80","2323","418","744","0.562","0","2","0","182","268","0.679","266","562","828","88","48","51","145","160","1018","1476","0.61","0.33"
"9","Tim Duncan","SAS","69","2078","490","976","0.502","2","7","0.286","245","300","0.817","124","562","686","184","50","183","147","117","1227","1642","1.25","0.34"
"12","Zach Randolph","MEM","76","2607","471","1024","0.46","2","23","0.087","225","300","0.75","310","544","854","108","61","31","150","180","1169","1445","0.72","0.41"
