"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV"
"1","Tim Duncan","SAS","82","3329","764","1504","0.508","1","10","0.1","560","701","0.799","268","774","1042","307","61","203","263","217","2089","2558","1.17","0.23"
"2","Kevin Garnett","MIN","81","3172","659","1401","0.47","37","116","0.319","359","448","0.801","243","738","981","422","96","126","229","184","1714","2279","1.84","0.42"
"3","Ben Wallace","DET","80","2919","255","480","0.531","0","3","0","99","234","0.423","318","721","1039","115","138","278","70","178","609","1749","1.64","1.97"
"4","Dirk Nowitzki","DAL","76","2891","600","1258","0.477","139","350","0.397","440","516","0.853","120","635","755","186","83","77","145","222","1779","2001","1.28","0.57"
"5","Danny Fortson","GSW","77","2219","309","722","0.428","1","4","0.25","245","308","0.795","290","609","899","127","44","17","160","255","864","1315","0.79","0.28"
"5","Dikembe Mutombo","PHI","80","2906","321","641","0.501","0","0","0","278","364","0.764","254","609","863","83","29","190","156","242","920","1523","0.53","0.19"
"7","Shawn Marion","PHX","81","3108","654","1395","0.469","48","122","0.393","191","226","0.845","211","592","803","162","149","86","144","214","1547","1827","1.13","1.04"
"8","Jermaine O'Neal","IND","72","2708","543","1133","0.479","1","14","0.071","284","413","0.688","188","569","757","118","45","166","174","269","1371","1564","0.68","0.26"
"9","Antoine Walker","BOS","81","3406","666","1689","0.394","222","645","0.344","240","324","0.741","150","564","714","407","122","38","251","237","1794","1717","1.62","0.49"
"10","Michael Olowokandi","LAC","80","2570","384","886","0.433","0","0","0","117","188","0.622","164","547","711","90","55","145","175","217","885","1138","0.51","0.31"
"11","Karl Malone","UTA","80","3040","635","1399","0.454","9","25","0.36","509","639","0.797","142","544","686","341","152","59","263","229","1788","1869","1.3","0.58"
"12","Kurt Thomas","NYK","82","2769","463","938","0.494","1","6","0.167","216","265","0.815","214","533","747","87","71","79","153","341","1143","1450","0.57","0.46"
"13","Elton Brand","LAC","80","3016","532","1010","0.527","0","0","0","389","524","0.742","396","529","925","191","80","163","173","254","1453","2026","1.1","0.46"
"14","Anthony Mason","MIL","82","3140","316","626","0.505","1","1","1","154","221","0.697","124","522","646","346","57","22","130","187","787","1351","2.66","0.44"
"15","P.J. Brown","CHH","80","2563","250","527","0.474","0","0","0","169","197","0.858","273","513","786","107","59","78","85","222","669","1309","1.26","0.69"
"16","Rasheed Wallace","POR","79","2963","603","1287","0.469","114","317","0.36","201","274","0.734","136","509","645","152","101","101","131","212","1521","1632","1.16","0.77"
"17","Shareef Abdur-Rahim","ATL","77","2978","598","1297","0.461","21","70","0.3","419","523","0.801","198","498","696","239","98","81","250","214","1636","1697","0.96","0.39"
"18","Pau Gasol","MEM","82","3007","551","1064","0.518","1","5","0.2","338","477","0.709","238","492","730","223","41","169","224","195","1441","1728","1","0.18"
"19","Antonio Davis","TOR","77","2978","410","963","0.426","0","1","0","293","358","0.818","254","486","740","155","54","83","159","225","1113","1368","0.98","0.34"
"20","Paul Pierce","BOS","82","3299","707","1598","0.442","210","520","0.404","520","643","0.809","81","485","566","261","154","86","241","237","2144","1956","1.08","0.64"
"21","Shaquille O'Neal","LAL","67","2421","712","1229","0.579","0","1","0","398","717","0.555","235","480","715","200","41","137","171","199","1822","1908","1.17","0.24"
"22","Keith Van Horn","NJN","81","2462","471","1089","0.433","101","293","0.345","156","195","0.8","137","472","609","164","63","42","146","221","1199","1274","1.12","0.43"
"23","Vlade Divac","SAC","80","2420","338","716","0.472","3","13","0.231","209","340","0.615","205","466","671","297","79","94","158","229","888","1362","1.88","0.5"
"24","Jason Kidd","NJN","82","3056","445","1138","0.391","117","364","0.321","201","247","0.814","130","465","595","808","175","20","286","136","1208","1781","2.83","0.61"
"25","David Robinson","SAS","78","2305","341","672","0.507","0","0","0","269","395","0.681","191","456","647","94","86","140","104","193","951","1357","0.9","0.83"
"26","Alonzo Mourning","MIA","75","2453","447","866","0.516","1","3","0.333","283","431","0.657","182","450","632","87","27","186","182","258","1178","1361","0.48","0.15"
"27","Tracy McGrady","ORL","76","2912","715","1586","0.451","103","283","0.364","415","555","0.748","150","447","597","400","119","73","189","139","1948","1937","2.12","0.63"
"28","Dale Davis","POR","78","2446","296","580","0.51","0","0","0","150","212","0.708","262","426","688","96","62","83","62","193","742","1263","1.55","1"
"29","Keon Clark","TOR","81","2187","380","775","0.49","0","5","0","155","230","0.674","182","421","603","88","58","122","140","258","915","1176","0.63","0.41"
"30","Nazr Mohammed","ATL","82","2168","329","713","0.461","0","1","0","137","222","0.617","242","409","651","33","63","61","118","252","795","1016","0.28","0.53"
"31","Brian Grant","MIA","72","2256","286","610","0.469","0","2","0","101","119","0.849","168","407","575","137","48","31","122","236","673","1000","1.12","0.39"
"32","Raef LaFrentz","DAL","78","2454","421","920","0.458","104","268","0.388","105","151","0.695","176","403","579","89","55","213","94","281","1051","1348","0.95","0.59"
"33","Elden Campbell","CHH","77","2158","384","794","0.484","0","2","0","306","384","0.797","133","397","530","102","60","137","138","264","1074","1277","0.74","0.44"
"34","Chris Webber","SAC","54","2072","532","1075","0.495","5","19","0.263","253","338","0.749","150","396","546","258","90","76","158","181","1322","1506","1.63","0.57"
"35","Juwan Howard","DEN","81","2634","462","1005","0.46","0","2","0","261","343","0.761","223","389","612","169","46","47","152","265","1185","1282","1.11","0.3"
"36","Brent Barry","SEA","81","3038","401","790","0.508","164","387","0.424","198","234","0.846","58","383","441","426","147","37","165","182","1164","1625","2.58","0.89"
"37","Scot Pollard","SAC","80","1882","197","358","0.55","0","0","0","115","166","0.693","188","377","565","53","70","76","68","202","509","993","0.78","1.03"
"38","Matt Harpring","PHI","81","2547","386","838","0.461","21","69","0.304","165","222","0.743","203","370","573","107","70","5","127","201","958","1077","0.84","0.55"
"39","Brad Miller","IND","76","2264","366","733","0.499","3","7","0.429","297","383","0.775","252","369","621","152","76","41","115","244","1032","1354","1.32","0.66"
"40","Jumaine Jones","CLE","81","2143","287","640","0.448","52","168","0.31","45","68","0.662","125","365","490","116","75","46","79","184","671","943","1.47","0.95"
"41","Rashard Lewis","SEA","71","2584","455","972","0.468","123","316","0.389","162","200","0.81","139","359","498","123","104","40","97","174","1195","1308","1.27","1.07"
"42","Kenny Thomas","HOU","72","2481","396","829","0.478","0","16","0","223","336","0.664","158","358","516","137","85","66","143","195","1015","1130","0.96","0.59"
"43","Samaki Walker","LAL","69","1653","187","365","0.512","0","0","0","86","129","0.667","129","352","481","64","28","88","53","170","460","847","1.21","0.53"
"44","Jeff Foster","IND","82","1786","177","394","0.449","2","15","0.133","111","182","0.61","206","350","556","70","71","38","79","232","467","835","0.89","0.9"
"45","Kelvin Cato","HOU","75","1919","190","326","0.583","0","1","0","113","194","0.582","176","349","525","29","40","95","53","208","493","912","0.55","0.76"
"45","Robert Horry","LAL","81","2140","183","460","0.398","76","203","0.374","108","138","0.783","130","349","479","232","77","89","88","208","550","1032","2.64","0.88"
"47","Antawn Jamison","GSW","82","3033","614","1375","0.447","68","210","0.324","323","440","0.734","211","345","556","161","70","45","161","187","1619","1412","1","0.44"
"47","Popeye Jones","WAS","79","1918","222","508","0.437","4","11","0.364","106","130","0.815","233","345","578","127","50","19","88","209","554","930","1.44","0.57"
