"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV"
"1","DeAndre Jordan","LAC","82","2870","348","515","0.676","0","0","0","160","374","0.428","331","783","1114","74","80","203","123","264","856","1823","0.6","0.65"
"2","Kevin Love","MIN","77","2797","650","1421","0.457","190","505","0.376","520","633","0.821","224","739","963","341","59","35","196","136","2010","2328","1.74","0.3"
"3","Al Jefferson","CHA","73","2553","700","1376","0.509","3","15","0.2","191","277","0.69","156","636","792","155","67","79","124","176","1594","1801","1.25","0.54"
"4","Dwight Howard","HOU","71","2396","473","800","0.591","2","7","0.286","349","638","0.547","231","635","866","131","60","128","229","240","1297","1637","0.57","0.26"
"5","Andre Drummond","DET","81","2619","479","769","0.623","0","2","0","137","328","0.418","440","631","1071","35","101","131","110","273","1095","1842","0.32","0.92"
"6","Joakim Noah","CHI","80","2820","380","800","0.475","0","2","0","247","335","0.737","282","618","900","431","99","121","194","245","1007","1856","2.22","0.51"
"7","DeMarcus Cousins","SAC","71","2298","591","1191","0.496","0","7","0","432","595","0.726","218","613","831","207","109","91","251","270","1614","1838","0.83","0.43"
"8","LaMarcus Aldridge","POR","69","2499","652","1423","0.458","3","15","0.2","296","360","0.822","166","599","765","178","63","68","123","147","1603","1719","1.45","0.51"
"9","Blake Griffin","LAC","80","2863","718","1359","0.528","12","44","0.273","482","674","0.715","192","565","757","309","92","51","224","265","1930","2082","1.38","0.41"
"9","Marcin Gortat","WAS","81","2655","455","840","0.542","1","1","1","157","229","0.686","202","565","767","138","41","121","126","201","1068","1552","1.1","0.33"
"11","Tim Duncan","SAS","74","2158","444","906","0.49","0","5","0","231","316","0.731","158","563","721","220","43","139","159","134","1119","1536","1.38","0.27"
"12","Kevin Durant","OKC","81","3122","849","1688","0.503","192","491","0.391","703","805","0.873","58","540","598","445","103","59","285","174","2593","2572","1.56","0.36"
"13","Zach Randolph","MEM","79","2705","560","1198","0.467","2","20","0.1","250","337","0.742","265","530","795","200","54","23","183","210","1372","1536","1.09","0.3"
"14","Spencer Hawes","CLE","80","2470","403","883","0.456","128","308","0.416","119","152","0.783","131","529","660","240","44","94","173","237","1053","1405","1.39","0.25"
