"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV"
"1","Hakeem Olajuwon","HOU","82","3124","806","1609","0.501","1","6","0.167","382","536","0.713","299","850","1149","234","174","376","316","314","1995","2655","0.74","0.55"
"2","David Robinson","SAN","82","3002","690","1300","0.531","0","2","0","613","837","0.732","303","680","983","164","138","319","257","259","1993","2506","0.64","0.54"
"3","Karl Malone","UTH","82","3122","914","1627","0.562","16","43","0.372","696","913","0.762","232","679","911","226","121","50","304","259","2540","2614","0.74","0.4"
"4","Patrick Ewing","NYK","82","3165","922","1673","0.551","1","4","0.25","502","648","0.775","235","658","893","182","78","327","278","325","2347","2652","0.66","0.28"
"5","Larry Bird","BOS","75","2944","718","1517","0.473","65","195","0.333","319","343","0.93","90","622","712","562","106","61","243","173","1820","2195","2.31","0.44"
"6","Bill Laimbeer","DET","81","2675","380","785","0.484","57","158","0.361","164","192","0.854","166","614","780","171","57","84","98","278","981","1542","1.75","0.58"
"7","Buck Williams","POR","82","2801","413","754","0.548","0","1","0","288","408","0.706","250","550","800","116","69","39","168","285","1114","1509","0.69","0.41"
"8","Charles Barkley","PHL","79","3085","706","1177","0.6","20","92","0.217","557","744","0.749","361","548","909","307","148","50","243","250","1989","2502","1.26","0.61"
"9","Darrell Walker","WAS","81","2883","316","696","0.454","2","21","0.095","138","201","0.687","173","541","714","652","139","30","173","220","772","1691","3.77","0.8"
"10","Robert Parish","BOS","79","2396","505","871","0.58","0","0","0","233","312","0.747","259","537","796","103","38","69","169","189","1243","1635","0.61","0.23"
"11","Mark West","PHX","82","2399","331","530","0.625","0","0","0","199","288","0.691","212","516","728","45","36","184","126","277","861","1440","0.36","0.29"
"12","Michael Cage","SEA","82","2595","325","645","0.504","0","0","0","148","212","0.698","306","515","821","70","79","45","94","232","798","1335","0.75","0.84"
"13","Rony Seikaly","MIA","74","2409","486","968","0.502","0","1","0","256","431","0.594","253","513","766","78","78","124","236","258","1228","1381","0.33","0.33"
"14","Lafayette Lever","DEN","79","2832","568","1283","0.443","36","87","0.414","271","337","0.804","230","504","734","517","168","13","156","172","1443","1938","3.31","1.08"
"15","Benoit Benjamin","LAC","71","2313","362","688","0.526","0","1","0","235","321","0.732","156","501","657","159","59","187","187","217","959","1422","0.85","0.32"
"16","J.R. Reid","CHH","82","2757","358","814","0.44","0","5","0","192","289","0.664","199","492","691","101","92","54","172","292","908","1121","0.59","0.54"
"17","Mike Gminski","PHL","81","2659","458","1002","0.457","3","17","0.176","193","235","0.821","196","491","687","128","43","102","98","136","1112","1388","1.31","0.44"
