"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV"
"1","Hakeem Olajuwon","HOU","82","3024","790","1556","0.508","0","10","0","454","652","0.696","338","767","1105","149","213","282","275","329","2034","2544","0.54","0.78"
"2","Robert Parish","BOS","80","2840","596","1045","0.57","0","0","0","294","409","0.719","342","654","996","175","79","116","200","209","1486","2088","0.88","0.4"
"3","Bill Laimbeer","DET","81","2640","449","900","0.499","30","86","0.349","178","212","0.84","138","638","776","177","51","100","129","259","1106","1596","1.37","0.4"
"4","Mark Eaton","UTH","82","2914","188","407","0.462","0","0","0","132","200","0.66","227","616","843","83","40","315","142","290","508","1360","0.59","0.28"
"5","Karl Malone","UTH","80","3126","809","1559","0.519","5","16","0.313","703","918","0.766","259","594","853","219","144","70","285","286","2326","2362","0.77","0.51"
"6","Charles Barkley","PHL","79","3088","700","1208","0.579","35","162","0.216","602","799","0.753","403","583","986","325","126","67","254","262","2037","2582","1.28","0.5"
"7","Moses Malone","ATL","81","2878","538","1096","0.491","0","12","0","561","711","0.789","386","570","956","112","79","100","245","154","1637","1931","0.46","0.32"
"8","Mike Gminski","PHL","82","2739","556","1166","0.477","0","6","0","297","341","0.871","213","556","769","138","46","106","129","142","1409","1685","1.07","0.36"
"9","Brad Daugherty","CLE","78","2821","544","1012","0.538","1","3","0.333","386","524","0.737","167","551","718","285","63","40","230","175","1475","1745","1.24","0.27"
"10","Tom Chambers","PHX","81","3002","774","1643","0.471","28","86","0.326","509","598","0.851","143","541","684","231","87","55","231","271","2085","1953","1","0.38"
"11","Benoit Benjamin","LAC","79","2585","491","907","0.541","0","2","0","317","426","0.744","164","532","696","157","57","221","237","221","1299","1668","0.66","0.24"
"12","Patrick Ewing","NYK","80","2896","727","1282","0.567","0","6","0","361","484","0.746","213","527","740","188","117","281","266","311","1815","2197","0.71","0.44"
"13","Charles Oakley","NYK","82","2604","426","835","0.51","12","48","0.25","197","255","0.773","343","518","861","187","104","14","248","270","1061","1512","0.75","0.42"
"14","Otis Thorpe","HOU","82","3135","521","961","0.542","0","2","0","328","450","0.729","272","515","787","202","82","37","225","259","1370","1691","0.9","0.36"
"15","Michael Jordan","CHI","81","3255","966","1795","0.538","27","98","0.276","674","793","0.85","149","503","652","650","234","65","290","247","2633","2996","2.24","0.81"
"16","Magic Johnson","LAL","77","2886","579","1137","0.509","59","188","0.314","513","563","0.911","111","496","607","988","138","22","312","172","1730","2565","3.17","0.44"
"17","LaSalle Thompson","IND","76","2329","416","850","0.489","0","1","0","227","281","0.808","224","494","718","81","79","94","179","285","1059","1364","0.45","0.44"
"18","Michael Cage","SEA","80","2536","314","630","0.498","0","4","0","197","265","0.743","276","489","765","126","92","52","124","184","825","1352","1.02","0.74"
"19","Jack Sikma","MIL","80","2587","360","835","0.431","82","216","0.38","266","294","0.905","141","482","623","289","85","61","145","300","1068","1478","1.99","0.59"
"20","A.C. Green","LAL","82","2510","401","758","0.529","4","17","0.235","282","359","0.786","258","481","739","103","94","55","119","172","1088","1526","0.87","0.79"
"21","Lafayette Lever","DEN","71","2745","558","1221","0.457","23","66","0.348","270","344","0.785","187","475","662","559","195","20","157","178","1409","1951","3.56","1.24"
"22","Herb Williams","DAL","76","2470","322","739","0.436","0","5","0","133","194","0.686","135","458","593","124","46","134","149","236","777","1047","0.83","0.31"
"23","Sam Perkins","DAL","78","2860","445","959","0.464","7","38","0.184","274","329","0.833","235","453","688","127","76","92","141","224","1171","1444","0.9","0.54"
"24","Buck Williams","NJN","74","2446","373","702","0.531","0","3","0","213","320","0.666","249","447","696","78","61","36","142","223","959","1252","0.55","0.43"
