"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV"
"1","Moses Malone","PHL","78","2922","654","1305","0.501","0","1","0","600","788","0.761","445","749","1194","101","89","157","264","206","1908","2346","0.38","0.34"
"2","Bill Laimbeer","DET","82","2871","436","877","0.497","2","13","0.154","245","310","0.79","282","711","993","263","51","118","176","320","1119","1862","1.49","0.29"
"3","Artis Gilmore","SAN","82","2797","556","888","0.626","0","6","0","367","496","0.74","299","685","984","126","40","192","254","273","1479","2106","0.5","0.16"
"4","Larry Bird","BOS","79","2982","747","1481","0.504","22","77","0.286","351","418","0.84","193","677","870","458","148","71","240","197","1867","2373","1.91","0.62"
"5","Cliff T. Robinson","CLE","77","2601","587","1230","0.477","0","5","0","213","301","0.708","190","666","856","145","61","58","224","272","1387","1552","0.65","0.27"
"6","Buck Williams","NJN","82","2961","536","912","0.588","0","4","0","324","523","0.62","365","662","1027","125","91","110","246","270","1396","1928","0.51","0.37"
"7","Jack Sikma","SEA","75","2564","484","1043","0.464","0","8","0","400","478","0.837","213","645","858","233","87","65","190","263","1368","1784","1.23","0.46"
"8","Dan Roundfield","ATL","77","2811","561","1193","0.47","5","27","0.185","337","450","0.749","259","621","880","225","60","115","245","239","1464","1754","0.92","0.25"
"9","Rick Mahorn","WAS","82","3023","376","768","0.49","0","3","0","146","254","0.575","171","608","779","115","86","148","170","335","898","1356","0.68","0.51"
"10","Maurice Lucas","PHX","77","2586","495","1045","0.474","1","3","0.333","278","356","0.781","201","598","799","219","56","43","221","274","1269","1537","0.99","0.25"
"11","Jeff Ruland","WAS","79","2862","580","1051","0.552","1","3","0.333","375","544","0.689","293","578","871","234","74","77","297","312","1536","1855","0.79","0.25"
"12","Mychal Thompson","POR","80","3017","505","1033","0.489","0","1","0","249","401","0.621","183","570","753","380","68","110","281","213","1259","1609","1.35","0.24"
"13","Robert Parish","BOS","78","2459","619","1125","0.55","0","1","0","271","388","0.698","260","567","827","141","79","148","185","222","1509","1896","0.76","0.43"
"14","David Greenwood","CHI","79","2355","312","686","0.455","0","4","0","165","233","0.708","217","548","765","151","54","90","154","261","789","1253","0.98","0.35"
"15","Tree Rollins","ATL","80","2472","261","512","0.51","0","1","0","98","135","0.726","210","533","743","75","49","343","95","294","620","1447","0.79","0.52"
"16","Clark Kellogg","IND","81","2761","680","1420","0.479","4","18","0.222","261","352","0.741","340","520","860","223","141","43","217","298","1625","1844","1.03","0.65"
"17","Dave Corzine","CHI","82","2496","457","920","0.497","0","2","0","232","322","0.72","243","474","717","154","47","109","228","242","1146","1392","0.68","0.21"
"18","Larry Nance","PHX","82","2914","588","1069","0.55","1","3","0.333","193","287","0.672","239","471","710","197","99","217","190","254","1370","1828","1.04","0.52"
"19","Magic Johnson","LAL","79","2907","511","933","0.548","0","21","0","304","380","0.8","214","469","683","829","176","47","301","200","1326","2262","2.75","0.59"
"20","Joe Barry Carroll","GOS","79","2988","785","1529","0.513","0","3","0","337","469","0.719","220","468","688","169","108","155","285","260","1907","1866","0.59","0.38"
"21","Truck Robinson","NYK","81","2426","326","706","0.462","0","0","0","118","201","0.587","199","458","657","145","57","24","190","241","770","1000","0.76","0.3"
"22","Caldwell Jones","HOU","82","2440","307","677","0.453","0","2","0","162","206","0.786","222","446","668","138","46","131","171","278","776","1174","0.81","0.27"
"23","Dan Issel","DEN","80","2431","661","1296","0.51","4","19","0.211","400","479","0.835","151","445","596","223","83","43","174","227","1726","1783","1.28","0.48"
"24","Pat Cummings","DAL","81","2317","433","878","0.493","0","1","0","148","196","0.755","225","443","668","144","57","35","162","296","1014","1263","0.89","0.35"
"25","Jeff Wilkins","UTH","81","2307","389","816","0.477","0","3","0","156","200","0.78","154","442","596","132","41","42","186","251","934","1088","0.71","0.22"
"26","Terry Cummings","SDC","70","2531","684","1309","0.523","0","1","0","292","412","0.709","303","441","744","177","129","62","204","294","1660","1823","0.87","0.63"
"27","Dan Schayes","DEN","82","2284","342","749","0.457","0","1","0","228","295","0.773","200","435","635","205","54","98","253","325","912","1177","0.81","0.21"
"28","Herb Williams","IND","78","2513","580","1163","0.499","0","7","0","155","220","0.705","151","432","583","262","54","171","229","230","1315","1508","1.14","0.24"
"29","Kareem Abdul-Jabbar","LAL","79","2554","722","1228","0.588","0","2","0","278","371","0.749","167","425","592","200","61","170","200","220","1722","1946","1","0.31"
"30","Elvin Hayes","HOU","81","2302","424","890","0.476","2","4","0.5","196","287","0.683","199","417","616","158","50","81","200","232","1046","1194","0.79","0.25"
"31","Kenny Carr","POR","82","2331","362","717","0.505","2","6","0.333","255","366","0.697","182","407","589","116","62","42","185","306","981","1139","0.63","0.34"
"32","Bill Cartwright","NYK","82","2468","455","804","0.566","0","0","0","380","511","0.744","185","405","590","136","41","127","204","315","1290","1500","0.67","0.2"
"33","Alton Lister","MIL","80","1885","272","514","0.529","0","0","0","130","242","0.537","168","400","568","111","50","177","186","328","674","1040","0.6","0.27"
"34","Wayne Cooper","POR","80","2099","320","723","0.443","0","5","0","135","197","0.685","214","397","611","116","27","136","162","318","775","1038","0.72","0.17"
"35","Gene Banks","SAN","81","2722","505","919","0.55","0","5","0","196","278","0.705","222","390","612","279","78","21","171","229","1206","1529","1.63","0.46"
"36","Alvan Adams","PHX","80","2447","477","981","0.486","1","3","0.333","180","217","0.829","161","387","548","376","114","74","242","287","1135","1464","1.55","0.47"
"37","Calvin Natt","POR","80","2879","644","1187","0.543","3","20","0.15","339","428","0.792","214","385","599","171","63","29","203","184","1630","1657","0.84","0.31"
"37","Greg Ballard","WAS","78","2840","603","1274","0.473","13","37","0.351","182","233","0.781","123","385","508","262","135","25","157","176","1401","1452","1.67","0.86"
"39","T.R. Dunn","DEN","82","2640","254","527","0.482","0","1","0","119","163","0.73","231","384","615","189","147","25","113","218","627","1173","1.67","1.3"
"40","Mark Eaton","UTH","81","1528","146","353","0.414","0","1","0","59","90","0.656","86","376","462","112","24","275","140","257","351","846","0.8","0.17"
"41","Jay Vincent","DAL","81","2726","622","1272","0.489","0","3","0","269","343","0.784","217","375","592","212","70","45","188","295","1513","1520","1.13","0.37"
"42","James Donaldson","SEA","82","1789","289","496","0.583","0","0","0","150","218","0.688","131","370","501","97","19","101","132","171","728","1039","0.74","0.14"
"43","George Johnson","IND","82","2297","409","858","0.477","7","38","0.184","126","172","0.733","176","369","545","220","77","53","242","279","951","1109","0.91","0.32"
"44","Kurt Rambis","LAL","78","1806","235","413","0.569","0","2","0","114","166","0.687","164","367","531","90","105","63","145","233","584","998","0.62","0.72"
"45","Ben Poquette","UTH","75","2331","329","697","0.472","1","5","0.2","166","221","0.751","155","366","521","168","64","116","100","264","825","1171","1.68","0.64"
"45","Marques Johnson","MIL","80","2853","723","1420","0.509","4","20","0.2","264","359","0.735","196","366","562","363","100","56","196","211","1714","1807","1.85","0.51"
"47","Terry Tyler","DET","82","2543","421","880","0.478","2","15","0.133","146","196","0.745","180","360","540","157","103","160","120","221","990","1321","1.31","0.86"
"48","Mike Mitchell","SAN","80","2803","686","1342","0.511","0","3","0","219","289","0.758","188","349","537","98","57","52","126","248","1591","1483","0.78","0.45"
"49","Alex English","DEN","82","2988","959","1857","0.516","2","12","0.167","406","490","0.829","263","338","601","397","116","126","263","235","2326","2321","1.51","0.44"
