"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV"
"1","Steve Kerr","CHI","82","1839","261","495","0.527","89","170","0.524","63","81","0.778","20","99","119","151","44","3","48","114","674","691","3.15","0.92"
"2","Detlef Schrempf","SEA","82","2886","521","997","0.523","93","181","0.514","437","521","0.839","135","373","508","310","93","35","176","252","1572","1782","1.76","0.53"
"3","Dana Barros","PHL","82","3318","571","1165","0.49","197","425","0.464","347","386","0.899","27","247","274","619","149","4","242","159","1686","1857","2.56","0.62"
"4","Hubert Davis","NYK","82","1697","296","617","0.48","131","288","0.455","97","120","0.808","30","80","110","150","35","11","87","146","820","695","1.72","0.4"
"5","John Stockton","UTH","82","2867","429","791","0.542","102","227","0.449","246","306","0.804","57","194","251","1011","194","22","267","215","1206","1995","3.79","0.73"
"6","Hersey Hawkins","CHH","82","2731","390","809","0.482","131","298","0.44","261","301","0.867","60","254","314","262","122","18","150","178","1172","1279","1.75","0.81"
"7","Wesley Person","PHX","78","1800","309","638","0.484","116","266","0.436","80","101","0.792","67","134","201","105","48","24","79","149","814","763","1.33","0.61"
"8","Kenny Smith","HOU","81","2030","287","593","0.484","142","331","0.429","126","148","0.851","27","128","155","323","71","10","123","109","842","950","2.63","0.58"
"9","B.J. Armstrong","CHI","82","2577","418","894","0.468","108","253","0.427","206","233","0.884","25","161","186","244","84","8","103","159","1150","1066","2.37","0.82"
"10","Dell Curry","CHH","69","1718","343","778","0.441","154","361","0.427","95","111","0.856","41","127","168","113","55","18","98","144","935","740","1.15","0.56"
"11","Dennis Scott","ORL","62","1499","283","645","0.439","150","352","0.426","86","114","0.754","25","121","146","131","45","14","57","119","802","691","2.3","0.79"
"12","Allan Houston","DET","76","1996","398","859","0.463","158","373","0.424","147","171","0.86","29","138","167","164","61","14","113","182","1101","909","1.45","0.54"
"13","Scott Skiles","WAS","62","2077","265","583","0.455","96","228","0.421","179","202","0.886","26","133","159","452","70","6","172","135","805","979","2.63","0.41"
"14","Nick Anderson","ORL","76","2588","439","923","0.476","179","431","0.415","143","203","0.704","85","250","335","314","125","22","141","124","1200","1311","2.23","0.89"
"15","Reggie Miller","IND","81","2665","505","1092","0.462","195","470","0.415","383","427","0.897","30","180","210","242","98","16","151","157","1588","1372","1.6","0.65"
"16","Glen Rice","MIA","82","3014","667","1403","0.475","185","451","0.41","312","365","0.855","99","279","378","192","112","14","153","203","1831","1585","1.26","0.73"
"17","Scott Burrell","CHH","65","2014","277","593","0.467","96","235","0.409","100","144","0.694","96","272","368","161","75","40","85","187","750","949","1.89","0.88"
"18","Sean Elliott","SAN","81","2858","502","1072","0.468","136","333","0.408","326","404","0.807","63","224","287","206","78","38","151","216","1466","1276","1.36","0.52"
"19","Vinny Del Negro","SAN","75","2360","372","766","0.486","66","162","0.407","128","162","0.79","28","164","192","226","61","14","56","179","938","947","4.04","1.09"
"20","Mark Price","CLE","48","1375","253","612","0.413","103","253","0.407","148","162","0.914","25","87","112","335","35","4","142","50","757","728","2.36","0.25"
"21","Lee Mayberry","MIL","82","1744","172","408","0.422","72","177","0.407","58","83","0.699","21","61","82","276","51","4","106","123","474","520","2.6","0.48"
"22","Brad Lohaus","MIA","61","730","97","231","0.42","63","155","0.406","10","15","0.667","28","74","102","43","20","25","29","85","267","289","1.48","0.69"
"23","Jeff Hornacek","UTH","81","2696","482","937","0.514","89","219","0.406","284","322","0.882","53","157","210","347","129","17","145","181","1337","1402","2.39","0.89"
"24","Danny Ferry","CLE","82","1290","223","500","0.446","94","233","0.403","74","84","0.881","30","113","143","96","27","22","59","131","614","556","1.63","0.46"
"25","Dale Ellis","DEN","81","1996","351","774","0.453","106","263","0.403","110","127","0.866","56","166","222","57","37","9","81","142","918","722","0.7","0.46"
"26","Mario Elie","HOU","81","1896","243","487","0.499","80","201","0.398","144","171","0.842","50","146","196","189","65","12","104","158","710","797","1.82","0.63"
"27","Cedric Ceballos","LAL","58","2029","497","977","0.509","58","146","0.397","209","292","0.716","169","295","464","105","60","19","143","131","1261","1203","0.73","0.42"
"28","Sam Perkins","SEA","82","2356","346","742","0.466","136","343","0.397","215","269","0.799","96","302","398","135","72","45","77","186","1043","1166","1.75","0.94"
"29","Khalid Reeves","MIA","67","1462","206","465","0.443","67","171","0.392","140","196","0.714","52","134","186","288","77","10","132","139","619","733","2.18","0.58"
"30","Chris Mills","CLE","80","2814","359","855","0.42","94","240","0.392","174","213","0.817","99","267","366","154","59","35","120","242","986","945","1.28","0.49"
"31","Todd Day","MIL","82","2717","445","1049","0.424","163","418","0.39","257","341","0.754","95","227","322","134","104","63","157","283","1310","1088","0.85","0.66"
"32","Byron Scott","IND","80","1528","265","583","0.455","79","203","0.389","193","227","0.85","18","133","151","108","61","13","119","123","802","664","0.91","0.51"
"33","Anthony Peeler","LAL","73","1559","285","659","0.432","84","216","0.389","102","128","0.797","62","106","168","122","52","13","82","143","756","629","1.49","0.63"
"34","Dominique Wilkins","BOS","77","2423","496","1169","0.424","112","289","0.388","266","340","0.782","157","244","401","166","61","14","173","130","1370","1092","0.96","0.35"
"35","Lucious Harris","DAL","79","1695","280","610","0.459","55","142","0.387","136","170","0.8","85","135","220","132","58","14","77","105","751","734","1.71","0.75"
"36","Chuck Person","SAN","81","2033","317","750","0.423","172","445","0.387","66","102","0.647","49","209","258","106","45","12","102","198","872","722","1.04","0.44"
"37","Mahmoud Abdul-Rauf","DEN","73","2082","472","1005","0.47","83","215","0.386","138","156","0.885","32","105","137","263","77","9","119","126","1165","981","2.21","0.65"
"38","Larry Johnson","CHH","81","3234","585","1219","0.48","81","210","0.386","274","354","0.774","190","395","585","369","78","28","207","174","1525","1664","1.78","0.38"
"39","Willie Burton","PHL","53","1564","243","606","0.401","106","275","0.385","220","267","0.824","49","115","164","96","32","19","122","167","812","591","0.79","0.26"
"40","Dee Brown","BOS","79","2792","437","977","0.447","126","327","0.385","236","277","0.852","63","186","249","301","110","49","146","181","1236","1218","2.06","0.75"
"41","Terry Mills","DET","72","2514","417","933","0.447","109","285","0.382","175","219","0.799","124","434","558","160","68","33","144","253","1118","1233","1.11","0.47"
"42","Robert Horry","HOU","64","2074","240","537","0.447","86","227","0.379","86","113","0.761","81","243","324","216","94","76","122","161","652","916","1.77","0.77"
"43","Tim Hardaway","GOS","62","2321","430","1007","0.427","168","444","0.378","219","288","0.76","46","144","190","578","88","12","214","155","1247","1255","2.7","0.41"
"44","Eric Murdock","MIL","75","2158","338","814","0.415","90","240","0.375","211","267","0.79","48","166","214","482","113","12","194","139","977","1072","2.49","0.58"
"45","Eric Piatkowski","LAC","81","1208","201","456","0.441","74","198","0.374","90","115","0.783","63","70","133","77","37","15","63","150","566","485","1.22","0.59"
"46","Clifford Robinson","POR","75","2725","597","1320","0.452","142","383","0.371","265","382","0.694","152","271","423","198","79","82","158","240","1601","1385","1.25","0.5"
"47","Eddie Jones","LAL","64","1981","342","744","0.46","91","246","0.37","122","169","0.722","79","170","249","128","131","41","75","175","897","922","1.71","1.75"
"48","Kendall Gill","SEA","73","2125","392","858","0.457","63","171","0.368","155","209","0.742","99","191","290","192","117","28","138","186","1002","971","1.39","0.85"
"49","Mitch Richmond","SAC","82","3172","668","1497","0.446","156","424","0.368","375","445","0.843","69","288","357","311","91","29","234","227","1867","1522","1.33","0.39"
"50","Keith Jennings","GOS","80","1722","190","425","0.447","75","204","0.368","134","153","0.876","26","122","148","373","95","2","120","133","589","833","3.11","0.79"
"51","Danny Ainge","PHX","74","1374","194","422","0.46","78","214","0.364","105","130","0.808","25","84","109","210","46","7","79","155","571","611","2.66","0.58"
"52","Dan Majerle","PHX","82","3091","438","1031","0.425","199","548","0.363","206","282","0.73","104","271","375","340","96","38","105","155","1281","1356","3.24","0.91"
"53","Derek Harper","NYK","80","2716","337","756","0.446","106","292","0.363","139","192","0.724","31","163","194","458","79","10","151","219","919","1037","3.03","0.52"
"54","Rex Walters","NJN","80","1435","206","469","0.439","71","196","0.362","40","52","0.769","18","75","93","121","37","16","71","135","523","444","1.7","0.52"
"55","Greg Anthony","NYK","61","943","128","293","0.437","56","155","0.361","60","76","0.789","7","57","64","160","50","7","57","99","372","415","2.81","0.88"
"56","Clyde Drexler","HOU","76","2728","571","1238","0.461","147","408","0.36","364","442","0.824","152","328","480","362","136","45","186","206","1653","1745","1.95","0.73"
"57","Mookie Blaylock","ATL","80","3069","509","1198","0.425","199","555","0.359","156","214","0.729","117","276","393","616","200","26","242","164","1373","1619","2.55","0.83"
"58","Nick Van Exel","LAL","80","2944","465","1107","0.42","183","511","0.358","235","300","0.783","27","196","223","660","97","6","220","157","1348","1407","3","0.44"
"59","Pooh Richardson","LAC","80","2864","353","897","0.394","87","244","0.357","81","125","0.648","38","223","261","632","129","12","171","218","874","1149","3.7","0.75"
"60","John Starks","NYK","80","2725","419","1062","0.395","217","611","0.355","168","228","0.737","34","185","219","411","92","4","160","257","1223","1086","2.57","0.58"
"61","Isaiah Rider","MIN","75","2645","558","1249","0.447","139","396","0.351","277","339","0.817","90","159","249","245","69","23","232","194","1532","1133","1.06","0.3"
"62","Anfernee Hardaway","ORL","77","2901","585","1142","0.512","87","249","0.349","356","463","0.769","139","197","336","551","130","26","258","158","1613","1734","2.14","0.5"
"63","Walt Williams","SAC","77","2739","445","998","0.446","103","296","0.348","266","364","0.731","100","245","345","316","123","63","243","265","1259","1212","1.3","0.51"
"64","Scottie Pippen","CHI","79","3014","634","1320","0.48","109","316","0.345","315","440","0.716","175","464","639","409","232","89","271","238","1692","1979","1.51","0.86"
"65","Ken Norman","ATL","74","1879","388","856","0.453","98","285","0.344","64","140","0.457","103","259","362","94","34","20","96","154","938","808","0.98","0.35"
"66","James Robinson","POR","71","1539","255","624","0.409","76","223","0.341","65","110","0.591","42","90","132","180","48","13","127","142","651","483","1.42","0.38"
"67","Calbert Cheaney","WAS","78","2651","512","1129","0.453","96","283","0.339","173","213","0.812","105","216","321","177","80","21","151","215","1293","1084","1.17","0.53"
"68","Charles Barkley","PHX","68","2382","554","1141","0.486","74","219","0.338","379","507","0.748","203","553","756","276","110","45","150","201","1561","1883","1.84","0.73"
"69","Chris Morris","NJN","71","2131","351","856","0.41","106","317","0.334","142","195","0.728","181","221","402","147","86","51","117","155","950","961","1.26","0.74"
"70","Kenny Anderson","NJN","72","2689","411","1031","0.399","97","294","0.33","348","414","0.841","73","177","250","680","103","14","225","184","1267","1403","3.02","0.46"
"71","Sam Cassell","HOU","82","1882","253","593","0.427","63","191","0.33","214","254","0.843","38","173","211","405","94","14","167","209","783","960","2.43","0.56"
