"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV"
"1","Richard Hamilton","DET","80","2825","649","1322","0.491","55","120","0.458","256","303","0.845","84","172","256","275","52","16","173","207","1609","1315","1.59","0.3"
"2","Tyronn Lue","ATL","51","1234","192","418","0.459","58","127","0.457","118","138","0.855","13","69","82","157","26","3","75","113","560","507","2.09","0.35"
"3","Leandro Barbosa","PHX","57","1592","273","567","0.481","87","196","0.444","111","147","0.755","31","119","150","158","48","6","89","145","744","687","1.78","0.54"
"4","Mike James","TOR","79","2925","576","1228","0.469","169","382","0.442","283","338","0.837","45","217","262","460","72","3","206","214","1604","1488","2.23","0.35"
"5","Raja Bell","PHX","79","2959","425","930","0.457","197","446","0.442","115","146","0.788","44","209","253","207","76","22","89","248","1162","1095","2.33","0.85"
"6","Steve Nash","PHX","79","2796","541","1056","0.512","150","342","0.439","257","279","0.921","47","286","333","826","61","12","276","120","1489","1908","2.99","0.22"
"7","Ben Gordon","CHI","80","2482","486","1152","0.422","166","382","0.435","211","268","0.787","43","176","219","240","75","5","180","238","1349","985","1.33","0.42"
"8","Chauncey Billups","DET","81","2925","423","1012","0.418","184","425","0.433","465","520","0.894","41","211","252","699","71","8","170","160","1495","1711","4.11","0.42"
"9","Bruce Bowen","SAS","82","2755","232","536","0.433","104","245","0.424","51","84","0.607","35","285","320","126","79","30","67","191","619","770","1.88","1.18"
"10","Jameer Nelson","ORL","62","1784","347","719","0.483","70","165","0.424","141","181","0.779","39","141","180","302","70","9","148","174","905","906","2.04","0.47"
"11","Charlie Bell","MIL","59","1283","180","410","0.439","71","168","0.423","63","89","0.708","21","99","120","130","59","5","41","126","494","511","3.17","1.44"
"12","Kyle Korver","PHI","82","2563","327","761","0.43","184","438","0.42","101","119","0.849","27","243","270","163","65","26","98","224","939","913","1.66","0.66"
"13","Bobby Simmons","MIL","75","2538","366","808","0.453","105","250","0.42","165","200","0.825","91","242","333","172","86","21","123","254","1002","1014","1.4","0.7"
"14","Matt Bonner","TOR","78","1710","209","467","0.448","102","243","0.42","63","76","0.829","86","198","284","56","49","31","32","216","583","700","1.75","1.53"
"15","Deron Williams","UTA","80","2307","339","805","0.421","91","219","0.416","95","135","0.704","35","159","194","359","60","17","145","233","864","843","2.48","0.41"
"16","Steve Blake","POR","68","1781","206","470","0.438","76","184","0.413","72","91","0.791","26","120","146","306","42","5","83","107","560","693","3.69","0.51"
"17","Ray Allen","SEA","78","3022","681","1500","0.454","269","653","0.412","324","359","0.903","71","261","332","286","105","16","188","151","1955","1652","1.52","0.56"
"18","Jason Terry","DAL","80","2798","516","1099","0.47","171","416","0.411","168","210","0.8","31","127","158","306","100","27","135","196","1371","1202","2.27","0.74"
"19","Mike Miller","MEM","74","2268","354","760","0.466","138","339","0.407","168","210","0.8","42","355","397","200","52","27","140","173","1014","1102","1.43","0.37"
"20","Dirk Nowitzki","DAL","81","3089","751","1564","0.48","110","271","0.406","539","598","0.901","115","613","728","226","58","83","156","164","2151","2218","1.45","0.37"
"21","Earl Watson","SEA","70","1578","219","509","0.43","110","272","0.404","75","111","0.676","24","134","158","289","68","10","136","159","623","686","2.13","0.5"
"22","James Posey","MIA","67","1914","159","395","0.403","117","290","0.403","48","61","0.787","33","286","319","89","54","20","58","196","483","658","1.53","0.93"
"23","Hedo Turkoglu","ORL","78","2615","398","877","0.454","114","283","0.403","255","296","0.861","70","263","333","216","70","21","130","234","1165","1155","1.66","0.54"
"24","Peja Stojakovic","IND","71","2601","445","1018","0.437","162","404","0.401","238","260","0.915","79","336","415","136","45","10","103","171","1290","1198","1.32","0.44"
"25","Wally Szczerbiak","BOS","72","2729","493","1012","0.487","102","255","0.4","278","310","0.897","77","236","313","213","40","19","136","150","1366","1264","1.57","0.29"
"26","Nate Robinson","NYK","72","1544","230","565","0.407","58","146","0.397","152","202","0.752","56","111","167","147","59","1","114","201","670","545","1.29","0.52"
"27","Derek Fisher","GSW","82","2589","364","887","0.41","117","295","0.397","244","293","0.833","36","175","211","352","125","8","156","237","1089","1057","2.26","0.8"
"28","Brent Barry","SAS","74","1259","156","345","0.452","80","202","0.396","39","59","0.661","29","130","159","123","39","27","52","99","431","518","2.37","0.75"
"29","Morris Peterson","TOR","82","3140","478","1096","0.436","177","448","0.395","241","294","0.82","65","316","381","190","104","15","126","223","1374","1267","1.51","0.83"
"30","Michael Redd","MIL","80","3130","682","1516","0.45","163","413","0.395","501","571","0.877","78","264","342","229","95","5","170","157","2028","1625","1.35","0.56"
"31","Michael Finley","SAS","77","2038","286","695","0.412","110","279","0.394","98","115","0.852","31","216","247","116","37","7","62","97","780","699","1.87","0.6"
"32","Antawn Jamison","WAS","82","3288","660","1494","0.442","147","373","0.394","217","297","0.731","167","598","765","158","90","12","137","189","1684","1658","1.15","0.66"
"33","Shane Battier","MEM","81","2839","303","621","0.488","65","165","0.394","147","208","0.707","164","265","429","136","92","114","90","223","818","1120","1.51","1.02"
"34","Raef LaFrentz","BOS","82","2033","238","552","0.431","112","286","0.392","51","75","0.68","80","326","406","115","29","72","65","273","639","858","1.77","0.45"
"35","Andres Nocioni","CHI","82","2239","383","831","0.461","93","238","0.391","204","242","0.843","89","411","500","117","40","52","120","252","1063","1166","0.98","0.33"
"36","Vladimir Radmanovic","LAC","77","1974","262","643","0.407","138","354","0.39","93","114","0.816","64","294","358","136","61","29","93","210","755","844","1.46","0.66"
"37","Eddie House","PHX","81","1421","320","759","0.422","123","316","0.389","33","41","0.805","15","117","132","148","42","12","76","96","796","607","1.95","0.55"
"38","Matt Carroll","CHA","78","1275","192","476","0.403","72","185","0.389","138","168","0.821","34","123","157","35","47","11","48","120","594","482","0.73","0.98"
"39","Bobby Jackson","MEM","71","1775","286","748","0.382","129","332","0.389","107","146","0.733","44","179","223","195","61","1","101","155","808","686","1.93","0.6"
"40","Mike Bibby","SAC","82","3167","597","1382","0.432","192","497","0.386","342","403","0.849","29","211","240","444","82","10","199","169","1728","1459","2.23","0.41"
"41","James Jones","PHX","75","1772","243","581","0.418","110","285","0.386","103","121","0.851","44","209","253","57","38","49","35","142","699","705","1.63","1.09"
"42","Delonte West","BOS","71","2418","333","684","0.487","84","218","0.385","86","101","0.851","57","232","289","329","84","46","133","197","836","1085","2.47","0.63"
"43","Rashard Lewis","SEA","78","2876","538","1151","0.467","142","370","0.384","350","428","0.818","111","279","390","182","102","50","141","191","1568","1460","1.29","0.72"
"44","Jason Richardson","GSW","75","2877","641","1438","0.446","183","477","0.384","276","410","0.673","105","333","438","232","97","37","167","206","1741","1447","1.39","0.58"
"45","Manu Ginobili","SAS","65","1813","309","669","0.462","83","217","0.382","280","360","0.778","42","188","230","235","101","26","121","156","981","1012","1.94","0.84"
"46","Juan Dixon","POR","76","1920","357","821","0.435","65","170","0.382","156","194","0.804","30","147","177","149","58","6","113","157","935","710","1.32","0.51"
"47","Mo Williams","MIL","58","1531","267","629","0.424","73","191","0.382","96","113","0.85","30","113","143","230","52","7","105","146","703","651","2.19","0.5"
