"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV"
"1","Kyle Korver","UTA","52","952","138","280","0.493","59","110","0.536","39","49","0.796","10","101","111","89","26","12","42","76","374","418","2.12","0.62"
"2","Mike Miller","WAS","54","1805","217","433","0.501","82","171","0.48","70","85","0.824","55","281","336","212","39","12","115","131","586","839","1.84","0.34"
"3","Daniel Gibson","CLE","56","1068","125","268","0.466","71","149","0.477","34","49","0.694","13","60","73","70","25","7","36","79","355","336","1.94","0.69"
"4","Jared Dudley","PHX","82","1991","225","490","0.459","120","262","0.458","104","138","0.754","99","182","281","115","81","16","68","162","674","800","1.69","1.19"
"5","Anthony Morrow","GSW","69","2018","329","703","0.468","140","307","0.456","101","114","0.886","61","198","259","104","65","16","84","158","899","872","1.24","0.77"
"6","Channing Frye","PHX","81","2190","317","703","0.451","172","392","0.439","98","121","0.81","66","361","427","113","64","74","73","263","904","1100","1.55","0.88"
"7","Stephen Curry","GSW","80","2896","528","1143","0.462","166","380","0.437","177","200","0.885","48","308","356","472","152","19","243","252","1399","1517","1.94","0.63"
"8","Arron Afflalo","DEN","82","2221","272","585","0.465","108","249","0.434","72","98","0.735","59","193","252","138","46","30","74","225","724","777","1.87","0.62"
"9","Mo Williams","CLE","69","2359","378","855","0.442","159","371","0.429","177","198","0.894","28","178","206","368","70","21","173","170","1092","1086","2.13","0.41"
"10","Steve Nash","PHX","81","2660","499","985","0.507","124","291","0.426","211","225","0.938","34","234","268","892","42","12","295","108","1333","1752","3.02","0.14"
"11","Jason Kidd","DAL","80","2881","284","671","0.423","176","414","0.425","80","99","0.808","48","397","445","724","145","35","195","142","824","1572","3.71","0.74"
"12","Paul Pierce","BOS","71","2411","409","867","0.472","109","263","0.414","369","433","0.852","39","271","310","218","84","31","166","196","1296","1251","1.31","0.51"
"13","Anthony Parker","CLE","81","2289","206","475","0.434","108","261","0.414","75","95","0.789","30","201","231","157","63","18","71","151","595","704","2.21","0.89"
"14","Jarrett Jack","TOR","82","2243","323","671","0.481","82","199","0.412","203","241","0.842","30","192","222","413","60","6","163","151","931","1083","2.53","0.37"
"15","Brandon Rush","IND","82","2491","297","702","0.423","124","302","0.411","56","89","0.629","41","305","346","112","56","65","93","159","774","822","1.2","0.6"
