"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV"
"1","Jason Kapono","TOR","81","1530","243","498","0.488","57","118","0.483","37","43","0.86","31","89","120","65","34","2","58","131","580","482","1.12","0.59"
"2","Steve Nash","PHX","81","2780","485","962","0.504","179","381","0.47","222","245","0.906","28","254","282","898","53","5","295","113","1371","1814","3.04","0.18"
"3","James Jones","POR","58","1276","143","327","0.437","91","205","0.444","86","98","0.878","43","118","161","34","24","15","28","96","463","473","1.21","0.86"
"4","Peja Stojakovic","NOH","77","2711","451","1026","0.44","231","524","0.441","130","140","0.929","64","267","331","96","57","10","61","127","1263","1111","1.57","0.93"
"5","Daniel Gibson","CLE","58","1765","201","465","0.432","118","268","0.44","85","105","0.81","30","104","134","145","47","14","76","163","605","585","1.91","0.62"
"6","Richard Hamilton","DET","72","2424","499","1030","0.484","62","141","0.44","184","221","0.833","75","160","235","299","73","10","132","171","1244","1161","2.27","0.55"
"7","Anthony Parker","TOR","82","2634","395","829","0.476","133","304","0.438","102","125","0.816","50","284","334","183","79","17","87","157","1025","1094","2.1","0.91"
"8","Sasha Vujacic","LAL","72","1279","219","482","0.454","118","270","0.437","76","91","0.835","19","135","154","72","36","5","52","107","632","569","1.39","0.69"
"9","Matt Carroll","CHA","80","2016","252","589","0.428","105","241","0.436","111","138","0.804","33","193","226","73","46","19","58","187","720","662","1.26","0.79"
"10","Mike Miller","MEM","70","2474","414","824","0.502","155","359","0.432","164","212","0.774","51","416","467","240","35","16","182","145","1147","1265","1.32","0.19"
"11","Jose Calderon","TOR","82","2484","367","707","0.519","79","184","0.429","109","120","0.908","34","202","236","678","87","6","126","134","922","1452","5.38","0.69"
"12","Mike Dunleavy","IND","82","2953","532","1117","0.476","165","389","0.424","336","403","0.834","59","365","424","288","86","31","190","208","1565","1552","1.52","0.45"
"13","Bruce Bowen","SAS","81","2448","174","428","0.407","90","215","0.419","45","69","0.652","33","201","234","91","54","22","46","177","483","560","1.98","1.17"
"14","Damon Jones","CLE","67","1336","151","363","0.416","115","276","0.417","20","28","0.714","5","67","72","126","19","1","36","66","437","399","3.5","0.53"
"15","Jameer Nelson","ORL","69","1961","283","603","0.469","64","154","0.416","125","151","0.828","28","215","243","383","63","4","141","167","755","961","2.72","0.45"
"16","Wally Szczerbiak","CLE","75","1737","311","722","0.431","90","218","0.413","149","175","0.851","34","183","217","104","23","12","76","103","861","704","1.37","0.3"
