"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV"
"1","Matt Bonner","SAS","66","1432","172","371","0.464","105","230","0.457","32","43","0.744","60","179","239","60","26","21","27","110","481","590","2.22","0.96"
"2","Ray Allen","BOS","80","2890","480","978","0.491","168","378","0.444","193","219","0.881","51","223","274","219","77","16","117","147","1321","1266","1.87","0.66"
"3","Stephen Curry","GSW","74","2489","505","1053","0.48","151","342","0.442","212","227","0.934","52","234","286","432","109","20","226","233","1373","1431","1.91","0.48"
"4","Luke Ridnour","MIN","71","2159","319","681","0.468","81","184","0.44","121","137","0.883","37","162","199","384","89","10","158","146","840","986","2.43","0.56"
"5","Richard Jefferson","SAS","81","2459","304","642","0.474","135","307","0.44","148","195","0.759","54","256","310","107","38","34","93","164","891","902","1.15","0.41"
"6","Mike Bibby","MIA","80","2284","248","576","0.431","153","348","0.44","39","62","0.629","17","178","195","265","50","9","101","175","688","755","2.62","0.5"
"7","James Jones","MIA","81","1549","146","346","0.422","123","287","0.429","60","72","0.833","23","137","160","43","29","19","21","129","475","493","2.05","1.38"
"8","Arron Afflalo","DEN","69","2324","312","627","0.498","105","248","0.423","138","163","0.847","45","206","251","168","34","31","71","153","867","940","2.37","0.48"
"9","Reggie Williams","GSW","80","1626","268","572","0.469","102","241","0.423","100","134","0.746","45","171","216","121","28","3","57","124","738","711","2.12","0.49"
"10","Anthony Morrow","NJN","58","1856","279","620","0.45","110","260","0.423","96","107","0.897","37","135","172","68","19","7","54","135","764","624","1.26","0.35"
"11","Daequan Cook","OKC","43","598","79","181","0.436","65","154","0.422","16","20","0.8","8","64","72","20","14","1","17","51","239","223","1.18","0.82"
"12","Peja Stojakovic","DAL","33","617","100","227","0.441","57","136","0.419","23","25","0.92","14","61","75","29","13","2","17","24","280","253","1.71","0.77"
"13","Gary Neal","SAS","80","1685","285","632","0.451","129","308","0.419","84","104","0.808","21","175","196","96","27","4","78","148","783","661","1.23","0.35"
"14","Kevin Love","MIN","73","2611","482","1026","0.47","88","211","0.417","424","499","0.85","330","782","1112","184","45","28","155","148","1476","2071","1.19","0.29"
"15","Brandon Rush","IND","67","1754","217","515","0.421","93","223","0.417","80","106","0.755","33","184","217","62","41","35","69","107","607","569","0.9","0.59"
"16","Martell Webster","MIN","46","1094","152","340","0.447","55","132","0.417","94","122","0.77","36","111","147","53","28","9","58","101","453","416","0.91","0.48"
"17","Kyle Korver","CHI","82","1649","242","557","0.434","120","289","0.415","77","87","0.885","12","138","150","124","35","20","60","156","681","625","2.07","0.58"
"18","Jared Dudley","PHX","82","2140","300","629","0.477","105","253","0.415","162","218","0.743","111","207","318","108","87","20","77","139","867","938","1.4","1.13"
"19","Marco Belinelli","NOH","80","1957","302","691","0.437","134","324","0.414","98","125","0.784","17","134","151","92","38","6","77","146","836","630","1.2","0.49"
"20","Hedo Turkoglu","ORL","81","2540","322","722","0.446","127","310","0.41","106","156","0.679","45","311","356","343","72","34","132","247","877","1100","2.6","0.55"
"21","Courtney Lee","HOU","81","1723","253","576","0.439","71","174","0.408","95","120","0.792","51","158","209","100","58","18","68","102","672","641","1.47","0.85"
"22","Wesley Matthews","POR","82","2758","440","979","0.449","154","378","0.407","266","315","0.844","48","210","258","164","102","9","138","195","1300","1107","1.19","0.74"
"23","Vladimir Radmanovic","GSW","74","1169","137","318","0.431","70","173","0.405","30","34","0.882","64","148","212","79","44","44","57","157","374","511","1.39","0.77"
"24","Ty Lawson","DEN","80","2103","346","688","0.503","69","171","0.404","172","225","0.764","67","142","209","377","80","4","137","133","933","1071","2.75","0.58"
"25","Daniel Gibson","CLE","67","1865","264","660","0.4","118","293","0.403","134","163","0.822","24","153","177","201","48","21","80","154","780","722","2.51","0.6"
"26","Ben Gordon","DET","82","2131","339","770","0.44","107","266","0.402","136","160","0.85","41","154","195","171","48","16","141","178","921","755","1.21","0.34"
"27","Chauncey Billups","NYK","72","2310","339","794","0.427","146","363","0.402","384","419","0.916","25","165","190","387","71","14","177","146","1208","1203","2.19","0.4"
"28","Mike Dunleavy","IND","61","1683","240","520","0.462","102","254","0.402","100","125","0.8","28","248","276","105","40","30","69","107","682","759","1.52","0.58"
"29","Austin Daye","DET","72","1446","193","471","0.41","69","172","0.401","82","108","0.759","64","210","274","78","39","39","59","165","537","604","1.32","0.66"
"30","Shawne Williams","NYK","64","1323","164","385","0.426","85","212","0.401","41","49","0.837","60","179","239","47","39","51","46","164","454","555","1.02","0.85"
"31","Jameer Nelson","ORL","76","2319","374","838","0.446","119","297","0.401","130","162","0.802","37","189","226","456","75","3","194","209","997","1067","2.35","0.39"
"32","Kirk Hinrich","ATL","72","2157","278","623","0.446","75","188","0.399","106","126","0.841","21","161","182","288","75","17","121","185","737","813","2.38","0.62"
"33","JJ Redick","ORL","59","1513","197","447","0.441","87","219","0.397","112","128","0.875","6","107","113","102","29","3","53","80","593","521","1.93","0.55"
"34","Jodie Meeks","PHI","74","2062","242","570","0.425","138","348","0.397","152","170","0.894","21","150","171","78","63","4","60","97","774","684","1.3","1.05"
"35","Derek Fisher","LAL","82","2297","206","529","0.389","63","159","0.396","83","103","0.806","14","138","152","224","99","8","70","192","558","628","3.2","1.41"
"36","Rudy Gay","MEM","54","2152","409","869","0.471","57","144","0.396","194","241","0.805","82","254","336","153","91","58","135","131","1069","1065","1.13","0.67"
"37","Steve Nash","PHX","75","2497","399","811","0.492","81","205","0.395","227","249","0.912","40","220","260","855","48","4","265","87","1106","1574","3.23","0.18"
"38","Jason Richardson","ORL","80","2715","472","1056","0.447","189","479","0.395","116","159","0.73","67","264","331","147","93","13","95","162","1249","1111","1.55","0.98"
"39","Ryan Anderson","ORL","64","1424","226","525","0.43","134","341","0.393","95","117","0.812","129","226","355","52","30","38","49","137","681","786","1.06","0.61"
"40","Dirk Nowitzki","DAL","73","2504","610","1179","0.517","66","168","0.393","395","443","0.892","50","463","513","190","38","47","137","172","1681","1715","1.39","0.28"
"41","Landry Fields","NYK","82","2541","299","602","0.497","86","219","0.393","113","147","0.769","105","416","521","155","80","17","107","114","797","1126","1.45","0.75"
"42","JR Smith","DEN","79","1968","341","784","0.435","124","318","0.39","163","221","0.738","45","277","322","175","92","16","100","173","969","973","1.75","0.92"
"43","Channing Frye","PHX","77","2541","358","829","0.432","171","439","0.39","89","107","0.832","65","448","513","96","46","79","73","272","976","1148","1.32","0.63"
"44","Eddie House","MIA","56","978","128","321","0.399","68","175","0.389","38","40","0.95","9","83","92","62","32","3","29","68","362","327","2.14","1.1"
"45","Chris Paul","NOH","80","2880","430","928","0.463","71","183","0.388","337","384","0.878","38","289","327","782","188","5","177","196","1268","1848","4.42","1.06"
"46","Nick Young","WAS","64","2034","412","935","0.441","105","271","0.387","186","228","0.816","26","148","174","75","45","17","90","144","1115","771","0.83","0.5"
"47","Charlie Villanueva","DET","76","1666","313","708","0.442","125","323","0.387","89","116","0.767","50","245","295","48","42","42","66","175","840","779","0.73","0.64"
"48","Danny Granger","IND","79","2763","535","1260","0.425","157","407","0.386","395","466","0.848","87","338","425","203","89","62","206","213","1622","1399","0.99","0.43"
"49","Henry Walker","NYK","61","784","104","236","0.441","59","153","0.386","31","44","0.705","16","106","122","34","21","6","37","81","298","299","0.92","0.57"
"50","Kevin Martin","HOU","80","2603","553","1267","0.436","176","459","0.383","594","669","0.888","28","230","258","198","80","15","184","155","1876","1454","1.08","0.44"
"51","Lamar Odom","LAL","82","2639","473","893","0.53","68","178","0.382","166","246","0.675","175","535","710","249","47","61","139","200","1180","1608","1.79","0.34"
"51","Shane Battier","MEM","82","2375","229","509","0.45","102","267","0.382","64","93","0.688","90","283","373","185","69","81","79","158","624","944","2.34","0.87"
"53","Richard Hamilton","DET","55","1498","288","671","0.429","55","144","0.382","146","172","0.849","24","102","126","171","39","4","88","95","777","620","1.94","0.44"
"54","Keith Bogans","CHI","82","1461","124","307","0.404","90","237","0.38","21","32","0.656","19","129","148","101","38","9","41","113","359","420","2.46","0.93"
"55","John Salmons","MIL","73","2554","373","898","0.415","83","219","0.379","195","240","0.813","27","239","266","252","72","28","137","157","1024","935","1.84","0.53"
"56","Anthony Parker","CLE","72","2091","220","552","0.399","86","227","0.379","74","95","0.779","33","185","218","218","67","10","80","109","600","680","2.73","0.84"
"57","Carmelo Anthony","NYK","77","2751","684","1503","0.455","95","251","0.378","507","605","0.838","118","445","563","221","68","46","206","224","1970","1745","1.07","0.33"
"58","Steve Blake","LAL","79","1581","110","306","0.359","73","193","0.378","26","30","0.867","19","137","156","170","40","3","73","99","319","415","2.33","0.55"
"59","DeShawn Stevenson","DAL","72","1158","128","330","0.388","94","249","0.378","33","43","0.767","20","86","106","77","21","5","44","71","383","336","1.75","0.48"
"60","George Hill","SAS","76","2148","287","633","0.453","77","204","0.377","233","270","0.863","24","175","199","193","66","21","99","153","884","881","1.95","0.67"
"61","Kyle Lowry","HOU","75","2563","345","809","0.426","129","343","0.376","192","251","0.765","89","220","309","500","102","23","158","207","1011","1264","3.17","0.65"
"62","Dorell Wright","GSW","82","3147","485","1146","0.423","194","516","0.376","180","228","0.789","88","343","431","242","124","63","133","171","1344","1362","1.82","0.93"
"63","Paul Pierce","BOS","80","2774","507","1021","0.497","111","297","0.374","386","449","0.86","34","396","430","260","80","51","171","231","1511","1584","1.52","0.47"
"64","Toney Douglas","NYK","81","1971","314","755","0.416","143","383","0.373","85","107","0.794","65","179","244","244","89","4","89","177","856","885","2.74","1"
"65","Omri Casspi","SAC","71","1702","225","546","0.412","92","247","0.372","68","101","0.673","74","233","307","74","54","13","68","115","610","636","1.09","0.79"
"66","Sasha Vujacic","NJN","67","1648","239","595","0.402","97","262","0.37","81","96","0.844","30","156","186","132","54","5","66","136","656","596","2","0.82"
"67","Carlos Delfino","MIL","49","1590","200","513","0.39","105","284","0.37","60","75","0.8","24","176","200","112","76","8","57","72","565","576","1.97","1.33"
"68","Mike Conley","MEM","81","2872","423","953","0.444","80","217","0.369","181","247","0.733","32","215","247","528","144","18","176","182","1107","1272","3","0.82"
"69","Marcus Thornton","SAC","73","1776","350","807","0.434","88","240","0.367","145","184","0.788","61","197","258","135","64","9","93","110","933","810","1.45","0.69"
"70","Michael Beasley","MIN","73","2361","561","1246","0.45","60","164","0.366","219","291","0.753","118","291","409","158","54","52","195","222","1401","1122","0.81","0.28"
"71","Jose Calderon","TOR","68","2102","262","596","0.44","57","156","0.365","88","103","0.854","30","172","202","605","81","7","148","143","669","1067","4.09","0.55"
"72","Jrue Holiday","PHI","82","2901","446","999","0.446","81","222","0.365","172","209","0.823","68","264","332","531","120","29","218","203","1145","1349","2.44","0.55"
"73","Eric Gordon","LAC","56","2112","427","949","0.45","106","291","0.364","287","348","0.825","45","119","164","244","71","18","151","115","1247","1010","1.62","0.47"
"74","O.J. Mayo","MEM","71","1869","304","747","0.407","96","264","0.364","99","131","0.756","35","135","170","145","73","26","99","127","803","643","1.47","0.74"
"75","Jason Terry","DAL","82","2564","492","1091","0.451","127","351","0.362","182","214","0.85","24","129","153","334","93","13","167","140","1293","1088","2","0.56"
"76","Francisco Garcia","SAC","58","1386","207","475","0.436","81","224","0.362","65","76","0.855","24","109","133","71","51","49","45","126","560","540","1.58","1.13"
"77","Monta Ellis","GSW","80","3227","726","1611","0.451","137","379","0.361","340","431","0.789","44","237","281","450","168","23","252","203","1929","1623","1.79","0.67"
"78","Vince Carter","PHX","73","2052","389","891","0.437","116","321","0.361","128","173","0.74","54","221","275","146","67","20","90","193","1022","893","1.62","0.74"
"79","Goran Dragic","HOU","70","1234","192","441","0.435","56","155","0.361","83","133","0.624","36","106","142","204","50","10","117","125","523","513","1.74","0.43"
"80","Mickael Pietrus","PHX","57","1107","143","365","0.392","85","236","0.36","39","57","0.684","15","111","126","33","29","21","39","101","410","340","0.85","0.74"
"81","Mario Chalmers","MIA","70","1579","155","388","0.399","83","231","0.359","54","62","0.871","12","134","146","177","76","7","91","158","447","521","1.95","0.84"
"82","Jordan Farmar","NJN","73","1796","255","651","0.392","109","304","0.359","82","100","0.82","24","149","173","368","62","6","139","128","701","757","2.65","0.45"
"83","Beno Udrih","SAC","79","2734","412","824","0.5","65","182","0.357","197","228","0.864","41","224","265","386","94","9","141","181","1086","1256","2.74","0.67"
"84","Al Harrington","DEN","73","1665","281","675","0.416","117","328","0.357","86","117","0.735","76","256","332","101","39","10","106","202","765","716","0.95","0.37"
"85","Rashard Lewis","WAS","57","1825","252","582","0.433","87","244","0.357","77","96","0.802","71","219","290","92","52","30","87","159","668","696","1.06","0.6"
"86","Wesley Johnson","MIN","79","2069","271","682","0.397","103","289","0.356","64","92","0.696","51","189","240","148","58","54","95","163","709","675","1.56","0.61"
"87","Metta World Peace","LAL","82","2410","261","658","0.397","83","233","0.356","92","136","0.676","100","167","267","175","124","36","90","181","697","768","1.94","1.38"
"88","Raymond Felton","DEN","75","2737","427","1005","0.425","116","329","0.353","194","241","0.805","48","221","269","625","125","11","221","150","1164","1348","2.83","0.57"
"89","Raja Bell","UTA","68","2097","191","467","0.409","68","193","0.352","91","102","0.892","31","145","176","118","56","14","63","169","541","555","1.87","0.89"
"90","Danilo Gallinari","DEN","62","2104","265","640","0.414","103","293","0.352","337","391","0.862","59","246","305","104","51","27","83","144","970","945","1.25","0.61"
"91","Kevin Durant","OKC","78","3038","711","1538","0.462","145","414","0.35","594","675","0.88","57","476","533","214","88","76","218","159","2161","1946","0.98","0.4"
"92","Wilson Chandler","DEN","72","2400","429","953","0.45","112","320","0.35","130","161","0.807","75","333","408","120","48","94","104","199","1100","1111","1.15","0.46"
"93","J.J. Barea","DAL","81","1669","285","649","0.439","66","189","0.349","133","157","0.847","29","130","159","317","30","1","136","136","769","752","2.33","0.22"
"93","Manu Ginobili","SAS","80","2426","441","1018","0.433","154","441","0.349","357","410","0.871","42","253","295","393","123","28","174","163","1393","1428","2.26","0.71"
"95","Shannon Brown","LAL","82","1568","273","643","0.425","74","212","0.349","92","101","0.911","35","122","157","96","67","16","75","124","712","594","1.28","0.89"
"96","James Harden","OKC","82","2189","298","684","0.436","113","324","0.349","289","343","0.843","42","213","255","176","92","24","106","207","998","999","1.66","0.87"
"97","Lou Williams","PHI","75","1747","323","795","0.406","88","253","0.348","293","356","0.823","32","117","149","252","47","17","102","128","1027","855","2.47","0.46"
"98","Keyon Dooling","MIL","80","1757","206","519","0.397","81","234","0.346","78","94","0.83","12","105","117","243","54","4","91","119","571","569","2.67","0.59"
"99","Antawn Jamison","CLE","56","1842","374","876","0.427","91","263","0.346","171","234","0.731","86","289","375","93","50","30","77","137","1010","916","1.21","0.65"
"100","Luol Deng","CHI","82","3208","531","1155","0.46","115","333","0.345","253","336","0.753","116","360","476","230","78","48","156","162","1430","1399","1.47","0.5"
"101","Andrea Bargnani","TOR","66","2353","525","1173","0.448","77","223","0.345","287","350","0.82","74","269","343","119","34","46","152","160","1414","1093","0.78","0.22"
"102","Boris Diaw","CHA","82","2778","381","774","0.492","78","226","0.345","84","123","0.683","105","309","414","337","74","46","166","190","924","1197","2.03","0.45"
"103","Nicolas Batum","POR","80","2522","367","807","0.455","118","342","0.345","138","164","0.841","109","252","361","123","68","49","83","194","990","1042","1.48","0.82"
