"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV"
"1","Tim Legler","WAS","77","1775","233","460","0.507","128","245","0.522","132","153","0.863","29","111","140","136","45","12","45","141","726","766","3.02","1"
"2","Steve Kerr","CHI","82","1919","244","482","0.506","122","237","0.515","78","84","0.929","25","85","110","192","63","2","42","109","688","769","4.57","1.5"
"3","Hubert Davis","NYK","74","1773","275","566","0.486","127","267","0.476","112","129","0.868","35","88","123","103","31","8","63","120","789","683","1.64","0.49"
"4","B.J. Armstrong","GOS","82","2262","340","727","0.468","98","207","0.473","234","279","0.839","22","162","184","401","68","6","128","147","1012","1111","3.13","0.53"
"5","Jeff Hornacek","UTH","82","2588","442","880","0.502","104","223","0.466","259","290","0.893","62","147","209","340","106","20","127","171","1247","1326","2.68","0.84"
"6","Brent Price","WAS","81","2042","252","534","0.472","139","301","0.462","167","191","0.874","38","190","228","416","78","4","153","184","810","1077","2.72","0.51"
"7","Bobby Phills","CLE","72","2530","386","826","0.467","93","211","0.441","186","240","0.775","62","199","261","271","102","27","126","192","1051","1092","2.15","0.81"
"8","Terry Dehere","LAC","82","2018","315","686","0.459","139","316","0.44","247","327","0.755","41","102","143","350","54","16","191","239","1016","937","1.83","0.28"
"9","Mitch Richmond","SAC","81","2946","611","1368","0.447","225","515","0.437","425","491","0.866","54","215","269","255","125","19","220","233","1872","1497","1.16","0.57"
"10","Mark Jackson","IND","81","2643","296","626","0.473","64","149","0.43","150","191","0.785","66","241","307","635","100","5","201","153","806","1281","3.16","0.5"
"11","Allan Houston","DET","82","3072","564","1244","0.453","191","447","0.427","298","362","0.823","54","246","300","250","61","16","233","233","1617","1267","1.07","0.26"
"12","Michael Jordan","CHI","82","3090","916","1850","0.495","111","260","0.427","548","657","0.834","148","395","543","352","180","42","197","195","2491","2368","1.79","0.91"
"13","David Wesley","BOS","82","2104","338","736","0.459","116","272","0.426","217","288","0.753","68","196","264","390","100","11","159","207","1009","1146","2.45","0.63"
"14","Dennis Scott","ORL","82","3041","491","1117","0.44","267","628","0.425","182","222","0.82","63","246","309","243","90","29","122","169","1431","1314","1.99","0.74"
"15","Glen Rice","CHH","79","3142","610","1296","0.471","171","403","0.424","319","381","0.837","86","292","378","232","91","19","163","217","1710","1519","1.42","0.56"
"16","Eldridge Recasner","HOU","63","1275","149","359","0.415","81","191","0.424","57","66","0.864","31","113","144","170","23","5","61","111","436","498","2.79","0.38"
"17","John Stockton","UTH","82","2915","440","818","0.538","95","225","0.422","234","282","0.83","54","172","226","916","140","15","246","207","1209","1834","3.72","0.57"
"18","Tracy Murray","TOR","82","2458","496","1092","0.454","151","358","0.422","182","219","0.831","114","238","352","131","87","40","132","208","1325","1170","0.99","0.66"
"19","Keith Askins","MIA","75","1897","157","391","0.402","99","237","0.418","45","57","0.789","113","211","324","121","48","61","82","271","458","684","1.48","0.59"
"20","Brent Barry","LAC","79","1898","283","597","0.474","123","296","0.416","111","137","0.81","38","130","168","230","95","22","120","196","800","855","1.92","0.79"
"21","Anthony Peeler","LAL","73","1608","272","602","0.452","105","254","0.413","61","86","0.709","45","92","137","118","59","10","56","139","710","623","2.11","1.05"
"22","Dale Ellis","DEN","81","2626","459","959","0.479","150","364","0.412","136","179","0.76","88","227","315","139","57","7","98","191","1204","1081","1.42","0.58"
"23","Sean Elliott","SAN","77","2901","525","1127","0.466","161","392","0.411","326","423","0.771","69","327","396","211","69","33","198","178","1537","1349","1.07","0.35"
