"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV"
"1","Darren Collison","IND","69","2018","316","638","0.495","96","205","0.468","127","144","0.882","37","141","178","368","92","15","86","122","855","1083","4.28","1.07"
"2","Reggie Bullock","DET","62","1732","267","546","0.489","125","281","0.445","39","49","0.796","27","127","154","95","47","13","47","70","698","671","2.02","1"
"3","Otto Porter Jr.","WAS","77","2432","445","885","0.503","138","313","0.441","106","128","0.828","103","389","492","157","116","41","75","151","1134","1403","2.09","1.55"
"4","Klay Thompson","GSW","73","2504","575","1177","0.489","229","520","0.44","82","98","0.837","31","246","277","185","55","34","128","117","1461","1266","1.45","0.43"
"5","Joe Ingles","UTA","82","2579","335","718","0.467","204","464","0.44","66","83","0.795","24","320","344","392","90","20","159","178","940","1227","2.47","0.57"
"6","Kyle Korver","CLE","73","1574","222","484","0.459","164","376","0.436","64","72","0.889","9","156","165","88","31","27","55","130","672","658","1.6","0.56"
"7","Anthony Tolliver","DET","79","1757","219","472","0.464","159","365","0.436","106","133","0.797","50","191","241","90","32","21","58","144","703","749","1.55","0.55"
"8","Jayson Tatum","BOS","80","2443","397","835","0.475","105","242","0.434","213","258","0.826","50","352","402","128","83","58","114","170","1112","1186","1.12","0.73"
"9","Buddy Hield","SAC","80","2024","416","933","0.446","176","408","0.431","71","81","0.877","55","252","307","155","85","22","124","148","1079","997","1.25","0.69"
"10","Al Horford","BOS","72","2277","368","753","0.489","97","226","0.429","94","120","0.783","103","428","531","339","43","78","132","138","927","1375","2.57","0.33"
"11","Doug McDermott","DAL","81","1768","237","508","0.467","92","216","0.426","64","81","0.79","40","160","200","79","19","16","56","122","630","600","1.41","0.34"
"12","E'Twaun Moore","NOP","82","2586","423","832","0.508","128","301","0.425","48","68","0.706","57","181","238","187","79","12","102","182","1022","1007","1.83","0.78"
"13","Stephen Curry","GSW","51","1631","428","864","0.495","212","501","0.423","278","302","0.921","36","225","261","310","80","8","153","114","1346","1392","2.03","0.52"
"14","Karl-Anthony Towns","MIN","82","2918","639","1172","0.545","120","285","0.421","345","402","0.858","238","774","1012","199","64","115","159","285","1743","2384","1.25","0.4"
"15","JJ Redick","PHI","70","2116","404","879","0.46","193","460","0.42","197","218","0.904","9","169","178","210","35","6","103","123","1198","1028","2.04","0.34"
"16","D.J. Augustin","ORL","75","1760","244","540","0.452","114","272","0.419","164","189","0.868","30","130","160","287","54","0","123","94","766","823","2.33","0.44"
"17","Joe Harris","BKN","78","1975","305","621","0.491","150","358","0.419","86","104","0.827","51","209","260","128","35","20","91","153","846","864","1.41","0.39"
"18","Kevin Durant","GSW","68","2325","630","1222","0.516","173","413","0.419","359","404","0.889","31","433","464","366","50","119","207","133","1792","1947","1.77","0.24"
"19","Kevin Love","CLE","59","1651","334","729","0.458","137","330","0.415","234","266","0.88","101","445","546","103","43","24","90","120","1039","1238","1.14","0.48"
"20","George Hill","CLE","67","1812","236","513","0.46","85","205","0.415","110","140","0.786","42","139","181","186","61","27","88","128","667","727","2.11","0.69"
"21","Fred VanVleet","TOR","76","1520","232","545","0.426","108","261","0.414","84","101","0.832","25","159","184","243","68","19","74","130","656","766","3.28","0.92"
"22","Marvin Williams","CHA","78","2006","258","563","0.458","126","305","0.413","102","123","0.829","74","296","370","96","56","38","66","116","744","912","1.46","0.85"
"23","Tobias Harris","LAC","80","2668","562","1221","0.46","183","445","0.411","179","216","0.829","58","379","437","192","71","35","105","164","1486","1420","1.83","0.68"
"24","Darius Miller","NOP","82","1944","216","487","0.444","147","358","0.411","58","67","0.866","18","146","164","111","28","17","58","160","637","619","1.91","0.48"
"25","Dirk Nowitzki","DAL","77","1900","346","758","0.456","138","337","0.409","97","108","0.898","22","416","438","120","43","45","51","146","927","1099","2.35","0.84"
"26","Kyrie Irving","BOS","60","1931","534","1087","0.491","166","407","0.408","232","261","0.889","33","194","227","306","65","17","139","122","1466","1360","2.2","0.47"
"27","Courtney Lee","NYK","76","2310","343","755","0.454","113","278","0.406","114","124","0.919","30","194","224","180","80","17","84","109","913","908","2.14","0.95"
"28","Tony Snell","MIL","75","2053","185","425","0.435","108","268","0.403","38","48","0.792","9","132","141","98","47","28","36","115","516","544","2.72","1.31"
"29","Bojan Bogdanovic","IND","80","2465","404","852","0.474","155","386","0.402","178","205","0.868","30","240","270","119","55","8","106","129","1141","1012","1.12","0.52"
