"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV"
"1","Dennis Rodman","DET","82","3301","342","635","0.539","32","101","0.317","84","140","0.6","523","1007","1530","191","68","70","140","248","800","2170","1.36","0.49"
"2","Kevin Willis","ATL","81","2962","591","1224","0.483","6","37","0.162","292","363","0.804","418","840","1258","173","72","54","197","223","1480","2136","0.88","0.37"
"3","Horace Grant","CHI","81","2859","457","790","0.578","0","2","0","235","317","0.741","344","463","807","217","100","131","98","196","1149","1891","2.21","1.02"
"4","Chris Dudley","NJN","82","1902","190","472","0.403","0","0","0","80","171","0.468","343","396","739","58","38","179","79","275","460","1022","0.73","0.48"
"5","Greg Anderson","DEN","82","2793","389","854","0.456","0","4","0","167","268","0.623","337","604","941","78","88","65","201","263","945","1350","0.39","0.44"
"6","Larry Johnson","CHH","82","3047","616","1258","0.49","5","22","0.227","339","409","0.829","323","576","899","292","81","51","160","225","1576","2027","1.83","0.51"
"7","Moses Malone","MIL","82","2511","440","929","0.474","3","8","0.375","396","504","0.786","320","424","744","93","74","64","150","136","1279","1507","0.62","0.49"
"8","Dikembe Mutombo","DEN","71","2716","428","869","0.493","0","0","0","321","500","0.642","316","554","870","156","43","210","252","273","1177","1584","0.62","0.17"
"9","Rony Seikaly","MIA","79","2800","463","947","0.489","0","3","0","370","505","0.733","307","627","934","109","40","121","216","278","1296","1665","0.51","0.19"
"10","A.C. Green","LAL","82","2902","382","803","0.476","12","56","0.214","340","457","0.744","306","456","762","117","91","36","111","141","1116","1473","1.05","0.82"
"11","Otis Thorpe","HOU","82","3056","558","943","0.592","0","7","0","304","463","0.657","285","577","862","250","52","37","237","307","1420","1840","1.06","0.22"
"12","Charles Barkley","PHL","75","2881","622","1126","0.552","32","137","0.234","454","653","0.695","271","559","830","308","136","44","235","196","1730","2110","1.31","0.58"
"13","Michael Cage","SEA","82","2461","307","542","0.566","0","5","0","106","171","0.62","266","462","728","92","99","55","78","237","720","1316","1.18","1.27"
"14","Shawn Kemp","SEA","64","1808","362","718","0.504","0","3","0","270","361","0.748","264","401","665","86","70","124","156","261","994","1336","0.55","0.45"
"15","David Robinson","SAN","68","2564","592","1074","0.551","1","8","0.125","393","561","0.701","261","568","829","181","158","305","182","219","1578","2219","1","0.87"
"16","Buck Williams","POR","80","2519","340","563","0.604","0","1","0","221","293","0.754","260","444","704","108","62","41","130","244","901","1391","0.83","0.48"
"17","Grant Long","MIA","82","3063","440","890","0.494","6","22","0.273","326","404","0.807","259","432","691","225","139","40","185","248","1212","1594","1.22","0.75"
"18","Terry Catledge","ORL","78","2430","457","922","0.496","0","4","0","240","346","0.694","257","292","549","109","58","16","138","196","1154","1177","0.79","0.42"
"19","Charles Oakley","NYK","82","2309","210","402","0.522","0","3","0","86","117","0.735","256","444","700","133","67","15","123","258","506","1075","1.08","0.55"
"20","Ed Pinckney","BOS","81","1917","203","378","0.537","0","1","0","207","255","0.812","252","312","564","62","70","56","73","158","613","1069","0.85","0.96"
"21","Terry Cummings","SAN","70","2149","514","1053","0.488","5","13","0.385","177","249","0.711","247","384","631","102","58","34","115","210","1210","1309","0.89","0.5"
"22","Hakeem Olajuwon","HOU","70","2636","591","1177","0.502","0","1","0","328","428","0.766","246","599","845","157","127","304","187","263","1510","2070","0.84","0.68"
"23","Billy Owens","GOS","80","2510","468","891","0.525","1","9","0.111","204","312","0.654","243","396","639","188","90","65","179","276","1141","1413","1.05","0.5"
"24","Jerome Kersey","POR","77","2553","398","852","0.467","1","8","0.125","174","262","0.664","241","392","633","243","114","71","151","254","971","1339","1.61","0.76"
"25","Armen Gilliam","PHL","81","2771","512","1001","0.511","0","2","0","343","425","0.807","234","426","660","118","51","85","166","176","1367","1544","0.71","0.31"
