"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV"
"1","Kevin Love","MIN","73","2611","482","1026","0.47","88","211","0.417","424","499","0.85","330","782","1112","184","45","28","155","148","1476","2071","1.19","0.29"
"2","Zach Randolph","MEM","75","2724","598","1188","0.503","8","43","0.186","300","396","0.758","326","588","914","163","63","25","151","175","1504","1832","1.08","0.42"
"3","Dwight Howard","ORL","78","2935","619","1044","0.593","0","7","0","546","916","0.596","309","789","1098","107","107","186","279","258","1784","2208","0.38","0.38"
"4","LaMarcus Aldridge","POR","81","3211","707","1415","0.5","4","23","0.174","351","444","0.791","278","431","709","170","82","94","153","220","1769","1870","1.11","0.54"
"5","Blake Griffin","LAC","82","3112","696","1376","0.506","7","24","0.292","446","695","0.642","270","719","989","312","63","45","223","252","1845","2102","1.4","0.28"
"6","Pau Gasol","LAL","82","3037","593","1120","0.529","1","3","0.333","354","430","0.823","268","568","836","273","48","130","142","203","1541","2083","1.92","0.34"
"7","Greg Monroe","DET","80","2222","303","550","0.551","0","1","0","145","233","0.622","248","353","601","105","93","45","81","196","751","1179","1.3","1.15"
"8","Elton Brand","PHI","81","2809","502","981","0.512","0","1","0","213","273","0.78","237","439","676","120","92","106","101","244","1217","1571","1.19","0.91"
"9","Al Jefferson","UTA","82","2940","654","1319","0.496","0","0","0","220","289","0.761","235","559","794","149","46","153","105","238","1528","1831","1.42","0.44"
"10","Emeka Okafor","NOH","72","2287","300","524","0.573","0","1","0","145","258","0.562","230","454","684","42","40","127","119","230","745","1182","0.35","0.34"
"11","Kris Humphries","NJN","74","2061","307","583","0.527","0","1","0","127","191","0.665","225","546","771","84","33","80","103","168","741","1266","0.82","0.32"
"12","JaVale McGee","WAS","79","2193","332","604","0.55","0","3","0","134","230","0.583","223","411","634","38","41","193","102","232","798","1234","0.37","0.4"
"13","Chuck Hayes","HOU","74","2079","244","463","0.527","0","2","0","94","142","0.662","219","380","599","202","79","49","86","200","582","1158","2.35","0.92"
"14","David Lee","GSW","73","2634","496","978","0.507","1","3","0.333","210","267","0.787","217","497","714","233","74","31","170","211","1203","1546","1.37","0.44"
"14","DeMarcus Cousins","SAC","81","2309","432","1004","0.43","3","18","0.167","276","402","0.687","217","482","699","204","85","68","268","332","1143","1233","0.76","0.32"
"14","JJ Hickson","CLE","80","2256","429","936","0.458","0","5","0","247","367","0.673","217","478","695","91","48","54","173","215","1105","1193","0.53","0.28"
"17","DeJuan Blair","SAS","81","1734","292","583","0.501","0","2","0","90","137","0.657","215","350","565","77","95","42","113","213","674","1002","0.68","0.84"
"18","Serge Ibaka","OKC","82","2216","335","617","0.543","0","1","0","138","184","0.75","214","408","622","22","31","198","71","267","808","1282","0.31","0.44"
"19","Samuel Dalembert","SAC","80","1938","268","567","0.473","0","2","0","108","148","0.73","212","445","657","67","36","116","132","225","644","1049","0.51","0.27"
"20","DeAndre Jordan","LAC","80","2047","234","341","0.686","0","1","0","98","217","0.452","207","368","575","42","41","142","101","255","566","1039","0.42","0.41"
"21","Tyson Chandler","DAL","74","2059","266","407","0.654","0","0","0","216","295","0.732","206","486","692","32","36","80","88","240","748","1280","0.36","0.41"
"22","Andrew Bogut","MIL","65","2297","367","742","0.495","0","4","0","96","217","0.442","199","521","720","131","47","168","125","217","830","1275","1.05","0.38"
"23","Amar'e Stoudemire","NYK","78","2870","744","1482","0.502","10","23","0.435","473","597","0.792","198","438","636","202","71","150","250","274","1971","1918","0.81","0.28"
"24","Brook Lopez","NJN","82","2889","644","1309","0.492","0","1","0","385","489","0.787","197","291","488","129","47","120","176","240","1673","1512","0.73","0.27"
"25","Amir Johnson","TOR","72","1853","281","495","0.568","0","1","0","126","160","0.788","189","272","461","81","53","88","69","263","688","1054","1.17","0.77"
