"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV"
"1","Moses Malone","HOU","82","3140","778","1549","0.502","0","6","0","563","783","0.719","573","617","1190","147","80","107","300","210","2119","2352","0.49","0.27"
"8","Swen Nater","SDC","81","2860","443","799","0.554","0","2","0","196","273","0.718","352","864","1216","233","45","37","257","259","1082","1923","0.91","0.18"
"9","Wes Unseld","WAS","82","2973","327","637","0.513","1","2","0.5","139","209","0.665","334","760","1094","366","65","61","153","249","794","1847","2.39","0.43"
"10","Kermit Washington","POR","80","2657","421","761","0.553","0","3","0","231","360","0.642","325","517","842","167","73","131","170","307","1073","1647","0.98","0.43"
"13","Dan Roundfield","ATL","81","2588","502","1007","0.499","0","4","0","330","465","0.71","293","544","837","184","101","139","233","317","1334","1722","0.79","0.43"
"14","Cedric Maxwell","BOS","80","2744","457","750","0.609","0","0","0","436","554","0.787","284","420","704","199","76","61","230","266","1350","1749","0.87","0.33"
"15","Tree Rollins","ATL","82","2123","287","514","0.558","0","0","0","157","220","0.714","283","491","774","76","54","244","99","322","731","1490","0.77","0.55"
"16","Alex English","DEN","78","2401","553","1113","0.497","2","6","0.333","210","266","0.789","269","336","605","224","73","62","214","206","1318","1452","1.05","0.34"
"16","Elvin Hayes","WAS","81","3183","761","1677","0.454","3","13","0.231","334","478","0.699","269","627","896","129","62","189","215","309","1859","1860","0.6","0.29"
"18","Larry Kenon","SAN","78","2798","647","1333","0.485","1","9","0.111","270","345","0.783","258","517","775","231","111","18","232","192","1565","1707","1","0.48"
"18","Mickey Johnson","IND","82","2647","588","1271","0.463","5","32","0.156","385","482","0.799","258","423","681","344","153","112","286","291","1566","1790","1.2","0.54"
"22","Robert Parish","GOS","72","2119","510","1006","0.507","0","1","0","203","284","0.715","247","536","783","122","58","115","225","248","1223","1499","0.54","0.26"
"23","Greg Ballard","WAS","82","2438","545","1101","0.495","16","47","0.34","171","227","0.753","240","398","638","159","90","36","133","197","1277","1455","1.2","0.68"
"24","Dan Issel","DEN","82","2938","715","1416","0.505","4","12","0.333","517","667","0.775","236","483","719","198","88","54","163","190","1951","1996","1.22","0.54"
"25","Terry Tyler","DET","82","2672","430","925","0.465","2","12","0.167","143","187","0.765","228","399","627","129","107","220","175","237","1005","1374","0.74","0.61"
"26","Dave Robisch","CLE","82","2670","489","940","0.52","0","3","0","277","329","0.842","225","433","658","192","53","53","138","211","1255","1570","1.39","0.38"
"27","David Greenwood","CHI","82","2791","498","1051","0.474","1","7","0.143","337","416","0.81","223","550","773","182","60","129","210","313","1334","1636","0.87","0.29"
"28","Caldwell Jones","PHL","80","2771","232","532","0.436","0","2","0","124","178","0.697","219","731","950","164","43","162","218","298","588","1335","0.75","0.2"
"29","Marques Johnson","MIL","77","2686","689","1267","0.544","2","9","0.222","291","368","0.791","217","349","566","273","100","70","185","173","1671","1840","1.48","0.54"
"30","Larry Bird","BOS","82","2955","693","1463","0.474","58","143","0.406","301","360","0.836","216","636","852","370","143","53","263","279","1745","2071","1.41","0.54"
"31","Julius Erving","PHL","78","2812","838","1614","0.519","4","20","0.2","420","534","0.787","215","361","576","355","170","140","284","208","2100","2167","1.25","0.6"
"32","Truck Robinson","PHX","82","2710","545","1064","0.512","0","0","0","325","487","0.667","213","557","770","142","58","59","251","262","1415","1512","0.57","0.23"
"33","Rick Robey","BOS","82","1918","379","727","0.521","0","1","0","184","269","0.684","209","321","530","92","53","15","151","244","942","1048","0.61","0.35"
"34","Mike Mitchell","CLE","82","2802","775","1482","0.523","0","6","0","270","343","0.787","206","385","591","93","70","77","172","259","1820","1699","0.54","0.41"
"35","Paul Silas","SEA","82","1595","113","299","0.378","0","0","0","89","136","0.654","204","232","436","66","25","5","83","120","315","531","0.8","0.3"
