"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV"
"1","Hakeem Olajuwon","HOU","82","2914","677","1258","0.538","0","0","0","338","551","0.613","440","534","974","111","99","220","234","344","1692","2068","0.47","0.42"
"2","Larry Smith","GOS","80","2497","366","690","0.53","0","0","0","155","256","0.605","405","464","869","96","78","54","160","285","887","1399","0.6","0.49"
"3","Moses Malone","PHL","79","2957","602","1284","0.469","0","2","0","737","904","0.815","385","646","1031","130","67","123","286","216","1941","2157","0.46","0.23"
"4","Buck Williams","NJN","82","3182","577","1089","0.53","1","4","0.25","336","538","0.625","323","682","1005","167","63","110","238","293","1491","1884","0.7","0.27"
"5","Bill Laimbeer","DET","82","2892","595","1177","0.506","4","18","0.222","244","306","0.797","295","718","1013","154","69","71","129","308","1438","1972","1.19","0.54"
"6","LaSalle Thompson","KCK","82","2458","369","695","0.531","0","0","0","227","315","0.721","274","580","854","130","98","128","202","328","965","1559","0.64","0.49"
"7","Charles Barkley","PHL","82","2347","427","783","0.545","1","6","0.167","293","400","0.733","266","437","703","155","95","80","209","301","1148","1509","0.74","0.46"
"8","Robert Parish","BOS","79","2850","551","1016","0.542","0","0","0","292","393","0.743","263","577","840","125","56","101","186","223","1394","1764","0.67","0.3"
"9","Terry Cummings","MIL","79","2722","759","1532","0.495","0","1","0","343","463","0.741","244","472","716","228","117","67","190","264","1861","1906","1.2","0.62"
"10","Artis Gilmore","SAN","81","2756","532","854","0.623","0","2","0","484","646","0.749","231","615","846","131","40","173","241","306","1548","2013","0.54","0.17"
"11","Cliff Levingston","ATL","74","2017","291","552","0.527","0","2","0","145","222","0.653","230","336","566","104","70","69","133","231","727","1065","0.78","0.53"
"12","Kevin McHale","BOS","79","2653","605","1062","0.57","0","6","0","355","467","0.76","229","483","712","141","28","120","157","234","1565","1840","0.9","0.18"
"12","Mike Gminski","NJN","81","2418","380","818","0.465","0","1","0","276","328","0.841","229","404","633","158","38","92","136","135","1036","1331","1.16","0.28"
"12","Wayne Cooper","DEN","80","2031","404","856","0.472","0","2","0","161","235","0.685","229","402","631","86","28","197","149","304","969","1236","0.58","0.19"
"15","Ralph Sampson","HOU","82","3086","753","1499","0.502","0","6","0","303","448","0.676","227","626","853","224","81","168","326","306","1809","1918","0.69","0.25"
"16","Dominique Wilkins","ATL","81","3023","853","1891","0.451","25","81","0.309","486","603","0.806","226","331","557","200","135","54","225","170","2217","1783","0.89","0.6"
"17","Clark Kellogg","IND","77","2449","562","1112","0.505","7","14","0.5","301","396","0.76","224","500","724","244","86","26","231","247","1432","1636","1.06","0.37"
"18","Alton Lister","MIL","81","2091","322","598","0.538","0","1","0","154","262","0.588","219","428","647","127","49","167","183","287","798","1221","0.69","0.27"
"18","Jerome Whitehead","GOS","79","2536","421","825","0.51","0","0","0","184","235","0.783","219","403","622","53","45","43","141","322","1026","1193","0.38","0.32"
"20","Clyde Drexler","POR","80","2555","573","1161","0.494","8","37","0.216","223","294","0.759","217","259","476","441","177","68","223","265","1377","1657","1.98","0.79"
"21","Phil Hubbard","CLE","76","2249","415","822","0.505","0","4","0","371","494","0.751","214","265","479","114","81","9","178","258","1201","1176","0.64","0.46"
"22","Mychal Thompson","POR","79","2616","572","1111","0.515","0","0","0","307","449","0.684","211","407","618","205","78","104","231","216","1451","1544","0.89","0.34"
"23","Calvin Natt","DEN","78","2657","685","1255","0.546","0","3","0","447","564","0.793","209","401","610","238","75","33","190","182","1817","1896","1.25","0.4"
"24","Mark Eaton","UTH","82","2813","302","673","0.449","0","0","0","190","267","0.712","207","720","927","124","36","456","206","312","794","1683","0.6","0.18"
"24","Sam Bowie","POR","76","2216","299","557","0.537","0","0","0","160","225","0.711","207","449","656","215","55","203","172","278","758","1392","1.25","0.32"
