"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV"
"1","Andre Drummond","DET","82","2502","494","961","0.514","0","2","0","142","365","0.389","437","667","1104","55","73","153","120","285","1130","1705","0.46","0.61"
"2","DeAndre Jordan","LAC","82","2820","379","534","0.71","1","4","0.25","187","471","0.397","397","829","1226","61","81","183","109","245","946","1949","0.56","0.74"
"3","Tyson Chandler","DAL","75","2286","293","440","0.666","0","0","0","185","257","0.72","294","570","864","84","42","91","105","169","771","1528","0.8","0.4"
"4","Enes Kanter","OKC","75","2136","482","928","0.519","16","45","0.356","183","234","0.782","277","394","671","55","36","29","145","189","1163","1312","0.38","0.25"
"5","Tristan Thompson","CLE","82","2194","267","488","0.547","0","0","0","159","248","0.641","274","383","657","39","34","61","83","189","693","1091","0.47","0.41"
"6","Rudy Gobert","UTA","82","2158","258","427","0.604","0","2","0","170","273","0.623","265","510","775","109","64","189","111","175","686","1440","0.98","0.58"
"7","Omer Asik","NOP","76","1982","213","412","0.517","0","0","0","131","225","0.582","244","504","748","72","29","54","95","144","557","1072","0.76","0.31"
"8","Kenneth Faried","DEN","75","2086","373","736","0.507","1","8","0.125","199","288","0.691","242","426","668","89","62","57","118","211","946","1252","0.75","0.53"
"9","Nikola Vucevic","ORL","74","2529","631","1206","0.523","2","6","0.333","164","218","0.752","238","572","810","147","54","54","148","220","1428","1716","0.99","0.37"
"10","Ed Davis","LAL","79","1840","282","469","0.601","0","0","0","92","189","0.487","230","370","600","94","49","98","58","202","656","1155","1.62","0.85"
"11","Greg Monroe","DET","69","2137","423","853","0.496","0","0","0","252","336","0.75","229","475","704","142","78","34","149","148","1098","1393","0.95","0.52"
"12","Zach Randolph","MEM","71","2304","454","932","0.487","7","20","0.35","228","298","0.765","225","522","747","153","69","14","156","175","1143","1422","0.98","0.44"
"13","Gorgui Dieng","MIN","73","2193","259","512","0.506","1","6","0.167","191","244","0.783","223","386","609","146","71","126","126","188","710","1230","1.16","0.56"
"14","Pau Gasol","CHI","78","2681","570","1153","0.494","12","26","0.462","294","366","0.803","220","699","919","210","25","147","158","147","1446","1934","1.33","0.16"
"15","Joakim Noah","CHI","67","2049","190","427","0.445","0","2","0","105","174","0.603","219","427","646","312","48","74","123","203","485","1136","2.54","0.39"
"16","Jonas Valanciunas","TOR","80","2096","373","652","0.572","0","1","0","217","276","0.786","215","478","693","39","33","95","109","222","963","1376","0.36","0.3"
"17","Brook Lopez","BKN","72","2100","506","987","0.513","1","10","0.1","223","274","0.814","214","321","535","50","43","126","104","206","1236","1354","0.48","0.41"
"18","Timofey Mozgov","CLE","81","2046","314","566","0.555","2","6","0.333","155","216","0.718","203","388","591","55","33","97","116","227","785","1132","0.47","0.28"
"19","Steven Adams","OKC","70","1771","217","399","0.544","0","2","0","103","205","0.502","199","324","523","66","38","86","99","222","537","867","0.67","0.38"
"20","Zaza Pachulia","MIL","73","1730","240","529","0.454","0","3","0","126","160","0.788","197","303","500","178","80","21","133","170","606","929","1.34","0.6"
"21","Derrick Favors","UTA","74","2280","482","918","0.525","1","6","0.167","222","332","0.669","196","411","607","112","60","123","121","210","1187","1422","0.93","0.5"
"22","Robin Lopez","POR","59","1638","234","437","0.535","0","1","0","98","127","0.772","190","204","394","55","16","84","73","122","566","810","0.75","0.22"
"23","DeMarcus Cousins","SAC","59","2013","498","1066","0.467","2","8","0.25","423","541","0.782","185","562","747","210","90","103","254","241","1421","1631","0.83","0.35"
"23","Nerlens Noel","PHI","75","2311","302","653","0.462","0","0","0","140","230","0.609","185","426","611","128","133","142","146","208","744","1171","0.88","0.91"
"25","Marcin Gortat","WAS","82","2453","439","775","0.566","0","3","0","123","175","0.703","180","537","717","97","49","110","100","191","1001","1486","0.97","0.49"
