"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV"
"1","Erick Dampier","GSW","74","2406","348","650","0.535","0","2","0","217","332","0.654","344","543","887","60","33","137","131","227","913","1482","0.46","0.25"
"2","Ben Wallace","DET","81","3054","315","748","0.421","1","8","0.125","142","290","0.49","324","682","1006","138","143","246","123","162","773","1602","1.12","1.16"
"3","Zydrunas Ilgauskas","CLE","81","2539","466","965","0.483","2","7","0.286","303","406","0.746","279","374","653","109","39","201","163","277","1237","1474","0.67","0.24"
"4","Elton Brand","LAC","69","2669","484","982","0.493","0","1","0","411","532","0.773","269","445","714","227","64","154","193","229","1379","1726","1.18","0.33"
"5","Jamaal Magloire","NOH","82","2777","383","809","0.473","0","1","0","353","470","0.751","268","579","847","86","43","101","201","278","1119","1452","0.43","0.21"
"6","Kenny Thomas","PHI","74","2699","381","813","0.469","1","5","0.2","243","323","0.752","261","489","750","111","82","33","172","219","1006","1298","0.65","0.48"
"7","Rasho Nesterovic","SAS","82","2353","328","700","0.469","0","0","0","54","114","0.474","257","376","633","114","51","165","107","247","710","1134","1.07","0.48"
"8","Jeff Foster","IND","82","1953","197","362","0.544","0","4","0","103","154","0.669","248","362","610","64","71","27","60","189","497","993","1.07","1.18"
"9","Shaquille O'Neal","LAL","67","2464","554","948","0.584","0","0","0","331","676","0.49","246","523","769","196","34","166","195","225","1439","1670","1","0.17"
"10","Kevin Garnett","MIN","82","3232","804","1611","0.499","11","43","0.256","368","465","0.791","245","894","1139","409","120","178","212","202","1987","2717","1.93","0.57"
"11","Zach Randolph","POR","81","3070","663","1368","0.485","1","5","0.2","299","393","0.761","242","609","851","163","68","41","247","227","1626","1703","0.66","0.28"
"12","P.J. Brown","NOH","80","2755","339","712","0.476","0","1","0","158","185","0.854","237","453","690","155","78","73","101","203","836","1331","1.54","0.77"
"13","Antawn Jamison","DAL","82","2376","488","913","0.535","16","40","0.4","220","294","0.748","233","287","520","70","83","30","81","174","1212","1335","0.86","1.03"
"14","Carlos Boozer","CLE","75","2595","471","900","0.523","1","6","0.167","219","285","0.768","230","627","857","148","74","55","134","199","1162","1667","1.1","0.55"
"14","Joe Smith","MIL","76","2254","311","708","0.439","1","5","0.2","207","241","0.859","230","413","643","78","47","94","82","209","830","1179","0.95","0.57"
"16","Tim Duncan","SAS","69","2527","592","1181","0.501","2","12","0.167","352","588","0.599","227","632","859","213","62","185","183","164","1538","1849","1.16","0.34"
"17","Andrei Kirilenko","UTA","78","2893","412","931","0.443","68","201","0.338","392","496","0.79","226","403","629","244","150","215","215","174","1284","1684","1.14","0.7"
"18","Greg Ostertag","UTA","78","2149","208","437","0.476","0","1","0","113","195","0.579","221","357","578","123","30","139","99","228","529","989","1.24","0.3"
"19","Shawn Marion","PHX","79","3217","590","1341","0.44","90","265","0.34","228","268","0.851","212","525","737","214","167","104","156","203","1498","1773","1.37","1.07"
"20","Marcus Camby","DEN","72","2162","262","549","0.477","0","2","0","98","136","0.721","211","516","727","132","86","187","98","239","622","1331","1.35","0.88"
"21","Donyell Marshall","TOR","82","2988","470","1020","0.461","131","325","0.403","134","182","0.736","210","598","808","122","93","124","117","247","1205","1637","1.04","0.8"
"22","Antonio Davis","CHI","80","2572","266","660","0.403","0","0","0","176","230","0.765","207","464","671","137","37","65","114","206","708","1056","1.2","0.33"
"22","Mark Blount","BOS","82","2402","342","604","0.566","0","0","0","159","221","0.719","207","382","589","75","80","106","150","253","843","1219","0.5","0.53"
"24","Pau Gasol","MEM","78","2458","506","1049","0.482","4","15","0.267","365","511","0.714","206","394","600","198","44","132","187","185","1381","1479","1.06","0.24"
"25","Antoine Walker","DAL","82","2840","483","1129","0.428","82","305","0.269","103","186","0.554","198","486","684","369","65","65","202","212","1151","1403","1.83","0.32"
