"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV"
"1","Dennis Rodman","DET","62","2410","183","429","0.427","15","73","0.205","87","163","0.534","367","765","1132","102","48","45","103","201","468","1370","0.99","0.47"
"2","Dikembe Mutombo","DEN","82","3029","398","781","0.51","0","0","0","335","492","0.681","344","726","1070","147","43","287","216","284","1131","1922","0.68","0.2"
"3","Shaquille O'Neal","ORL","81","3071","733","1304","0.562","0","2","0","427","721","0.592","342","780","1122","152","60","286","307","321","1893","2341","0.5","0.2"
"4","Horace Grant","CHI","77","2745","421","829","0.508","1","5","0.2","174","281","0.619","341","388","729","201","89","96","110","218","1017","1507","1.83","0.81"
"5","Kevin Willis","ATL","80","2878","616","1218","0.506","7","29","0.241","196","300","0.653","335","693","1028","165","68","41","213","264","1435","1818","0.78","0.32"
"6","Dale Davis","IND","82","2264","304","535","0.568","0","0","0","119","225","0.529","291","432","723","69","63","148","79","274","727","1314","0.87","0.8"
"7","Charles Oakley","NYK","82","2230","219","431","0.508","0","1","0","127","176","0.722","288","420","708","126","85","15","124","289","565","1114","1.02","0.69"
"8","A.C. Green","LAL","82","2819","379","706","0.537","16","46","0.348","277","375","0.739","287","424","711","116","88","39","116","149","1051","1464","1","0.76"
"8","Shawn Kemp","SEA","78","2582","515","1047","0.492","0","4","0","358","503","0.712","287","546","833","155","119","146","217","327","1388","1747","0.71","0.55"
"10","Hakeem Olajuwon","HOU","82","3242","848","1603","0.529","0","8","0","444","570","0.779","283","785","1068","291","150","342","262","305","2140","2848","1.11","0.57"
"11","Larry Johnson","CHH","82","3323","728","1385","0.526","18","71","0.254","336","438","0.767","281","583","864","353","53","27","227","187","1810","2121","1.56","0.23"
"12","LaPhonso Ellis","DEN","82","2749","483","958","0.504","2","13","0.154","237","317","0.748","274","470","744","151","72","111","153","293","1205","1575","0.99","0.47"
"13","Michael Cage","SEA","82","2156","219","416","0.526","0","1","0","61","130","0.469","268","391","659","69","76","46","59","183","499","1024","1.17","1.29"
"14","Alonzo Mourning","CHH","78","2644","572","1119","0.511","0","3","0","495","634","0.781","263","542","805","76","27","271","236","286","1639","1896","0.32","0.11"
"15","Rony Seikaly","MIA","72","2456","417","868","0.48","1","8","0.125","397","540","0.735","259","587","846","100","38","83","203","260","1232","1502","0.49","0.19"
"15","Terry Davis","DAL","75","2462","393","863","0.455","2","8","0.25","167","281","0.594","259","442","701","68","36","28","160","199","955","1044","0.43","0.23"
"17","Tyrone Hill","GOS","74","2070","251","494","0.508","0","4","0","138","221","0.624","255","499","754","68","41","40","92","320","640","1125","0.74","0.45"
"18","Derrick Coleman","NJN","76","2759","564","1226","0.46","23","99","0.232","421","521","0.808","247","605","852","276","92","126","243","210","1572","1913","1.14","0.38"
"19","Robert Parish","BOS","79","2146","416","777","0.535","0","0","0","162","235","0.689","246","494","740","61","57","107","120","201","994","1405","0.51","0.48"
"20","Charles Barkley","PHX","76","2859","716","1376","0.52","67","220","0.305","445","582","0.765","237","691","928","385","119","74","233","196","1944","2420","1.65","0.51"
"21","Buck Williams","POR","82","2498","270","528","0.511","0","1","0","138","214","0.645","232","458","690","75","81","61","101","270","678","1150","0.74","0.8"
"22","Anthony Mason","NYK","81","2482","316","629","0.502","0","0","0","199","292","0.682","231","409","640","170","43","19","137","240","831","1160","1.24","0.31"
"23","David Robinson","SAN","82","3211","676","1348","0.501","3","17","0.176","561","766","0.732","229","727","956","301","127","264","241","239","1916","2446","1.25","0.53"
"24","Chris Morris","NJN","77","2302","436","907","0.481","17","76","0.224","197","248","0.794","227","227","454","106","144","52","119","171","1086","1201","0.89","1.21"
"24","Karl Malone","UTH","82","3099","797","1443","0.552","4","20","0.2","619","836","0.74","227","692","919","308","124","85","240","261","2217","2550","1.28","0.52"
