"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV"
"1","Andre Drummond","DET","78","2625","466","881","0.529","0","11","0","239","395","0.605","399","848","1247","237","114","127","200","250","1171","2125","1.19","0.57"
"2","Steven Adams","OKC","76","2487","448","712","0.629","0","2","0","160","286","0.559","384","301","685","88","92","78","128","215","1056","1481","0.69","0.72"
"3","DeAndre Jordan","LAC","77","2423","373","578","0.645","0","0","0","181","312","0.58","329","842","1171","117","39","70","137","203","927","1851","0.85","0.29"
"4","Enes Kanter","NYK","71","1830","422","713","0.592","0","2","0","156","184","0.848","273","507","780","105","36","37","122","187","1000","1517","0.86","0.3"
"5","Dwight Howard","CHA","81","2463","506","911","0.555","1","7","0.143","334","582","0.574","255","757","1012","105","48","131","208","249","1347","1782","0.51","0.23"
"6","LaMarcus Aldridge","SAS","75","2509","687","1347","0.51","27","92","0.293","334","399","0.837","246","389","635","152","43","90","111","161","1735","1819","1.37","0.39"
"7","Clint Capela","HOU","74","2034","441","676","0.652","0","1","0","144","257","0.56","241","561","802","68","58","137","103","185","1026","1640","0.66","0.56"
"8","Karl-Anthony Towns","MIN","82","2918","639","1172","0.545","120","285","0.421","345","402","0.858","238","774","1012","199","64","115","159","285","1743","2384","1.25","0.4"
"9","Derrick Favors","UTA","77","2153","395","702","0.563","14","63","0.222","140","215","0.651","198","354","552","102","54","82","88","164","944","1264","1.16","0.61"
"10","Nikola Jokic","DEN","75","2443","504","1010","0.499","111","280","0.396","266","313","0.85","195","608","803","458","90","61","210","212","1385","2034","2.18","0.43"
"11","Taj Gibson","MIN","82","2726","425","737","0.577","7","35","0.2","142","185","0.768","194","390","584","99","62","59","89","218","999","1359","1.11","0.7"
"12","Jusuf Nurkic","POR","79","2088","480","951","0.505","0","7","0","172","273","0.63","189","519","708","143","64","111","183","247","1132","1403","0.78","0.35"
"13","Anthony Davis","NOP","75","2727","780","1462","0.534","55","162","0.34","495","598","0.828","187","644","831","174","115","193","162","159","2110","2476","1.07","0.71"
"14","Thaddeus Young","IND","81","2607","421","864","0.487","58","181","0.32","55","92","0.598","184","328","512","152","135","36","105","175","955","1205","1.45","1.29"
"15","Ed Davis","POR","78","1471","170","292","0.582","0","1","0","74","111","0.667","183","392","575","40","32","52","66","188","414","888","0.61","0.49"
"15","Jonas Valanciunas","TOR","77","1727","390","687","0.568","30","74","0.405","170","211","0.806","183","477","660","81","29","69","115","192","980","1366","0.7","0.25"
"17","Julius Randle","LAL","82","2190","504","904","0.558","10","45","0.222","305","425","0.718","181","473","654","210","43","45","213","274","1323","1542","0.99","0.2"
"17","Marcin Gortat","WAS","82","2074","290","560","0.518","0","0","0","110","163","0.675","181","442","623","151","40","61","99","175","690","1143","1.53","0.4"
"19","John Collins","ATL","74","1785","314","545","0.576","16","47","0.34","133","186","0.715","176","365","541","98","47","80","105","215","777","1154","0.93","0.45"
"20","Alex Len","PHX","69","1395","214","378","0.566","1","3","0.333","158","231","0.684","175","343","518","82","27","61","78","158","587","960","1.05","0.35"
"21","Hassan Whiteside","MIA","54","1364","312","578","0.54","2","2","1","128","182","0.703","174","444","618","54","37","94","92","131","754","1145","0.59","0.4"
"22","Domantas Sabonis","IND","74","1810","340","661","0.514","13","37","0.351","168","224","0.75","165","407","572","151","40","32","137","220","861","1142","1.1","0.29"
"22","Jakob Poeltl","TOR","82","1524","253","384","0.659","1","2","0.5","60","101","0.594","165","228","393","57","39","100","85","212","567","899","0.67","0.46"
"22","Rudy Gobert","UTA","56","1816","276","444","0.622","0","0","0","204","299","0.682","165","436","601","80","44","129","107","153","756","1240","0.75","0.41"
"25","Larry Nance Jr.","CLE","66","1421","240","413","0.581","2","12","0.167","91","137","0.664","161","291","452","82","88","38","51","172","573","963","1.61","1.73"
