"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV"
"1","Dikembe Mutombo","PHI","75","2591","269","556","0.484","0","0","0","211","291","0.725","307","708","1015","76","29","203","144","204","749","1561","0.53","0.2"
"2","Ben Wallace","DET","80","2760","215","439","0.49","1","4","0.25","80","238","0.336","303","749","1052","123","107","186","117","192","511","1480","1.05","0.92"
"3","Shaquille O'Neal","LAL","74","2924","813","1422","0.572","0","2","0","499","972","0.513","291","649","940","277","47","204","218","256","2125","2293","1.27","0.22"
"4","Elton Brand","CHI","74","2906","578","1215","0.476","0","2","0","334","472","0.708","285","461","746","240","71","118","219","243","1490","1671","1.1","0.32"
"5","Antawn Jamison","GSW","82","3394","800","1812","0.442","62","205","0.302","382","534","0.715","280","435","715","164","114","28","199","225","2044","1702","0.82","0.57"
"6","Antonio Davis","TOR","78","2729","375","866","0.433","0","1","0","319","423","0.754","274","513","787","106","22","151","135","230","1069","1405","0.79","0.16"
"7","Tim Duncan","SAS","82","3174","702","1406","0.499","7","27","0.259","409","662","0.618","259","738","997","245","70","192","242","247","1820","2125","1.01","0.29"
"8","P.J. Brown","CHH","80","2811","249","561","0.444","0","4","0","178","209","0.852","257","485","742","127","78","92","108","260","676","1264","1.18","0.72"
"9","Jermaine O'Neal","IND","81","2641","404","868","0.465","0","5","0","233","388","0.601","249","545","794","98","49","228","161","280","1041","1430","0.61","0.3"
"10","Antonio McDyess","DEN","70","2555","577","1165","0.495","0","0","0","304","434","0.7","240","605","845","146","43","102","162","220","1458","1714","0.9","0.27"
"11","Tyrone Hill","PHI","76","2363","278","587","0.474","0","1","0","172","273","0.63","239","448","687","48","37","27","127","242","728","990","0.38","0.29"
"12","Dale Davis","POR","81","2162","242","487","0.497","0","4","0","96","152","0.632","233","373","606","103","44","76","67","199","580","1041","1.54","0.66"
"13","Clar. Weatherspoon","CLE","82","2774","347","692","0.501","0","0","0","230","291","0.79","223","573","796","103","85","105","112","171","924","1495","0.92","0.76"
"14","Horace Grant","LAL","77","2390","263","569","0.462","0","3","0","131","169","0.775","220","325","545","121","51","61","48","181","657","1043","2.52","1.06"
"14","Shawn Marion","PHX","79","2857","557","1160","0.48","21","82","0.256","234","289","0.81","220","628","848","160","132","108","129","211","1369","1830","1.24","1.02"
"16","Kevin Garnett","MIN","81","3202","704","1475","0.477","19","66","0.288","357","467","0.764","219","702","921","401","111","145","230","204","1784","2251","1.74","0.48"
"17","Brian Grant","MIA","82","2771","484","1010","0.479","0","1","0","282","354","0.797","217","501","718","101","60","71","170","293","1250","1432","0.59","0.35"
"18","Aaron Williams","NJN","82","2336","297","650","0.457","0","2","0","244","310","0.787","211","379","590","88","59","113","132","319","838","1137","0.67","0.45"
"18","Bo Outlaw","ORL","80","2534","226","368","0.614","1","2","0.5","129","225","0.573","211","408","619","225","105","137","141","241","582","1289","1.6","0.75"
"20","David Robinson","SAS","80","2371","400","823","0.486","0","1","0","351","470","0.747","208","483","691","116","80","197","122","212","1151","1571","0.95","0.66"
"21","Vlade Divac","SAC","81","2420","364","755","0.482","4","14","0.286","242","350","0.691","207","466","673","231","87","93","192","242","974","1367","1.2","0.45"
"22","Vitaly Potapenko","BOS","82","1901","248","521","0.476","0","0","0","115","158","0.728","206","289","495","64","52","23","105","228","611","824","0.61","0.5"
"23","Ervin Johnson","MIL","82","1981","108","198","0.545","0","0","0","50","93","0.538","205","408","613","40","44","97","47","257","266","880","0.85","0.94"
"24","George Lynch","PHI","82","2649","274","616","0.445","15","57","0.263","123","171","0.719","200","390","590","139","99","30","109","222","686","1045","1.28","0.91"
"25","LaPhonso Ellis","MIN","82","1948","298","642","0.464","7","22","0.318","169","214","0.79","199","295","494","93","67","74","108","290","772","1003","0.86","0.62"
